ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25
0;43;67;16.828552;28.63708013;15.14245171;14.97138153;42.6952396;19.20369582;30.63528117;27.29855005;18.22082117;27.89662338;42.91291238;16.83399469;15.6747365;8.431436022;31.19772598;5.793829538;11.4188397;18.16441948;17.04069468;18.31380322;63.53978408;43.17817934;30.33744394;67.37712424;45.73028553;50.51840482
3;72;14;27.18699364;22.57760099;26.76776815;23.02714509;36.63576046;14.1691893;19.14871233;15.53312779;29.62553453;12.74723358;17.08052324;25.38379117;25.06143314;29.95973656;19.71115714;27.86032606;26.87324328;35.2789768;22.03362282;19.86416296;45.0427832;31.6916105;18.8508751;48.88012336;39.67080639;32.02140394
5;102;64;36.3342658;6.468263987;25.77555001;21.43837437;24.83405296;13.17697116;33.86170131;13.59414433;28.63331639;19.38164562;34.39793462;38.17692961;24.069215;28.96751842;34.42414612;26.86810792;25.88102514;34.28675866;21.04140468;18.74443456;55.02480632;46.40459948;33.56386408;58.86214648;27.86909889;42.00342706
6;43;78;20.18491174;23.75292929;12.42678565;15.43138299;37.81108876;14.31954498;25.97515731;22.41439921;14.79122927;23.01247254;38.02876154;19.26623245;11.01461264;10.86367378;26.53760212;4.070766518;10.42134882;16.44135646;13.0550442;19.03512376;58.65563324;38.51805548;25.67732008;62.4929734;40.84613469;45.63425398
16;67;72;24.47662228;21.01689797;20.11752241;12.08938917;34.75146964;8.65477092;33.37173207;19.67836789;22.97528879;20.27644122;35.29273022;26.90882101;18.4111874;18.05360158;33.93417688;15.7356694;7.3325265;20.78116996;8.65615536;5.205980735;55.91960192;45.91463024;33.07389484;59.75694208;37.78651557;42.89822266
18;7;30;26.0343874;40.73716181;26.29646533;40.43769201;54.79532128;31.3037775;18.99613659;33.81618769;29.37483479;31.03029348;35.02847702;24.64929091;22.9547756;31.30750594;19.5585814;27.96199708;32.34268182;37.8665401;30.498387;36.01935628;63.3258431;31.53903476;18.69829936;67.16318326;57.83036721;50.30446384
19;40;55;6.659340041;32.97123929;18.03448579;13.10987475;47.02939876;23.53785498;27.72041007;29.73198301;21.31408379;29.20121652;40.0565549;10.20220579;19.14531692;5.050957182;28.28285488;11.99935366;16.97903688;22.9868083;22.17857154;20.03791624;65.97321704;40.26330824;27.42257284;69.8105572;50.06444469;52.95183778
20;77;37;25.13223556;21.71861663;25.90878379;20.42070519;35.7767761;13.31020494;24.39860667;13.69475911;28.76655017;5.511557464;24.93483998;24.10412137;24.20244878;28.96098784;24.96105148;27.0013417;26.01425892;34.41999244;21.17463846;17.29964632;46.4010296;36.94150484;24.10076944;50.23836976;38.81182203;33.37965034
21;34;72;20.73582706;27.07015445;10.86713839;18.91050891;41.12831392;17.63677014;27.29879349;25.73162437;14.92750355;26.3296977;41.3459867;20.09422243;12.25745876;11.69166376;27.8612383;8.332102118;12.48839424;23.64929038;16.83137964;20.58870784;61.9728584;39.84169166;27.00095626;65.81019856;44.16335985;48.95147914
22;47;18;18.6120673;27.51463391;25.28630239;27.09136023;41.57279338;19.10622222;14.67852093;20.47016071;28.36467185;17.6842665;21.68245004;18.13572523;21.94461266;24.84883534;15.24096574;26.95183414;31.33251888;36.85637716;26.97065574;24.80119588;49.97981612;27.2214191;14.3806837;53.81715628;44.60783931;36.95843686
34;7;54;17.76897406;28.07465027;13.63395379;27.77518047;42.13280974;18.64126596;14.05451601;26.73612019;16.71232325;25.48255854;29.48074208;15.33922861;10.29226406;18.6449944;14.61696082;15.29948554;19.68017028;25.20402856;17.83587546;23.35684474;57.77810816;26.59741418;13.75667878;61.61544832;45.16785567;44.7567289
38;49;16;20.12668048;26.11853603;25.84575043;26.56808013;40.1766955;17.71012434;15.23796897;19.07406283;28.92411989;16.28816862;20.28635216;19.57878031;22.5040607;26.01758482;15.80041378;27.51128218;30.41417832;37.4158252;25.57455786;23.405098;48.58371824;27.78086714;14.94013174;52.4210584;43.21174143;35.56233898
