ID_CENTRO;ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25
0;2783;93;72;27.20622952;2.832270706;18.01433407;17.21605676;18.7183405;7.841822699;25.67473767;13.50381931;19.91451341;13.942449;26.39508254;28.38683389;16.1096867;20.58283114;26.04932896;19.10916448;17.95881006;25.23523996;13.9470273;11.89050591;43.80757814;35.85158438;25.24850589;46.14360844;21.05601717;33.04917226
1;4105;45;48;5.187792465;27.98727191;19.43623177;11.15690205;39.98046208;20.21002848;23.05207113;22.28037392;22.11671549;19.11673369;30.53401124;7.238986515;19.2410861;8.834928946;23.42666242;13.51154338;14.76010644;19.68777035;18.78602598;16.42446748;53.66743269;33.22891785;22.62583936;56.00346299;42.31813875;42.90902681
2;644;40;49;3.713335195;29.08049706;17.1237902;13.21854496;41.40619061;21.64031959;21.65461768;24.61046205;19.80427392;21.44682182;29.79794325;5.880242065;17.69546985;6.522487376;22.02920897;11.96592713;16.70805259;20.93644638;20.73397213;18.37241363;53.37819544;31.8314644;21.22838591;55.71422574;43.74386728;42.61978956
3;2509;51;78;18.13437844;18.38520713;10.87050601;10.36605219;30.71090068;10.94502966;22.27837281;17.55427945;13.31435891;17.99290914;30.44554268;18.12823909;10.10352392;10.92130246;22.6529641;6.442306898;5.00188494;14.35349542;6.86199252;12.45864634;47.85803828;32.45521952;21.85214104;50.19406858;33.04857735;37.0996324
4;2301;26;49;5.297417136;28.4059186;17.34221988;17.60252516;40.73161216;20.96574113;16.74704774;27.57499093;19.78607278;25.61993928;29.16399397;5.959334046;14.30228503;10.1513302;17.12163903;16.05740505;21.09203279;25.1296642;20.30608055;23.21254113;52.74424616;26.92389446;16.32081597;55.08027646;43.06928882;41.98584028
5;2400;66;48;14.15766628;21.18155027;23.45174533;7.90290387;32.6295742;14.08411794;26.97873465;14.35007114;24.48742685;11.80937803;24.68777972;15.07082978;22.95648998;15.49163897;27.35332594;17.62407304;13.5768237;21.21312803;16.47781554;10.01403808;45.66803655;37.15558137;26.55250288;48.00406685;34.96725087;34.90963067
6;4045;17;76;15.35727922;19.56186137;8.498162653;19.81789677;31.88755492;12.1216839;14.02357665;18.7309337;10.94201555;19.16956339;26.44052288;15.13165694;5.4582278;12.48686957;14.39816794;9.911509302;13.12930152;17.31130049;11.46202332;15.53057902;49.03469253;24.20042337;13.59734488;51.37072283;34.22523159;38.27628665
7;4016;48;80;16.92106091;17.87598498;8.903949861;12.38782072;30.20167853;10.43580751;20.45542438;17.04505731;11.34780276;17.483687;29.93632053;16.42248428;8.280575488;11.40636947;20.83001567;7.31882975;5.536076232;14.1127836;8.883761052;13.84470263;47.34881614;30.63227109;20.02919261;49.68484643;32.5393552;36.59041026
8;3531;25;41;6.835685219;28.03997124;16.97627253;21.18900076;40.3656648;20.59979378;12.40495325;23.56163697;19.42012543;21.27784478;24.82189947;4.147375709;13.93633767;13.7378058;12.77954454;17.75516028;21.6074114;25.78941036;19.9401332;24.00868889;48.40215166;22.58179996;11.97872147;50.73818196;42.70334147;37.64374578
9;4453;59;51;11.09754682;21.39006947;19.36605649;4.906239146;33.45852124;13.49744172;27.37954173;17.07246691;20.40173801;13.98677676;28.52462822;14.01075625;19.79915618;11.87762728;27.75413302;13.5383842;9.49113486;17.12743918;13.5170544;9.708968435;48.32736398;37.55638844;26.95330996;50.66339428;35.79619791;37.5689581
10;2205;2;28;19.67050169;31.59226266;20.67231134;31.9380358;43.91795621;24.29583259;14.37277402;26.03421039;23.11616424;23.7504182;27.29447289;18.60233372;17.63237649;24.66101825;14.74736531;22.08565799;25.30345021;29.48544918;23.63617201;27.70472771;50.87472508;24.54962073;13.94654225;53.21075537;46.25563288;40.1163192
11;548;64;27;18.38755715;23.59177793;26.8344785;15.15885657;35.91747149;17.09885365;18.5736433;18.03372566;29.17154436;13.68067147;17.21244908;17.87931056;23.79454364;22.77657779;18.94823459;24.89880185;20.85155251;28.48785683;23.20405825;17.26999078;41.61220221;28.75049001;18.14741152;43.94823251;38.25514816;30.85379633
12;632;61;42;12.14136044;23.76927249;23.72579471;9.265977369;35.6410151;16.92302698;25.75754359;15.8716611;24.76147623;12.54354335;23.93895012;12.55859279;24.1588944;15.76568835;26.13213488;17.89812242;13.85087308;21.48717741;17.87679262;12.6017603;45.96152491;35.9343903;25.33131182;48.2975552;37.97869177;35.20311903
13;3148;104;70;31.95080672;8.331908005;24.44844989;20.22976902;19.31499014;14.27593852;30.82765669;12.40920569;26.34862923;19.0383679;31.54800155;34.82094971;22.54380251;27.01694696;31.20224798;25.5432803;24.39292588;31.66935578;20.38114312;18.32462173;48.96049716;41.0045034;30.40142491;51.29652746;21.65266681;38.20209128
14;3565;73;-15;32.65467479;31.91373432;35.15643488;32.25950746;44.23942787;25.42081003;26.89559968;26.35568205;37.49350074;24.07188986;2.851253608;31.69319588;32.11650003;38.16181847;27.27019097;36.56978153;35.53779739;42.8142273;31.52601463;29.46949325;51.19619674;37.07244639;26.46936791;53.53222703;46.57710454;40.43779086
