ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25
0;43;67;13.1460715;23.22358901;12.62140705;11.93230413;35.54928256;15.78341154;24.60684765;22.39266133;15.06525995;22.83129102;35.28392456;13.83657667;12.43199876;6.676775382;24.98143894;4.577999618;9.31348572;13.82315728;14.19588234;14.7415006;52.69642016;34.78369436;24.18061588;55.03245046;37.88695923;41.93801428
3;72;14;20.8032733;17.77740899;21.45699607;18.12318213;30.10310254;11.2844847;15.04419819;12.21935671;23.35717541;9.935564524;13.8278513;19.84179439;19.5523487;24.02549314;15.41878948;22.55182648;21.40147206;28.67790196;17.3896893;15.33316792;37.0598714;25.2210449;14.61796642;39.3959017;32.44077921;26.30146552
5;102;64;28.5499201;4.983281147;21.04756327;16.82888241;21.15538294;10.8750519;27.42677007;10.31348239;22.94774261;15.6944814;28.14711494;31.42006309;19.1429159;23.61606034;27.80136136;22.14239368;20.99203926;28.26846916;16.9802565;14.92373512;45.55961054;37.60361678;27.0005383;47.89564084;23.49305961;34.80120466
6;43;78;15.91618744;18.81797873;10.28300359;12.54470205;31.14367228;11.37780126;20.84031183;17.98705105;12.21592871;18.42568074;30.87831428;15.91004809;8.665462936;8.703111462;21.21490312;3.306229418;8.11808184;12.55138708;10.71814068;14.78669638;48.29080988;31.01715854;20.41408006;50.62684018;33.48134895;37.532404
16;67;72;19.45285408;16.78754255;16.39303291;9.519960626;29.03023216;7.0241184;26.66323443;15.95661487;18.29321225;16.39524456;28.8478781;22.04182783;14.48838554;14.71663762;27.03782572;12.58285264;5.89409808;16.47639958;6.96016956;4.112671415;46.2603737;36.84008114;26.23700266;48.596404;31.36790883;35.50196782
18;7;30;20.97195094;32.59692557;21.53322685;32.85296097;44.92261912;25.1567481;15.67422327;27.33565963;23.97707975;25.05186744;28.59592214;19.90378297;18.493292;25.52193376;16.04881456;22.9465735;26.16436572;30.34636468;24.49708752;28.56564322;52.17617432;25.85106998;15.2479915;54.51220462;47.26029579;41.41776844
19;40;55;5.138270741;26.51191649;14.55520963;10.97015121;38.83761004;19.07173902;22.28867799;23.96008357;17.23569335;23.32411038;32.34218852;8.424487331;15.12688928;3.953906802;22.66326928;9.397346558;14.45965884;18.49729024;18.41207844;16.1684593;54.73781558;32.4655247;21.86244622;57.07384588;41.17528671;43.9794097
20;77;37;20.73544918;17.52531935;21.20490643;16.38362871;29.8510129;11.03239506;19.62016917;11.15757043;23.10508577;4.356172144;20.34051404;19.54835659;19.30025906;23.7734035;19.99476046;22.29973684;21.14938242;28.42581232;17.13759966;13.41784156;38.26881446;29.79701588;19.1939374;40.60484476;32.18868957;27.51040858
21;34;72;16.3029712;21.52450751;8.215517469;15.67534743;33.85020106;14.08433004;21.59622759;20.69357983;11.46031979;21.13220952;33.58484306;16.29683185;9.413952556;9.089895222;21.97081888;6.461918618;10.62471018;18.51208132;13.42466946;17.472982;50.99733866;31.7730743;21.16999582;53.33336896;36.18787773;40.23893278
22;47;18;15.02021158;21.86361935;20.15593063;21.88358889;34.1893129;15.37069506;11.89509543;16.30556707;22.59978353;14.02177488;17.56582958;14.51196499;17.11599578;19.48289392;12.26968672;21.56927728;24.7870695;28.96906846;21.47589966;19.41937828;41.14608176;22.07194214;11.46886366;43.48211206;36.52698957;30.38767588
