ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25
0;43;67;13.80988708;24.03215843;12.82650325;12.52869837;36.65637694;16.17967086;25.52807247;23.01034183;15.38655671;23.38641528;36.80960948;14.39109205;12.9689693;7.099980522;26.02259026;4.667951498;9.61767216;14.50485358;14.57536722;15.54923236;53.87072636;36.34064366;25.24364806;56.76541042;39.21393477;43.2182872
3;72;14;22.41458968;18.67546499;22.47394507;18.89050527;31.2996835;11.78231166;15.79527897;12.88583743;24.56855633;10.41070578;14.62932068;21.18642229;20.60536754;25.01721616;16.28979676;23.3361784;22.31551938;29.88299524;18.350172;16.1752735;38.03445986;26.60785016;15.51085456;40.92914392;33.85724133;27.3820207
5;102;64;30.00119692;5.266912247;21.99757951;17.64594003;21.60814174;11.3059461;28.55041377;11.01559273;24.09219077;16.29517284;29.71836704;32.64084625;20.12900198;24.5408506;29.04493156;22.85981284;21.83915382;29.40662968;17.87380644;15.69890794;46.77948392;39.36298496;28.26598936;49.67416798;24.16569957;36.12704476
6;43;78;16.89200608;19.67612093;10.67639575;12.92632611;32.30033944;11.82363336;21.63631323;18.65430433;12.73010609;19.03037778;32.45357198;16.46421433;9.077210056;9.173102802;22.13083102;3.380324258;8.59432872;13.21722634;11.25014718;15.48140872;49.51468886;32.44888442;21.35188882;52.40937292;34.85789727;38.8622497
16;67;72;20.4835669;17.56742837;17.16844189;10.13598729;29.95498156;7.28666628;27.85896753;16.54561177;19.26305315;16.92168522;30.34487942;23.00862421;15.29986436;15.49546444;28.35348532;13.23796408;6.12177666;17.21788468;7.27726464;4.388767475;47.4059963;38.67153872;27.57454312;50.30068036;32.51253939;36.75355714
18;7;30;21.8002444;33.63333557;21.91308157;33.53335875;46.25755408;25.780848;16.06914465;28.46527459;24.47313503;25.99014294;30.18458192;20.51221759;18.82613648;25.9952293;16.56366244;23.28331762;26.78606256;31.17019576;25.25987874;29.43862336;53.61389702;26.88171584;15.78472024;56.50858108;48.81511191;42.96145786
19;40;55;5.358594341;27.70753805;15.27094999;11.28587823;40.33175656;19.85505048;23.18983035;24.80149315;17.97266063;24.43863474;34.36148774;8.500048871;15.82894268;4.240744602;23.68434814;9.999014078;14.68400244;19.10392174;19.04064606;17.04495736;55.93348988;34.00240154;22.90540594;58.82817394;42.88931439;45.28105072
20;77;37;21.6871171;18.26993663;22.06841671;17.35530447;30.89415514;11.3767833;20.36975685;11.44984171;24.16302797;4.610226364;21.53771012;20.56243105;20.19983918;24.6116878;20.86427464;22.93065004;21.90999102;29.47746688;17.94464364;14.51541538;39.3621788;31.18232804;20.08533244;42.25686286;33.45171297;28.70973964
21;34;72;17.30519446;22.52241023;8.869323609;16.25381763;35.14662874;14.66992266;22.49393853;21.50059363;12.30863213;21.87666708;35.29986128;16.87740271;9.934835356;9.586291182;22.98845632;6.778428998;10.84305906;19.42596292;14.1489534;17.85642166;52.36097816;33.30650972;22.20951412;55.25566222;37.70418657;41.708539
22;47;18;15.783754;22.84373573;21.23984461;22.93003845;35.46795424;15.9505824;12.41179005;17.05410817;23.79989807;14.57897652;18.7734155;15.19645381;18.15289952;20.63640772;12.90630784;22.61008066;26.1128256;30.4969588;22.51844274;20.34354424;42.2027306;23.22436124;12.12736564;45.09741466;38.02551207;31.55029144
