ID_CENTRO;ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25
0;2783;93;72;33.76238518;3.517228666;22.50937495;21.76688276;22.2555796;9.794153339;32.05880673;16.98067771;25.36714133;17.57875104;32.59504004;34.91075455;20.80303994;25.70134336;32.62125154;23.60193286;22.61485008;31.0205836;17.77522962;15.48912699;53.22191174;44.6017049;31.76096949;57.0592519;25.29062553;40.20053248
1;4105;45;48;6.397591905;35.34241331;24.08487835;14.38364409;48.79764574;25.20174888;28.38011379;27.89799194;27.36447635;24.73422355;37.89062708;8.763943935;23.71229162;11.10134975;28.9425586;16.44242284;18.25280622;25.33417391;23.45234088;20.89099648;65.24195193;40.92301197;28.08227656;69.07929209;51.83269167;52.22057267
2;644;40;49;4.458633175;36.072318;21.1355645;15.71561092;50.13047747;26.63893369;26.44115506;30.84381261;24.4151625;27.68004422;36.97981149;7.125462385;22.24639563;8.152035896;27.00359987;15.10043237;19.58477305;25.59254448;24.78430771;22.64365241;65.27717758;38.98405324;26.14331783;69.11451774;53.1655234;52.25579832
3;2509;51;78;23.011048;23.28482471;13.14854347;13.16604537;37.34298418;13.8514404;27.95571807;21.94629463;16.22691293;22.54436796;37.56065696;22.09236871;12.9951734;13.68981004;28.51816288;8.196607058;6.21705504;18.97639942;8.07642684;15.27256768;58.18752866;40.49861624;27.65788084;62.02486882;40.37803011;45.1661494
4;2301;26;49;6.212104116;35.8700377;21.42934122;22.17883112;49.92819718;26.43665339;20.87845388;34.53150763;24.50771068;32.30649642;36.30467995;7.414467246;18.08765149;12.60153466;21.44089869;20.54417829;26.04799325;32.05576468;25.63126289;28.75604499;64.60204604;33.42135206;20.58061665;68.4393862;52.9632431;51.58066678
5;2400;66;48;17.76137794;26.62848995;28.24016167;10.11781443;39.57215164;18.06001752;33.85515831;17.97028934;29.43093911;15.23393341;31.25127668;18.830327;29.1123221;18.97167227;34.41760312;21.40011898;16.6066335;26.43821381;19.9741686;12.8794915;55.31424933;46.39805649;33.55732108;59.15158949;42.60719757;42.29287007
6;4045;17;76;19.4645494;24.91255745;10.47186097;24.61308765;38.97071692;15.47917314;17.59885623;23.57402738;13.55023043;24.17210071;33.11037242;18.96885896;7.13017124;15.48290159;18.16130104;12.13739272;16.51807746;22.04193575;14.67378264;20.19475192;59.81526141;30.14175441;17.301019;63.65260157;42.00576285;46.79388215
7;4016;48;80;21.26997623;22.38604578;10.70732444;15.66247678;36.44420525;12.95266147;25.57725664;21.04751571;13.7856939;21.64558904;36.66187803;19.99988612;10.61671197;14.13488939;26.13970145;8.74656857;6.989823372;18.44079168;10.56067363;17.66824025;57.28874974;38.12015481;25.27941941;61.12608989;39.47925118;44.26737048
8;3531;25;41;8.658529439;35.46517566;21.02447919;26.72119114;49.52333514;26.03179136;15.36706397;29.58100071;24.10284865;26.7951065;30.79329003;5.149792349;17.68278945;17.14389468;15.92950878;21.8698305;27.07069568;32.59455396;25.22640086;30.74737013;59.09065612;27.90996214;15.06922673;62.92799628;52.55838107;46.06927686
9;4453;59;51;14.51406928;27.51156581;23.50397749;6.552796586;41.26469836;17.01267648;34.32881547;20.79808237;24.69475493;17.83776114;35.2710425;17.37361873;24.5379503;14.23548808;34.89126028;16.6639348;11.87044932;21.70202962;17.06998398;12.2737414;58.77936272;46.87171364;34.03097824;62.61670288;44.29974429;45.75798346
10;2205;2;28;24.86721461;39.6934881;25.5869933;39.72821998;53.75164757;30.59430547;17.8289638;32.64901491;28.66536276;29.8631207;33.86130423;23.48211812;22.24530357;30.59803391;18.39140861;27.25252505;31.63320979;37.15706808;29.78891497;35.30988425;62.15867032;30.37186197;17.53112657;65.99601047;56.7866935;49.13729106
11;548;64;27;22.46152475;29.03626685;33.22643402;19.99508307;43.09442633;20.62785517;22.66784968;21.99179366;36.0842004;16.63205311;20.8998338;21.91362458;29.9339414;28.16594957;23.23029449;30.59439629;25.80091081;35.63249111;28.49228869;22.32827434;50.46539985;35.21074785;22.37001244;54.30274001;46.12947226;37.44402059
12;632;61;42;13.89708302;30.12026781;28.59657095;11.64539005;43.74718652;21.2548543;31.42819801;19.92002052;29.78734839;15.82713533;29.66018214;15.56769551;29.63054376;19.32808155;31.99064282;21.75652826;16.96304278;26.79462309;22.16257744;16.32749606;55.96029121;43.97109618;31.13036078;59.79763136;46.78223245;42.93891195
13;3148;104;70;40.14452132;10.2785195;29.58580553;25.24862988;22.9108145;16.98722668;37.67195683;15.36428117;32.44357191;23.19190114;38.20819013;41.98718513;27.87947051;32.77777394;38.23440164;30.67836344;29.69128066;38.09701418;24.8516602;22.55469007;58.83506184;50.214855;37.37411959;62.672402;25.94586043;45.81368258
14;3565;73;-15;41.04301433;39.3731502;43.56331736;39.8226943;53.43130967;30.96473851;33.00473302;32.32867701;46.42108374;29.5427828;3.390601888;39.23981186;40.27082475;46.75528577;33.56717783;44.65587527;43.66879249;52.07452602;38.82917203;36.65971217;61.83833242;45.54763119;32.70689579;65.67567257;56.4663556;48.81695316
15;3040;33;71;16.59172564;27.59409827;13.15340179;18.8177381;41.65225774;18.16071396;24.77225673;26.25556819;16.23177125;26.85364152;40.28377292;18.85155439;9.216037395;8.530683821;25.33470154;5.549332837;14.15576622;21.72754768;17.35532346;22.10094261;62.49680222;37.3151549;24.47441949;66.33414238;44.68730367;49.47542296
16;3055;31;98;26.39958828;28.31844468;8.435346685;25.88605474;42.37660416;18.88506038;28.95103006;26.97991461;3.083049246;27.57798794;42.59427693;28.17600507;13.99048539;18.33854646;29.51347487;14.86816421;19.9239647;13.4023239;18.07966988;23.60063915;63.22114864;41.49392824;28.65319283;67.0584888;45.41165009;50.19976938
17;3015;22;27;14.56754115;33.44953516;21.3829026;33.57806426;47.50769463;25.04112347;12.19112522;26.40506197;24.46127206;23.61916776;27.61735129;13.29556926;18.04121287;24.0007678;12.75357003;23.04843435;27.42911909;32.95297738;25.58482427;30.73609713;55.91471738;24.73402339;11.89328799;59.75205753;50.54274056;42.89333812
18;2459;60;35;16.60623603;33.13486425;30.96689856;15.35708233;47.03590857;22.37532167;29.08640125;23.96770758;33.49904068;16.83560573;29.55684372;16.05833586;32.20374018;22.49714037;29.64884606;25.05777692;20.67473507;30.50631537;25.87426973;20.07089636;55.93671931;41.62929943;28.78856402;59.77405947;50.0709545;42.91534005
19;2365;60;39;16.87835136;31.31215986;29.86602543;13.3988548;45.37031934;21.64709618;30.6581959;22.00948005;31.54081315;14.8773782;28.67688591;14.95746273;31.10286705;20.70232218;31.22064071;23.50999301;18.71650754;28.54808784;23.9160422;18.11266883;54.5890432;43.20109408;30.36035867;58.42638336;48.40536527;41.56766394
20;2122;15;63;16.20923415;24.94848915;10.50779268;24.64901935;39.00664863;15.51510485;14.34354097;23.60995908;13.58616214;24.20803241;29.85505716;15.7135437;7.166102942;15.51883329;14.90598578;12.17332442;16.55400917;22.07786745;14.70971435;20.23068362;58.15242325;26.88643915;14.04570374;61.98976341;42.04169456;45.13104399
21;3131;76;9;30.44205632;26.72519331;30.91536047;27.17473741;40.78335278;18.31678162;22.40377501;19.68072012;33.77312685;16.89482591;12.50793684;28.63885385;29.20902546;34.10732888;22.96621982;32.00791838;31.0208356;39.42656913;26.18121514;24.01175528;49.19037553;34.94667318;22.10593778;53.02771568;43.81839871;36.16899627
22;2989;71;44;19.90667488;24.33932999;28.52949715;14.12653845;37.97748178;15.9309183;29.56930845;13.94666714;31.38726353;10.80347197;28.6717637;19.8736343;26.82316214;23.23856483;30.13175326;25.66701154;20.87352606;30.70510637;23.34981192;11.74546294;52.20252273;42.11220663;29.27147122;56.03986289;41.01252771;39.18114347
23;3882;63;101;34.57060207;27.23256836;23.31759184;29.90050866;41.29072783;17.79918405;36.5718015;25.89403829;25.7680736;26.49211162;41.50840061;35.71897144;21.61125683;26.50956025;37.13424631;24.41014975;21.84163203;15.4975223;15.57273393;22.51476283;62.13527232;49.11469967;36.27396427;65.97261247;44.32577376;49.11389306
24;3729;17;27;18.31190077;35.38048112;21.55321468;35.69444135;49.43864059;26.56052685;14.12207118;28.33600792;24.63158414;25.55011371;29.54829725;17.18051206;18.21152495;26.56425529;14.68451599;23.21874643;27.59943117;33.12328945;25.75513635;31.27610562;57.84566333;26.66496935;13.82423394;61.68300349;52.47368652;44.82428407
25;2693;47;20;17.72735435;28.55607371;26.3277422;26.11103883;42.61423319;20.14766203;15.71996074;21.51160052;29.40611166;18.72570631;22.72388984;17.25101228;22.98605246;23.86851395;16.28240555;26.42915051;30.35357299;36.50875451;28.01209555;25.84263568;51.02125593;28.26285891;15.4221235;54.85859609;45.64927912;37.99987667
26;3674;109;44;40.73277889;21.6603989;31.8750313;28.13440824;36.78604255;19.27645245;34.63189368;7.910452668;34.73279768;13.28080174;35.16812699;40.75436855;30.16869629;35.06699972;35.19433849;32.96758921;31.98050643;40.38623996;27.14088597;24.97142611;53.08429536;47.17479186;34.33405645;56.92163552;39.82108848;40.0629161
27;3664;95;60;34.72927584;11.81520138;23.47626561;19.99538626;26.17850976;10.87768676;31.56241691;13.08618819;26.33403199;17.08236122;32.09865021;35.87764521;21.76993059;26.66823402;32.12486172;24.56882352;23.58174074;31.98747426;18.74212028;16.57266041;52.72552192;44.10531508;31.26457967;56.56286208;29.21355569;39.70414266
28;4507;3;35;21.78292978;36.46311653;22.02242005;36.16364673;50.521276;27.02973222;17.86127187;32.07520862;25.10078951;29.28931441;33.28749794;18.86359754;18.68073032;27.03346067;18.42371668;23.6879518;28.06863654;33.59249483;26.22434172;31.745311;61.58486403;30.40417005;17.56343464;65.42220419;53.55632193;48.56348477
29;3564;73;48;21.0217363;22.91298983;27.10315699;13.77599919;35.85665152;14.3445174;30.22076751;14.25478921;29.96092337;11.7305103;30.50986754;21.70215217;25.39682198;21.8883268;30.78321232;24.31677352;19.52328804;29.35486834;22.25547966;10.65113068;51.5987492;42.76366568;29.92293028;55.43608936;38.89169745;38.57736994
30;4268;65;-8;35.13290989;33.46304576;37.65321292;33.91258986;47.52120523;25.05463407;27.09462858;26.41857256;40.5109793;23.63267836;4.223786027;33.32970742;34.36072031;40.84518133;27.65707339;38.74577083;37.75868805;46.16442158;32.91906759;30.74960773;55.92822797;39.63752675;26.79679135;59.76556813;50.55625116;42.90684871
31;1999;58;57;17.02481554;23.08769333;20.14027273;2.128924106;36.98873764;13.96409388;33.82916139;18.75103237;21.33105017;19.3491057;34.3653947;20.68781389;21.17424554;10.87178332;34.3916062;13.30023004;8.50674456;18.33832486;13.70627922;10.11713332;54.9922664;46.37205956;33.53132416;58.82960656;40.02378357;41.97088714
32;4183;44;71;16.36087641;26.14006131;13.27464996;13.57958395;40.19822079;16.70667701;29.24348359;24.80153124;16.35301942;25.39960457;40.41589356;15.44219712;14.28293892;7.039638448;29.8059284;3.926027784;8.921820886;16.29661773;14.54367587;16.92200564;61.04276527;41.78638177;28.94564636;64.88010543;43.23326672;48.02138601
33;3175;68;65;24.38388487;19.98070478;22.52018782;7.64439606;33.72707017;7.679593954;33.83694648;18.75881747;25.3779542;19.3568908;34.37317979;27.50770901;20.81385281;16.2683969;34.39939129;18.16514641;10.11029271;23.55893618;12.66709971;5.266351209;55.0000515;46.37984466;33.53910925;58.83739166;36.7621161;41.97867224
34;3847;44;23;15.14198105;29.86034214;26.40170414;26.60659533;43.91850161;21.45193045;15.79392268;22.81586894;29.4800736;20.02997473;24.02815827;14.66563898;23.06001441;22.19983385;16.35636749;25.49350349;30.84912949;37.97177891;29.31636397;27.1469041;52.32552435;28.33682085;15.49608544;56.16286451;46.95354754;39.30414509
35;2526;65;67;23.84698221;19.89006232;22.85574978;7.107493399;35.59923015;9.502531433;36.30080246;21.22267345;24.04652722;21.82074678;36.83703577;25.00257474;22.10925571;15.55454476;36.86324727;15.66001215;7.605158453;21.05380192;10.16196545;4.729448548;57.46390748;48.84370063;36.00296523;61.30124763;38.63427608;44.44252822
36;3624;76;54;24.46613491;17.93529595;22.12546312;11.41382537;31.83634027;9.523686748;28.67676402;13.598635;24.9832295;14.05443555;29.21299732;26.21575186;20.4191281;20.15668459;29.23920883;22.58513131;17.79164583;27.62322613;17.39131779;8.766671403;49.83986903;41.21966219;28.37892678;53.67720919;34.8713862;36.81848977
37;4244;37;64;16.63863352;31.81420247;17.84840755;17.58105789;45.87236194;22.38081816;28.80463707;30.47567239;20.92677701;31.07374572;44.23086314;20.18149927;14.54388248;10.66478164;29.36708188;9.876351278;18.31981158;25.89159304;21.57542766;22.70891164;66.71690642;41.34753524;28.50679984;70.55424658;48.90740787;53.69552716
38;3761;45;80;19.7830177;22.01074235;9.220365909;17.08072413;36.06890182;12.57735804;24.09029811;20.67221227;12.29873537;21.2702856;36.2865746;18.51292759;9.129753436;14.02805686;24.65274292;7.259610038;8.40807072;19.85903902;11.77196754;17.29293682;56.9134463;36.63319628;23.79246088;60.75078646;39.10394775;43.89206704
39;4168;42;64;11.94324877;27.97477604;15.35315176;11.563203;42.03293551;18.54139173;28.60736142;26.63624597;17.66067578;27.2343193;42.25060829;14.8935388;13.64681675;2.622010815;29.16980623;6.500853491;13.38858489;20.70829682;17.73600123;15.09172747;62.87748;41.15025959;28.30952419;66.71482015;45.06798144;49.85610074
40;2504;64;20;25.81327513;25.57471333;29.7648805;23.41717319;39.63287281;17.16630165;19.20629616;18.53024014;32.62264688;15.62412489;17.43828028;25.26537496;26.47238788;31.58803969;19.76874097;30.85743841;29.22300093;38.27608915;25.03073517;22.8612753;48.03989555;31.74919433;18.90845892;51.87723571;42.66791874;35.01851629
41;3403;30;31;12.00415366;36.94100741;23.49264655;29.30072085;50.99916688;28.49995872;15.73461705;29.89653421;26.57101601;27.11064;31.10882354;9.819561131;20.15095682;19.72342438;16.29706186;24.41050078;29.53886304;35.06272132;27.69456822;33.2155375;59.40618962;28.27751522;15.43677982;63.24352978;54.03421281;46.38481036
42;3675;22;15;21.80336376;32.40086856;23.14054329;32.85041266;46.45902804;23.99245688;8.607095505;25.35639537;26.21891275;22.57050116;26.56868469;18.76784067;19.79885355;28.1515839;9.169540315;24.80607504;29.18675978;34.71061806;27.34246496;29.68743053;54.86605078;21.14999368;8.309258272;58.70339094;49.49407397;41.84467152
43;4359;31;66;16.03988254;29.01519731;15.54955807;18.87773144;43.07335678;19.581813;25.49494179;27.67666723;18.62792753;28.27474056;40.95340964;18.30869527;11.61219368;7.978840721;26.0573866;8.854463797;17.50769184;25.0794733;18.7764225;22.93763727;63.91790126;38.03783996;25.19710455;67.75524142;46.10840271;50.896522
44;4458;13;15;25.10810199;36.21076642;26.3599914;36.66031052;50.26892589;27.80235473;11.60015558;29.16629323;29.43836086;26.38039902;30.37858255;22.0725789;23.01830167;31.37103202;12.16260039;28.02552315;32.40620789;37.93006618;30.56191307;33.49732839;58.67594864;24.14305375;11.30231835;62.51328879;53.30397182;45.65456938
45;2153;20;1;20.0563547;32.04416271;21.30824411;32.49370681;46.10232218;23.63575102;3.716376369;24.99968951;24.38661357;22.21379531;26.21197884;17.02083161;17.96655438;26.31928472;4.278821179;22.97377586;27.3544606;32.87831889;25.51016578;29.33072468;54.50934492;16.25927454;3.418539136;58.34668508;49.13736811;41.48796566
46;2625;40;24;13.66413693;31.50837424;26.00015712;27.7103528;45.56653371;23.09996255;15.39237566;24.46390105;29.07852658;21.67800684;25.67619037;13.18779486;22.65846739;22.75633054;15.95482047;25.34816193;31.95288695;37.5702319;30.20207879;28.79493621;53.97355646;27.93527383;15.09453843;57.81089661;48.60157964;40.9521772
47;4085;60;29;20.55592933;27.77224178;31.96240894;18.57766266;41.83040125;19.36383009;27.60420972;20.72776859;34.82017532;16.83656122;23.92937699;20.00802916;30.25607393;25.91180869;28.16665453;28.68880087;23.89531539;33.7268957;27.22826361;23.25976867;50.237424;40.14710789;27.30637249;54.07476415;44.86544718;37.21604474
48;2458;34;22;13.58681376;31.19649306;24.71108619;31.38615838;45.25465254;22.78808138;14.10330473;24.15201987;27.78945565;21.36612566;25.36430919;12.40983411;21.36939645;23.08362654;14.66574954;26.37661794;30.75730268;36.28116096;28.91300786;28.48305503;53.66167528;26.6462029;13.80546749;57.49901544;48.28969847;40.64029602
49;951;50;98;26.07590412;31.51554919;15.15520767;17.51247989;45.57370866;22.08216488;33.38792849;30.17701912;13.36721839;30.77509245;45.79138144;28.67982447;18.42738382;19.92287191;33.9503733;13.48435854;12.57080366;3.096667087;19.50400304;22.45247238;66.41825315;45.93082666;33.09009126;70.2555933;48.60875459;53.39687389
50;4009;49;44;11.25214109;34.98256847;24.14097097;14.15140083;48.60948719;25.32477732;27.68529597;25.08660794;27.42056897;21.49243441;34.46187668;9.232408276;25.3778126;15.67121279;28.24774078;18.23184934;18.39393498;27.35957195;23.59346964;20.58584224;61.76423355;40.22819415;27.38745874;65.60157371;51.64453311;48.74285429
51;3966;99;42;32.80782982;18.88006379;27.81412777;23.12537031;36.13045504;15.21554892;29.53228779;3.932146998;30.67189415;8.530144448;30.0685211;33.0229235;26.10779276;31.00609619;30.0947326;28.90668568;27.9196029;36.32533643;23.07998244;20.91052258;46.86631641;42.07518597;29.23445056;50.70365657;39.16550097;33.84493715
52;3700;59;78;26.30088539;22.78395468;16.45903658;14.61604648;36.84211415;13.35057037;29.71324624;21.44542461;19.31680296;22.04349794;37.05978693;25.79056094;14.75270157;17.38800227;30.27569105;11.89479929;7.176075012;20.62276092;4.221636252;11.41777709;57.68665864;42.25614441;29.41540901;61.52399879;39.87716008;44.66527938
53;3040;33;71;16.58025662;27.58262925;13.14193277;18.80626909;41.64078872;18.14924494;24.76078771;26.24409918;16.22030223;26.84217251;40.2723039;18.84008537;9.204568378;8.519214804;25.32323252;5.53786382;14.1442972;21.71607867;17.34385444;22.0894736;62.48533321;37.30368588;24.46295048;66.32267336;44.67583465;49.46395395
54;727;50;17;20.266597;32.42444644;27.76699759;27.94787138;46.48260592;24.01603476;17.15921613;25.37997325;30.84536705;22.59407904;26.59226257;19.71869683;24.42530785;26.15750134;17.72166094;28.7181379;32.64256038;39.33707236;31.88046828;29.71100841;54.88962866;29.7021143;16.86137889;58.72696882;49.51765185;41.8682494
55;3481;73;64;26.26078083;20.15080827;23.18175552;9.521292012;35.10240273;9.104068606;33.31339993;18.23527092;26.0395219;17.96876201;33.84963324;29.31788064;21.4754205;18.14529285;33.87584474;20.82738368;12.77252999;26.22117345;14.66245661;2.516500341;54.47650495;45.85629811;33.0155627;58.31384511;38.13744866;41.45512569
56;3616;19;89;27.69483443;31.56704015;17.12634368;27.81977385;45.62519963;22.13365585;25.82914125;30.22851008;20.20471314;30.82658341;41.34065744;27.19914398;10.87074344;22.13738429;26.39158606;17.5348813;22.87809763;28.69641845;21.32826535;26.84923462;66.46974411;38.37203943;25.53130402;70.30708427;48.66024556;53.44836485
57;3780;34;14;17.67768065;29.37805577;24.42936338;29.82759987;43.43621525;20.96964409;13.1620813;22.33358258;27.50773284;19.54768837;23.5458719;16.500701;21.08767364;27.17449343;14.38402673;26.09489513;30.47557987;35.99943815;28.63128505;26.66461774;51.84323799;26.36448009;13.52374468;55.68057815;46.47126118;38.82185873
58;65;41;46;5.44098913;37.4469029;22.5101494;17.28367757;51.50506237;28.01351859;25.67241276;30.79802542;25.7897474;27.22026045;36.89363933;5.97147586;23.74699103;10.14474697;26.23485757;16.60102777;21.15283971;27.58525555;26.35237437;23.79102996;65.19100541;38.21531093;25.37457552;69.02834557;54.5401083;52.16962615
59;2450;39;52;4.506544977;35.18626074;20.24950725;14.82955366;49.24442022;25.75287644;27.40941442;31.09092129;23.52910525;28.13060006;38.98593843;8.783734107;21.36033837;7.265978638;27.97185923;14.21437511;18.6987158;24.70648722;23.89825046;21.75759515;67.28330452;39.9523126;27.11157719;71.12064468;52.27946615;54.26192526
60;3032;145;-10;67.43824577;58.09788725;62.28805442;58.54743135;72.15604673;49.68947557;59.39996446;49.34576438;65.1458208;46.12373053;59.93619776;65.6350433;60.5817194;65.48002283;59.96240927;63.38061233;62.39352955;70.79926307;57.55390909;55.38444922;18.00718809;71.94286263;59.10212722;5.076986628;75.19109266;36.25353575
