ID_NODO;COORDENADA_X;COORDENADA_Y;CENTRO_CERCANO;TIEMPO_CERCANO
0;43;67;32;2.022780166
3;72;14;21;3.670892142
5;102;64;13;3.400886618
6;43;78;32;3.227598646
16;67;72;35;3.832869353
18;7;30;10;2.979321552
19;40;55;59;1.686714736
20;77;37;22;5.726416684
21;34;72;53;3.769438482
22;47;18;25;0.796390448
34;7;54;20;2.773949206
38;49;16;25;1.902787508
41;7;67;20;5.319482326
46;40;52;59;0.429353896
48;49;88;38;4.88944092
58;96;42;51;1.175894824
63;26;37;41;4.06178082
65;41;46;58;0.028833449
68;43;46;58;0.841175729
85;43;79;32;3.623347546
90;63;72;35;5.501002013
96;44;18;25;2.076612308
98;72;68;35;4.414576253
107;39;76;39;6.356616693
109;59;16;40;4.649922748
110;35;23;48;2.386331418
116;64;54;5;3.302057524
118;39;47;58;0.875111069
119;48;30;25;4.336683488
120;49;51;9;4.15826496
122;39;28;46;3.511082153
125;103;47;51;4.485691744
130;38;28;46;3.908325653
134;53;86;7;4.076407152
138;48;51;1;3.810664324
139;49;65;39;3.596703153
143;56;66;31;4.83048054
144;64;42;12;1.192930063
146;48;52;59;3.784845976
147;26;34;41;2.80557552
150;64;68;35;3.460132433
156;49;72;3;3.76146306
159;43;93;38;5.95951554
160;53;68;32;5.436586666
161;38;17;57;4.506721448
162;26;43;8;5.319762798
165;83;42;51;6.370615744
176;72;24;40;4.885009588
179;90;70;0;1.972346279
180;7;60;20;5.694128926
181;54;76;7;3.993257832
184;37;56;59;2.438750956
191;68;23;40;2.868800128
192;53;71;52;5.140830072
196;29;50;4;2.928431515
197;18;60;20;3.431895166
199;77;24;21;6.166805322
202;28;45;4;2.370407875
204;68;98;23;3.261698252
207;71;72;55;3.894184186
208;18;64;20;1.823142826
209;77;39;29;5.0568195
210;2;30;10;0.838936152
212;68;18;40;2.512293088
213;38;30;46;3.938174573
216;41;35;50;7.162206845
217;35;55;59;3.317147476
218;91;50;51;6.367388164
222;66;35;19;4.177754656
223;71;66;33;3.913399534
229;19;50;8;6.108585018
230;39;71;39;4.375577493
234;74;16;21;4.761001782
235;57;23;54;5.246727657
238;48;23;34;1.653351129
240;41;60;39;2.544772953
241;65;70;35;1.114514633
242;28;44;4;2.764988875
247;51;41;50;2.055261125
249;72;43;29;2.28098016
250;8;39;20;6.636808666
253;94;51;51;6.610193164
255;43;30;34;4.584065649
257;79;35;22;6.498895564
258;34;44;8;4.860755898
264;51;49;50;2.851926605
267;77;36;22;6.109950724
268;29;47;4;2.051935915
269;85;61;36;5.821764388
270;19;69;20;3.862559326
271;54;56;9;6.15246894
275;19;66;20;2.658043786
276;41;66;39;4.291913313
288;81;14;40;9.898778788
294;73;45;29;2.65990848
297;67;68;35;2.260107173
300;40;29;46;4.346058353
303;64;49;5;1.822091284
305;34;88;16;6.385782796
306;80;63;36;4.604043028
314;46;58;39;4.085250633
324;43;87;38;3.69933756
325;66;41;5;3.364826824
329;90;48;51;7.135432864
331;73;61;36;5.328420268
332;49;43;58;5.836394669
337;34;43;8;4.461204258
340;67;71;35;3.429967013
343;40;20;46;1.708977953
349;27;84;6;5.835027124
353;47;30;25;3.942720488
354;71;50;5;4.206603724
355;26;22;17;3.298575113
356;47;34;50;5.131527965
357;56;20;25;5.265721388
360;48;29;25;3.942341228
362;49;60;39;3.732100953
369;46;79;32;4.012439686
374;64;60;35;4.632635033
