ID_NODO;COORDENADA_X;COORDENADA_Y;CENTRO_CERCANO;TIEMPO_CERCANO
0;43;67;32;2.119048906
3;72;14;21;3.831485562
5;102;64;13;3.393416498
6;43;78;32;3.350034466
16;67;72;35;4.143701753
18;7;30;10;2.997054852
19;40;55;59;1.741202056
20;77;37;22;6.069786484
21;34;72;53;3.946582422
22;47;18;25;0.872962868
34;7;54;20;2.714906086
38;49;16;25;2.057362688
41;7;67;20;5.482726786
46;40;52;59;0.453970396
48;49;88;38;5.02817142
58;96;42;51;1.275436444
63;26;37;41;4.14566652
65;41;46;58;0.028833449
68;43;46;58;0.892829249
85;43;79;32;3.768949366
90;63;72;35;5.827971053
96;44;18;25;2.158216868
98;72;68;35;4.584413453
107;39;76;39;6.665702253
109;59;16;40;4.647879148
110;35;23;48;2.544200298
116;64;54;5;3.384801244
118;39;47;58;0.977836469
119;48;30;25;4.635816908
120;49;51;9;4.26151206
122;39;28;46;3.574858613
125;103;47;51;4.580285164
130;38;28;46;3.997840613
134;53;86;7;4.107618612
138;48;51;1;4.014454504
139;49;65;39;3.782142753
143;56;66;31;5.21750946
144;64;42;12;1.299158323
146;48;52;59;3.771229156
147;26;34;41;2.88487776
150;64;68;35;3.717037733
156;49;72;3;4.00252554
159;43;93;38;6.30164526
160;53;68;32;5.645125126
161;38;17;57;4.637943728
162;26;43;8;5.585921838
165;83;42;29;6.86635626
176;72;24;40;5.006065708
179;90;70;0;2.090573039
180;7;60;20;5.826738226
181;54;76;7;4.170116232
184;37;56;59;2.582076796
191;68;23;40;3.026082268
192;53;71;52;5.485430712
196;29;50;4;3.080702755
197;18;60;20;3.650066326
199;77;24;21;6.451714602
202;28;45;4;2.489432035
204;68;98;23;3.494814632
207;71;72;55;4.191237466
208;18;64;20;1.926589006
209;77;39;29;5.4252513
210;2;30;10;0.897845712
212;68;18;40;2.584537108
213;38;30;46;4.143527273
216;41;35;50;7.509779825
217;35;55;59;3.499512556
218;91;50;51;6.659678044
222;66;35;19;4.322764036
223;71;66;33;4.171601254
229;19;50;8;6.439154778
230;39;71;39;4.534684773
234;74;16;21;5.014091502
235;57;23;25;5.396136008
238;48;23;34;1.690010109
240;41;60;39;2.710167813
241;65;70;35;1.242054833
242;28;44;4;2.904520255
247;51;41;50;2.137667465
249;72;43;29;2.5103661
250;8;39;20;6.825881446
253;94;51;51;6.932465344
255;43;30;34;4.784850129
257;79;35;22;6.876534364
258;34;44;8;4.987516578
264;51;49;1;2.982256804
267;77;36;22;6.418741864
268;29;47;4;2.124717235
269;85;61;36;6.150644788
270;19;69;20;4.090664206
271;54;56;9;6.75566772
275;19;66;20;2.853821086
276;41;66;39;4.382855853
288;81;14;40;10.82931045
294;73;45;29;2.71601658
297;67;68;35;2.447063753
300;40;29;46;4.417408553
303;64;49;5;1.855004404
305;34;88;16;6.703356796
306;80;63;36;4.946537608
314;46;58;39;4.316895093
324;43;87;38;3.78985992
325;66;41;5;3.533534404
329;90;48;51;7.613601124
331;73;61;31;5.46329052
332;49;43;58;6.051709889
337;34;43;8;4.578579498
340;67;71;35;3.722282273
343;40;20;46;1.686536273
349;27;84;6;6.142096264
353;47;30;25;4.215769328
354;71;50;5;4.367720284
355;26;22;17;3.500299733
356;47;34;50;5.362185605
357;56;20;25;5.457428348
360;48;29;34;4.136473929
362;49;60;39;3.950267613
369;46;79;32;3.977472946
374;64;60;35;4.733124173
379;46;33;50;5.973996785
380;67;47;5;4.469151004
393;47;62;39;2.751304533
398;59;43;50;4.425313025
404;47;80;32;4.566610066
412;35;20;48;2.694476838
413;79;49;29;5.11718958
414;92;46;51;5.454784864
424;48;1;25;8.395676468
426;35;43;8;5.005897578
428;93;49;51;5.995095784
435;68;61;31;5.80336278
438;23;58;4;4.577120035
439;81;52;36;5.188560448
442;36;84;6;5.039861104
450;69;51;22;3.648238864
465;40;45;58;0.875267729
471;43;70;32;0.860984566
478;66;45;5;3.536517244
479;55;43;9;5.6436342
500;79;45;29;6.77289552
506;59;72;35;4.604676353
507;86;41;51;6.389679364
510;44;48;1;3.602268124
522;66;4;30;5.659173091
527;63;14;40;3.493035928
529;63;2;40;8.517057448
535;55;56;9;6.33044382
541;60;42;12;0.446358043
546;73;11;40;6.887262268
548;64;27;11;0.060368468
551;36;42;2;4.626298514
552;86;63;36;6.014454808
556;70;63;55;5.796997786
559;27;70;53;4.367903502
562;86;25;21;10.33062844
564;36;43;2;4.191774674
567;66;56;9;5.01863436
571;70;12;21;3.893497782
576;66;72;35;4.983011033
579;90;31;51;10.31812932
581;80;67;55;6.722288866
589;64;52;5;2.540572924
590;70;46;5;4.683432124
594;75;52;29;4.79804874
601;25;23;17;2.922070793
606;50;29;34;4.950072189
608;36;61;39;4.598451993
615;26;39;4;4.224179995
617;84;26;40;9.820697248
618;48;11;25;4.194671468
623;70;30;47;4.339059632
627;74;46;29;4.60839828
628;31;49;4;2.071360915
629;80;61;36;4.435374028
631;40;58;59;2.981429896
632;61;42;12;0.021608623
636;66;60;35;5.571895913
637;126;43;65;5.805447767
639;33;30;48;5.208791958
640;44;35;50;6.284429825
644;40;49;2;0.012167654
651;31;48;4;2.476516255
653;60;72;35;5.020954553
654;41;15;54;4.547292297
656;73;18;21;6.493042062
658;73;27;11;3.960641588
659;61;35;47;2.717895812
662;80;65;55;6.517194346
666;64;1;40;9.095514448
670;62;38;19;2.135426476
672;25;57;4;3.619055695
673;17;30;24;3.734097209
677;62;45;19;5.193827956
681;94;47;51;4.990322104
682;51;72;3;4.83089934
686;75;36;22;4.771635784
687;74;64;33;4.313197414
688;70;4;21;5.233519782
693;70;9;21;2.609793342
695;75;38;22;3.960083044
710;41;23;34;4.587109989
714;56;22;25;4.620470528
715;64;72;35;6.249979613
719;103;64;13;2.970924158
721;33;57;37;4.43393658
722;39;94;16;4.748803396
724;81;47;29;4.65263496
725;66;14;40;4.743235648
727;50;17;54;0.041054997
728;70;25;11;5.683555388
730;40;66;39;4.209294633
739;40;69;39;2.928843273
748;56;64;31;4.36955424
749;64;62;55;4.699106326
757;50;22;25;3.796932248
761;126;33;65;5.869189847
786;93;47;51;5.957682244
789;28;35;41;3.3980442
806;148;-13;60;2.672266447
813;30;39;8;4.577158758
815;68;4;21;5.479308642
817;104;65;13;4.321231058
818;56;43;50;3.149794325
823;54;79;52;3.370633032
836;131;8;61;5.502059279
844;94;37;51;3.586432684
845;90;26;11;9.504997748
848;109;84;66;2.278587926
849;39;79;3;5.50070352
860;81;13;40;11.24489061
869;33;36;41;5.05047714
877;84;28;40;9.002012848
896;38;71;39;4.111596873
908;106;90;66;1.484859686
922;89;83;0;6.060427739
927;89;84;0;6.308213759
931;89;60;27;3.370327998
932;123;39;65;3.718072967
939;50;59;31;2.84482728
945;70;-8;30;2.222439631
947;68;79;52;6.804040032
951;50;98;49;0.070949003
963;97;53;51;7.988366224
1016;138;-4;60;6.097791427
1046;81;30;40;7.540544368
1050;89;27;11;9.144042728
