ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25;T26;T27;T28;T29;T30;T31;T32;T33;T34;T35;T36;T37;T38;T39;T40;T41;T42;T43;T44;T45;T46;T47;T48;T49;T50;T51;T52;T53;T54;T55;T56;T57;T58;T59;T60;T61;T62;T63;T64;T65;T66
0;43;67;18.29354274;10.2643485;9.617144234;6.86716968;14.68207332;15.22527522;11.6192319;7.211321112;15.78045386;11.60757948;22.70673289;22.00408435;15.60219406;23.6888749;34.11921679;5.742967559;13.6011488;19.50498461;17.61524741;16.45807046;11.72684993;24.44291602;18.28726968;18.91935411;19.26734319;18.62967649;25.14752703;19.114262;20.1117618;17.5687431;28.89747705;9.2634282;1.789905526;11.83166505;18.11203519;10.03344113;15.79950045;8.38099092;8.26240338;4.406441553;23.61278499;17.74535052;20.84299682;7.743297059;22.88105321;19.33858336;18.38369063;20.10486153;19.5630047;10.1856206;12.62912197;22.2439197;9.446864772;5.731498542;20.58938724;13.80130823;16.42542931;21.88386817;8.653205069;9.722832736;47.05125667;38.76586074;20.52883956;50.99282754;34.40490026;28.46636363;26.78414265
3;72;14;13.6148376;19.86480726;19.21760299;17.2414944;18.41441232;14.83867404;15.9220644;16.53973663;14.51862368;17.66805012;16.67890027;8.742622148;14.30609692;17.94485896;15.39966295;20.04548064;20.71190972;12.17222975;14.39313029;13.68581276;13.61628023;3.222218322;11.69049738;20.17714977;13.24613097;8.506255208;15.55628793;13.37024606;16.31032086;12.38181024;10.38576435;14.58981648;19.47992855;14.99839605;9.563528229;16.75534169;11.05477653;23.34462696;16.35251304;20.59220679;6.227064568;14.77235442;11.38252802;21.40654428;13.99432517;11.09918962;10.80173837;10.15595751;10.66818488;23.86294352;17.00698213;11.87091474;16.81635949;20.03401162;11.43534672;14.41594769;22.22640943;9.238990268;19.10948607;20.661983;33.66228913;25.3768932;12.28944582;37.60386;21.01593272;15.07739609;22.10543751
5;102;64;6.735492899;22.68501726;24.42397447;16.907256;26.0193609;17.89347546;17.97235734;16.20549823;25.63278752;17.0961855;27.79306411;20.05008823;20.62802968;2.802415598;28.04096245;19.71124224;20.37767132;23.28639359;22.94871695;21.57549398;18.07997537;18.36466168;16.57365618;19.84291137;24.36029481;19.62041905;10.76261865;4.057755198;26.46488724;15.42553734;22.81922271;14.01795186;19.14569015;14.66415765;20.67769207;16.42110329;11.75454345;23.01038856;16.01827464;20.25796839;17.53453065;25.88651826;22.49669186;21.07230588;25.10848901;22.21335346;21.91590221;18.91776351;21.78234872;23.52870512;22.66451083;10.3285323;16.48212109;19.69977322;22.54951056;15.11571461;23.20248493;20.35315411;24.77643579;23.7367958;40.97300233;32.6876064;23.40360966;44.9145732;28.32664592;22.38810929;13.30260975
6;43;78;14.65404264;12.13277406;12.10994191;3.80279592;16.4881566;15.64818912;8.441153044;5.589873372;16.18975232;12.03049338;19.52865403;22.48884247;16.02510796;20.0493748;30.47971669;6.697516439;10.84646702;16.32690575;18.30828623;16.88098436;8.548771066;20.80341592;18.71018358;15.27985401;16.08926433;19.99928245;21.50802693;15.4747619;16.93368294;17.86429158;25.25797695;9.6863421;2.882096926;13.15016265;20.10846127;11.35193873;14.19329769;9.86812824;5.09775276;6.106372053;19.97328489;17.62210818;17.66491796;8.697845939;19.70297435;16.1605045;19.78479809;20.52777543;19.04458352;9.076924943;14.73399846;18.6044196;6.762706932;6.686047422;21.10209492;14.97539351;13.67128063;18.70578931;12.47553705;11.42276324;43.41175657;35.12636064;17.3507607;47.35332744;30.76540016;24.82686353;23.14464255
16;67;72;12.84531204;14.25906768;15.86694985;8.60411298;20.25312246;10.79836932;13.87011066;10.34594725;21.61870994;9.61052304;24.95761165;17.65532089;13.13047732;18.2406442;28.67098609;13.14728574;16.27542464;21.75586337;15.85838855;14.43108668;13.97772869;18.99468532;11.83486026;15.74066469;21.51822195;20.25044269;19.69929633;13.6660313;22.36264056;10.98093234;23.44924635;7.26637176;9.222661366;5.394112294;21.30771571;3.595888373;9.699817288;15.81374676;11.39702952;11.64769593;18.16455429;23.0510658;23.09387558;15.1760529;25.13193197;21.58946212;22.54592585;18.07787775;22.41237236;12.50633558;14.5182558;16.795689;5.750422212;13.13581672;23.1795342;5.094825946;19.10023825;20.98317775;16.35048621;15.17977118;41.60302597;33.31763004;22.77971832;45.54459684;28.95666956;23.01813293;20.95004913
18;7;30;26.6692968;22.4150016;21.18819037;21.04185408;17.227977;28.40088282;13.56673302;19.32545371;14.51163842;28.49659956;2.544394572;20.47507657;26.93804488;31.50706774;28.46595079;18.57149724;21.58590716;11.51101541;25.15512521;25.8885842;11.26094885;20.18945368;25.25270616;27.29510817;10.20844341;15.50343031;29.11849671;26.93245484;16.18528368;25.94401902;23.24421105;27.53236338;21.89145473;26.24149833;15.61260913;27.54146957;24.61698531;21.72560538;18.20566026;21.46620423;17.95951899;12.80621784;12.84902762;19.48072794;14.88708401;11.34461416;15.28894595;23.71816629;14.54873138;24.75602;22.57959091;25.43312352;22.53956947;18.56002822;16.60624278;27.19764839;19.87107805;14.20993717;20.39140467;21.7213967;47.22449791;38.93910198;12.53487036;51.16606878;34.5781415;28.63960487;35.15989671
19;40;55;21.53695878;4.213582624;2.131662914;12.33797946;7.020566935;11.69547342;13.30561782;10.83195841;10.14085388;8.26425546;21.97971661;17.99570215;11.98102042;25.28131948;32.20039309;8.608390259;16.03017206;14.65427381;13.60686521;12.4527884;10.99983365;23.92389598;14.75746788;22.16277015;17.05660059;14.62129429;26.89161723;21.11169116;18.24476544;13.98519894;26.97865335;8.46095202;7.260715306;13.69162575;13.24783075;13.29761711;14.99702427;7.16622066;9.71216496;3.970179693;20.17955091;12.10575054;19.02117086;8.198396339;21.16315253;17.62068268;13.23496427;16.09957947;14.2224149;14.16452222;8.433968105;23.66967408;14.91767455;8.596921242;16.58100504;15.11259785;19.27838275;17.04489865;3.579370349;1.444484236;48.88132747;40.59593154;18.81093888;52.82289834;36.23497106;30.29643443;30.02755869
20;77;37;13.15813242;15.28006926;17.35849579;16.78478922;22.40460264;7.922751364;17.84989056;16.08303145;18.508814;11.4753132;20.66909059;9.097818908;8.265320443;17.48815378;20.91698893;19.58877546;20.25520454;16.16242007;8.317057666;6.889755796;17.60647055;10.52406994;5.243417164;19.72044459;17.23632129;12.49644553;13.26729261;12.91354088;20.30051118;5.51197752;15.69524919;14.1331113;19.02322337;13.85708073;13.55371855;14.83694789;8.713943248;22.88792178;15.89580786;20.13550161;10.41055713;18.76254474;15.37271834;20.9498391;17.98451549;15.08937994;14.79192869;9.233527352;14.6583752;23.40623834;12.45818622;9.619957684;16.35965431;19.57730644;15.42553704;11.54724515;23.08001815;13.22918059;16.65770181;18.6173702;34.48172581;26.19632988;16.27963614;38.42329668;21.8353694;15.89683277;21.64873233
21;34;72;17.01783438;14.13608604;12.69413065;8.8709085;14.02261218;18.61569198;8.972892844;7.897221612;16.72149212;14.99799624;20.06039383;24.76111189;18.99261082;22.41316654;32.84350843;3.350671439;11.46101216;16.85864555;20.37227495;19.59888662;9.080510866;23.16720766;21.37620216;17.64364575;16.62100413;20.53102225;23.87181867;17.83855364;17.46542274;20.22808332;27.62176869;12.65384496;5.539115926;14.35353639;20.64020107;12.55531247;16.55708943;6.52128324;6.77742816;6.690560793;22.33707663;18.15384798;18.19665776;5.351000939;20.23471415;16.6922443;20.31653789;23.09101023;19.57632332;14.62636028;15.31818721;20.96821134;10.91480779;3.339202422;21.63383472;16.32317957;12.91826197;19.23752911;14.14183809;12.00695198;45.77554831;37.49015238;17.8825005;49.71711918;33.1291919;27.19065527;25.50843429
22;47;18;17.32511292;13.8677529;13.22054863;20.5424271;15.55965396;17.0474925;13.06730604;18.82602673;11.66386532;15.80779002;13.82414191;10.62314311;13.45557694;21.65513428;18.61401733;18.07207026;21.08648018;9.317471393;10.62408215;11.97566798;10.76152187;10.33752022;15.4007727;23.88742509;10.39137261;0.767700368;19.26656325;17.08052138;13.4555625;16.09208556;13.39227759;18.3000918;18.79153355;18.70867137;3.806225169;20.46561701;14.76505185;21.2261784;17.70623328;18.43847577;8.107585528;11.91759606;8.527769657;18.98130096;11.13956681;8.244431261;5.544331313;13.34281743;6.848403498;24.25659302;9.785685665;15.58119006;20.52663481;18.06060124;3.709950777;18.12622301;19.37165107;6.384231908;12.25660947;14.66492864;37.37256445;29.08716852;9.434687458;41.31413532;24.72620804;18.78767141;25.81571283
