ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25;T26;T27;T28;T29;T30;T31;T32;T33;T34;T35;T36;T37;T38;T39;T40;T41;T42;T43;T44;T45;T46;T47;T48;T49;T50;T51;T52;T53;T54;T55;T56;T57;T58;T59;T60;T61;T62;T63;T64;T65;T66;CENTRO_CERCANO;TIEMPO_CERCANO
0;43;67;21.17887812;11.63680272;10.86499363;7.78783392;16.59255917;17.63389194;13.61509686;8.431868052;18.11282954;13.46545944;26.34096169;25.30051045;18.1037467;27.61491394;39.72463333;6.478175099;15.8570852;22.68151247;20.20425941;19.13782124;13.71794759;28.34179096;21.26720262;21.98010363;22.64365401;21.22255927;29.18197161;22.14170012;23.48717994;20.25462582;33.60704325;10.82081988;2.119048906;13.81758339;20.63742271;11.69408141;18.54003183;9.67067652;9.62454066;5.034111753;27.38970165;20.29604244;24.27336134;8.786742179;26.80643345;22.6364302;21.02087537;23.35497543;22.61412344;11.99397086;14.32263852;25.73155824;10.99266985;6.466706082;23.41671684;16.02019175;18.84859753;25.35182989;9.697754849;11.29955654;55.06775905;45.12780246;24.02673822;58.98280386;40.30650848;33.27388229;30.84910599;32;2.119048906
3;72;14;15.82218468;22.88291736;22.11110827;20.05963806;21.44043516;17.38283208;18.38249196;19.29336541;16.79690882;20.64307248;19.22955949;10.22298007;16.77951892;21.00003706;17.54434453;23.3376669;23.9888732;14.02879187;16.89293117;15.89480756;15.73365713;3.831485562;13.64073414;23.40647487;15.48735111;9.892719368;18.03024771;15.52682324;18.96521652;14.42973876;12.27683535;17.18262678;22.62795047;17.38417023;11.04052537;19.46639393;12.93240729;27.24947796;18.97213764;24.02035941;7.243216948;17.032806;13.27073366;24.9607797;16.51772669;12.9036367;12.45671135;11.93097837;12.36054074;27.37211252;19.75981399;13.61215746;19.62089341;23.32619788;13.13954298;16.94150117;25.42454353;10.74513175;22.01659155;23.77456748;39.23149255;29.29153596;14.29394472;43.14653736;24.47024198;17.43761579;25.49241255;21;3.831485562
5;102;64;7.863083219;26.0623977;27.90642943;19.5832725;30.03377958;20.97329496;20.77512954;18.81699985;29.55204362;19.44099498;31.98469429;23.27822233;24.06326308;3.393416498;32.63339089;22.86130134;23.51250764;26.78392667;26.55292415;25.24118162;20.87798027;21.25054852;19.35807162;22.93010931;28.24248591;22.64785417;12.77349927;4.688802438;30.64721262;17.99315928;26.51580081;15.93806154;22.15158491;16.90780467;23.79566017;18.99002837;13.74252333;26.7731124;18.49577208;23.54399385;20.29845921;29.7879408;26.02586846;24.48441414;29.27286149;25.6587715;25.21184615;21.98634765;25.11567554;26.89574696;26.15226481;12.04196862;19.14452785;22.84983232;25.89467778;17.62920491;26.60324311;23.50026655;28.50715107;27.12657572;47.97651661;38.03656002;27.04907952;51.89156142;33.21526604;26.18263985;15.31812891;13;3.393416498
6;43;78;16.82284062;13.8507093;14.15253253;4.24424226;18.98198766;18.03151968;9.723337624;6.370652952;18.6684188;13.86308718;22.44920245;26.01342727;18.50137444;23.25887644;35.36859583;7.817384039;12.46071572;18.78975323;21.34964537;19.66327382;9.826188346;23.98575346;21.66483036;17.62406613;18.75189477;22.97060857;24.82593411;17.78566262;19.5954207;20.65225356;29.25100575;11.21844762;3.350034466;15.26760549;23.01585619;13.14410351;16.47772827;11.3065494;5.85114678;7.107234033;23.03366415;20.44640082;20.3816021;10.12595112;22.91467421;18.74467096;22.68067439;23.94773217;21.82455572;10.70634362;17.04845263;21.37552074;7.667449812;7.805915022;24.06364134;17.45139329;15.55145119;21.46007065;14.32927857;13.37267882;50.71172155;40.77176496;20.13497898;54.62676636;35.95047098;28.91784479;26.49306849;32;3.350034466
16;67;72;14.71414806;16.6076508;18.38879941;9.9015807;23.266239;12.15376182;15.94599192;11.95340647;24.8910731;11.11771272;28.67185675;20.11958887;15.04751428;21.15018388;33.25990327;15.09167808;18.68337002;25.01240753;18.23668325;16.5503117;16.04884265;21.8770609;13.67079234;18.10097169;24.97454907;23.27436655;22.71724155;15.67697006;25.818075;12.63116244;27.14231319;8.47307316;10.73658107;6.267203734;24.42217255;4.143701753;11.24387151;18.28820868;13.14607908;13.42959567;20.92497159;26.66905512;26.6042564;17.40427434;29.13732851;24.96732526;25.83835853;20.69515767;25.74218792;14.70700196;16.83511003;19.26682818;6.535862832;15.08020906;26.52119016;5.835677386;21.77410549;24.12677893;19.05240417;17.6089457;48.60302899;38.6630724;26.35763328;52.5180738;33.84177842;26.80915223;24.14771061;35;4.143701753
18;7;30;30.78005526;26.14126014;24.58419991;24.43622244;20.08196327;32.96226924;15.67224;22.41983875;16.55176418;33.23152842;2.997054852;23.74443721;31.26009592;36.57947422;33.09960577;21.55843584;24.96688634;13.23912947;28.55368739;29.87778854;13.02340517;23.34443446;29.2201713;31.58128077;11.89285467;17.92039687;33.60968487;31.1062604;19.08057348;30.00917592;26.98201569;31.82548026;25.43676461;30.49694001;17.96564449;31.96111313;28.51184445;24.98797596;21.15845496;24.99837255;20.76467409;14.80332042;14.89911092;22.41790524;17.34750563;13.17750238;17.63046269;27.51041553;16.77434402;28.65931304;26.33524459;29.19159462;26.10342187;21.54696682;19.01342964;31.51243829;22.71429157;16.40985895;23.72634519;25.34528666;54.81092971;44.87097312;14.5678104;58.72597452;40.04967914;33.01705295;40.45028313;10;2.997054852
19;40;55;24.85425774;5.000639944;2.521055774;14.0012622;8.141266435;13.56412512;15.32861562;12.35487931;11.876165;9.7148343;25.30279489;21.05237335;14.03397988;28.90947778;37.27651159;9.748229699;18.71705858;17.27616173;15.95612231;14.66251628;12.67978079;27.52134028;17.1974358;25.65548325;20.17561311;16.97442217;30.89584449;24.41373074;21.14893782;16.338495;31.15892151;9.57799974;8.332477186;15.90766791;15.31656355;15.43883369;17.29721169;8.20429698;11.09349552;4.622515473;23.59205529;14.0593779;21.93511922;9.315444359;24.46819133;20.29818808;15.24310067;18.94697463;16.6664222;16.59303902;9.929180465;27.1626165;17.20609813;9.736760682;19.16857974;17.50229495;22.11865213;19.96913401;4.197493229;1.741202056;57.13052257;47.19056598;21.6884961;61.04556738;42.369272;35.33664581;34.52448561;59;1.741202056
20;77;37;15.41665632;17.87258694;20.34867793;19.6541097;26.01491303;9.202804684;20.84596674;18.88783705;21.3713867;13.25951484;23.80403737;10.50662761;9.445435903;20.5945087;24.45273397;22.93213854;23.58334484;18.60326975;9.741473206;8.055101656;20.30813501;12.05592118;6.069786484;23.00094651;20.06182899;14.46719725;15.68332017;15.12129488;23.5396944;6.24971136;18.33514389;16.54181118;22.22242211;15.89241351;15.61500325;17.08863005;10.07568723;26.8439496;18.56660928;23.61483105;12.11780229;21.60728388;17.84521154;24.55525134;21.09220457;17.47811458;17.03118923;10.61695071;16.93501862;26.96658416;14.52650064;11.2559196;19.21536505;22.92066952;17.71402086;13.34725637;26.67408031;15.31960963;19.21860015;21.7549451;40.55921149;30.6192549;18.8684226;44.4742563;25.79796092;18.76533473;25.08688419;22;6.069786484
21;34;72;19.66912992;16.11087288;14.56572091;10.0963191;16.1758425;21.3590112;10.58096292;9.062545032;19.5260441;17.1905787;23.30682775;28.52518831;21.82886596;26.10516574;38.21488513;3.958051439;13.36057124;19.64737853;23.42893727;22.27682372;10.68381365;26.83204276;24.93956586;20.47035543;19.60952007;23.82823387;27.67222341;20.63195192;20.453046;23.57465352;32.09729505;14.54593914;6.272852926;16.55620065;23.86210057;14.43269867;19.32401757;7.4472168;7.80116124;7.520422413;25.87995345;21.30402612;21.2392274;6.266618519;23.77229951;19.60229626;23.53829969;26.56128207;22.68218102;16.9150802;17.46164101;24.22181004;12.39744619;3.946582422;24.92126664;18.75880901;14.86453825;22.31769595;16.06098417;13.7858672;53.55801085;43.61805426;20.99260428;57.47305566;38.79676028;31.76413409;29.33935779;53;3.946582422
22;47;18;19.99045542;16.06135524;15.28954615;23.76298548;18.05694623;19.548735;14.99900304;21.74660179;13.4134199;18.3741714;15.84607057;12.21158263;15.49802758;25.1683078;21.68843935;20.88519888;24.29364938;10.64530295;12.19033295;13.79146088;12.35016821;11.93326804;17.80900488;27.57474561;12.10386219;0.872962868;22.19851845;19.69509398;15.5817276;18.5980095;15.57084927;21.22215996;21.54689363;21.55244097;4.250741109;23.63466467;17.10067803;24.314739;20.485218;21.15090927;9.231819508;13.64931708;9.887244737;21.74466828;13.13423777;9.520147781;6.271463933;15.34104897;7.674665778;27.98607608;11.23302318;17.7804282;23.78916415;20.87372986;4.217674497;21.10977191;22.04105461;7.361642828;14.12230737;16.95300536;43.39976329;33.4598067;10.9104558;47.3148081;28.63851272;21.60588653;29.66068329;25;0.872962868
34;7;54;20.47155618;17.7391716;16.13658271;14.12772336;10.57063007;27.07941984;5.363740924;12.11133967;8.660505618;23.68936098;13.30555393;18.78673573;24.56645032;26.907592;28.14190429;11.24993676;14.65838726;8.781840053;23.20978439;23.28395288;2.714906086;18.38673298;24.26246982;21.27278169;8.743981589;12.96269539;28.47464967;21.43437818;9.587507524;24.37707978;22.02431421;21.51698118;15.12826553;20.18844093;13.00794301;21.65261405;20.12644383;14.67947688;10.84995588;14.68987347;15.80697261;11.00144052;10.37368892;12.10940616;12.90676103;8.736757781;12.67276121;22.55271405;11.81664254;18.35081396;19.94952787;24.23389314;15.79492279;11.23846774;14.05572816;21.20393921;12.40579249;11.45215747;16.93602489;15.75710276;49.85322823;39.91327164;10.1270658;53.76827304;35.09197766;28.05935147;30.14178405;20;2.714906086
38;49;16;18.93482004;17.17901946;16.43320831;23.17227342;18.53186484;20.41517106;15.47392164;22.22152039;13.8883385;19.24060746;16.32098917;11.02718281;16.36446364;24.11267242;20.63280397;21.36011748;24.76856798;11.12022155;13.37473277;14.65789694;12.82508681;10.87763266;16.7533695;26.51911023;12.57878079;2.057362688;21.14288307;18.6394586;16.0566462;17.54237412;14.51521389;20.29526214;22.69055579;20.49680559;5.435140929;22.57902929;16.04504265;24.7896576;20.9601366;22.29457143;8.047419688;14.12423568;10.36216334;22.21958688;13.60915637;9.995066381;7.455863753;15.04361373;8.859065598;28.46099468;12.09945925;16.72479282;22.73352877;21.34864846;5.402074317;20.05413653;22.51597321;7.836561428;15.26596953;18.09666752;42.34412791;32.40417132;11.3853744;46.25917272;27.58287734;20.55025115;28.60504791;25;2.057362688
41;7;67;23.23937688;21.80706762;20.20447873;16.89554406;14.5553712;30.12503616;8.131561624;14.87916037;13.83234746;26.92944144;16.59456937;23.53288453;29.9503504;29.6754127;32.88805309;14.01775746;17.42620796;13.02757679;28.34213471;28.66785296;5.482726786;23.13288178;28.50981282;24.04060239;13.37127255;17.70884419;31.24247037;24.20219888;14.9714076;27.14490048;26.77046301;24.28480188;17.89608623;22.95626163;17.75409181;24.42043475;22.89426453;17.39192898;13.61777658;17.45769417;20.55312141;14.59176774;14.68755824;12.75759114;17.13595295;12.9659497;17.41891001;27.29886285;16.56279134;21.11863466;25.27331905;27.792057;18.56274349;14.00628844;18.80187696;23.97175991;15.17361319;16.19830627;21.00392091;19.72870922;54.59937703;44.65942044;14.35625772;58.51442184;39.83812646;32.80550027;32.90960475;20;5.482726786
46;40;52;26.1414894;3.713408284;1.233824114;15.28849386;6.854034775;12.27689346;16.61584728;13.64211097;10.58893334;8.42760264;24.53566723;19.76514169;12.74674822;30.06602182;35.98927993;11.03546136;20.00429024;15.98893007;14.66889065;13.37528462;13.96701245;26.23410862;15.91020414;26.94271491;18.88838145;15.68719051;32.04306243;25.57027478;22.43616948;15.05126334;29.87168985;10.73454378;9.619708846;16.85740341;14.02933189;16.38856919;16.69133775;9.49152864;12.38072718;5.909747133;22.30482363;12.77214624;22.134584;10.60267602;24.79803827;20.62803502;13.95586901;17.65974297;15.37919054;17.74958306;8.641948805;28.31916054;18.49332979;11.02399234;17.88134808;18.45203045;23.40588379;18.68190235;2.910261569;0.453970396;57.70060387;47.76064728;22.01834304;61.61564868;42.9393533;35.90672711;35.81171727;59;0.453970396
48;49;88;16.2426051;15.95295276;16.83716947;8.36075352;18.1590123;17.3715282;8.900362264;6.289555212;17.84544344;13.2030957;21.62622709;25.43319175;17.84138296;22.67864092;34.78836031;10.98653406;10.50143486;17.96677787;20.68965389;19.00328234;9.003212986;23.40551794;21.00483888;17.04383061;17.92891941;22.14763321;24.24569859;17.2054271;18.77244534;19.99226208;28.67077023;10.55845614;8.547024466;15.04007037;22.19288083;12.91656839;15.89749275;14.89834512;5.02817142;11.66922657;22.45342863;19.62342546;19.55862674;12.60964686;22.09169885;17.9216956;21.85769903;23.28774069;21.00158036;10.04635214;17.83535527;20.79528522;10.77031861;10.97506504;23.24066598;16.97498813;14.72847583;20.63709529;18.35682705;16.05731576;50.13148603;40.19152944;19.31200362;54.04653084;35.37023546;28.33760927;25.91283297;38;5.02817142
58;96;42;15.6116811;24.16319682;26.48864647;19.84913448;28.92567042;15.41098434;21.04099152;19.08286183;24.28214408;18.85406904;26.71479475;18.00832279;14.78108386;14.99923816;27.36349135;23.12716332;23.77836962;21.51402713;18.38715983;16.70078828;21.14384225;15.98064898;13.05949326;23.19597129;22.97258637;17.37795463;7.998093514;12.91222844;26.45045178;12.45789102;21.24590127;16.30918032;22.41744689;17.17366665;18.52576063;19.25589035;12.72190371;27.03897438;18.76163406;23.80985583;15.02855967;24.51804126;20.75596892;24.75027612;24.00296195;20.38887196;19.94194661;16.71644811;19.845776;27.16160894;20.64745873;1.275436444;19.41038983;23.1156943;20.62477824;16.73099759;26.86910509;18.23036701;25.32140769;27.4976945;39.53872843;29.59877184;21.77917998;43.45377324;24.77747786;17.74485167;24.20626065;51;1.275436444
63;26;37;27.72661998;11.71999566;10.16293543;21.38278716;5.056456735;20.00426898;12.61880472;19.36640347;5.436682698;18.81026394;14.17019989;20.59972069;17.15835346;33.4347577;29.95488925;17.88893664;21.91345106;5.623462733;15.80168753;15.87585602;9.969969886;20.19971794;20.90222868;28.52784549;8.522914109;14.77568035;30.46496835;27.96154388;12.852132;22.95308436;23.83729917;21.30753888;17.32482179;27.18929019;13.46967427;25.06578821;25.36712793;16.34500392;18.10501968;16.92883743;17.61995757;4.14566652;11.76911666;16.63874304;14.71974599;10.54974274;12.10536473;18.95240355;9.595306278;25.60587776;11.91398011;26.0468781;23.04998659;17.87746762;15.86871312;28.45900301;19.66085629;12.89801809;9.305080709;10.92402218;51.66621319;41.7262566;11.94005076;55.581258;36.90496262;29.87233643;37.39684785;41;4.14566652
65;41;46;28.74856302;2.443748404;1.671939314;17.45675532;7.399504855;11.78399664;18.21990636;16.25359651;8.838377718;9.53401668;22.49614831;17.35958065;11.84125012;31.87173412;34.65644095;13.91688948;22.74695186;13.94941115;12.26332961;11.19689144;15.57107153;24.90126964;15.09652134;29.55420045;16.84886253;13.28162947;32.04189297;27.36686366;20.45439282;14.72886642;28.53885087;12.54025608;11.78797031;18.69392523;12.49439101;18.22509101;17.66138145;12.37295676;14.99221272;8.791175253;19.89926259;11.02159062;20.0837258;13.48410414;23.02937003;18.85936678;11.85969203;15.41404563;13.33967162;20.49426074;6.381708725;26.56801068;20.66159125;13.90542046;15.47578704;20.28855227;25.26195793;16.64238343;0.028833449;3.109487596;56.36776489;46.4278083;20.2496748;60.2828097;41.60651432;34.57388813;38.22918999;58;0.028833449
68;43;46;28.1202123;2.831877124;2.060068034;16.59275952;7.787633575;12.17212536;18.60803508;15.62083387;9.413857638;9.9221454;23.07162823;16.49558485;11.17900054;32.25986284;33.79244515;14.3050182;22.11418922;14.52489107;11.39933381;10.33289564;15.95920025;24.03727384;14.5059615;28.92143781;17.42434245;12.41763367;32.22300645;27.75499238;21.02987274;15.11699514;27.67485507;12.9283848;10.92397451;19.08205395;11.83249711;18.61321973;18.04951017;12.76108548;14.35945008;8.642825793;19.03526679;11.59707054;20.65920572;13.87223286;23.60484995;19.4348467;12.21594977;14.55004983;13.91515154;20.79889646;5.517712925;25.70401488;19.79759545;14.29354918;14.61179124;20.67668099;25.65008665;17.02939801;0.892829249;3.723527236;55.50376909;45.5638125;20.82515472;59.4188139;40.74251852;33.70989233;37.79044017;58;0.892829249
