ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25
0;43;67;13.77338412;23.86985676;12.7615896;12.48548112;36.62916924;16.14643392;25.4874357;22.99817418;15.33823836;23.37250104;36.77849628;14.34408792;12.9378561;7.06523586;25.93714968;4.66040544;9.61092276;14.44476876;14.54213028;15.53105904;53.81486514;36.27365778;25.1802432;56.67485772;39.12561042;43.10310162
3;72;14;22.37808672;18.51316332;22.40903142;18.84728802;31.2724758;11.74907472;15.7546422;12.87366978;24.52023798;10.39679154;14.59820748;21.13941816;20.57425434;24.9824715;16.20435618;23.32863234;22.30876998;29.82291042;18.31693506;16.15710018;37.97859864;26.54086428;15.4474497;40.83859122;33.76891698;27.26683512
5;102;64;29.96469396;5.10461058;21.93266586;17.60272278;21.58093404;11.27270916;28.509777;11.00342508;24.04387242;16.2812586;29.68725384;32.59384212;20.09788878;24.50610594;28.95949098;22.85226678;21.83240442;29.34654486;17.8405695;15.68073462;46.7236227;39.29599908;28.2025845;49.58361528;24.07737522;36.01185918
6;43;78;16.85550312;19.51381926;10.6114821;12.88310886;32.27313174;11.79039642;21.59567646;18.64213668;12.68178774;19.01646354;32.42245878;16.4172102;9.04609686;9.13835814;22.04539044;3.3727782;8.58757932;13.15714152;11.21691024;15.4632354;49.45882764;32.38189854;21.28848396;52.31882022;34.76957292;38.74706412
16;67;72;20.44706394;17.4051267;17.10352824;10.09277004;29.92777386;7.25342934;27.81833076;16.53344412;19.2147348;16.90777098;30.31376622;22.96162008;15.26875116;15.46071978;28.26804474;13.23041802;6.11502726;17.15779986;7.2440277;4.37059416;47.35013508;38.60455284;27.51113826;50.21012766;32.42421504;36.63837156
18;7;30;21.76374144;33.4710339;21.84816792;33.4901415;46.23034638;25.74761106;16.02850788;28.45310694;24.42481668;25.9762287;30.15346872;20.46521346;18.79502328;25.96048464;16.47822186;23.27577156;26.77931316;31.11011094;25.2266418;29.42045004;53.5580358;26.81472996;15.72131538;56.41802838;48.72678756;42.84627228
19;40;55;5.32209138;27.54523638;15.20603634;11.24266098;40.30454886;19.82181354;23.14919358;24.7893255;17.92434228;24.4247205;34.33037454;8.45304474;15.79782948;4.20599994;23.59890756;9.99146802;14.67725304;19.04383692;19.00740912;17.02678404;55.87762866;33.93541566;22.84200108;58.73762124;42.80099004;45.16586514
20;77;37;21.65061414;18.10763496;22.00350306;17.31208722;30.86694744;11.34354636;20.32912008;11.43767406;24.11470962;4.59631212;21.50659692;20.51542692;20.16872598;24.57694314;20.77883406;22.92310398;21.90324162;29.41738206;17.9114067;14.49724206;39.30631758;31.11534216;20.02192758;42.16631016;33.36338862;28.59455406
21;34;72;17.2686915;22.36010856;8.80440996;16.21060038;35.11942104;14.63668572;22.45330176;21.48842598;12.26031378;21.86275284;35.26874808;16.83039858;9.90372216;9.55154652;22.90301574;6.77088294;10.83630966;19.3658781;14.11571646;17.83824834;52.30511694;33.23952384;22.14610926;55.16510952;37.61586222;41.59335342
22;47;18;15.74725104;22.68143406;21.17493096;22.8868212;35.44074654;15.91734546;12.37115328;17.04194052;23.75157972;14.56506228;18.7423023;15.14944968;18.12178632;20.60166306;12.82086726;22.6025346;26.1060762;30.43687398;22.4852058;20.32537092;42.14686938;23.15737536;12.06396078;45.00686196;37.93718772;31.43510586
34;7;54;14.90750232;23.16253482;11.53966884;23.18164242;35.9218473;15.43911198;11.58776328;22.29085224;14.1163176;21.01852722;25.19576724;13.00301496;8.4865242;15.65198556;12.03747726;12.96727248;16.47081408;20.80161186;14.91814272;19.11195096;48.60033432;22.37398536;11.28057078;51.4603269;38.41828848;37.8885708
38;49;16;16.93165086;21.62579868;21.64984956;21.95992338;34.38511116;14.86171008;12.84607188;15.98630514;24.22649832;13.5094269;17.68666692;16.3338495;18.59670492;21.74532522;13.29578586;23.0774532;25.42140534;30.91179258;21.42957042;19.26973554;41.091234;23.63229396;12.53887938;43.95122658;36.88155234;30.37947048
41;7;67;18.97539834;25.93035552;14.30748954;25.94946312;38.689668;18.20693268;15.8169552;25.05867294;16.8841383;25.4329998;29.94191604;18.1748568;11.2543449;18.41980626;16.26666918;15.73509318;19.23863478;23.56943256;17.68596342;21.87977166;53.34648312;26.60317728;15.5097627;56.2064757;41.18610918;42.6347196
46;40;52;4.03485972;28.83246804;16.493268;12.39920502;41.59178052;21.1090452;23.47904052;25.859265;19.21157394;23.13748884;33.04314288;7.16581308;17.08506114;5.4932316;23.9287545;11.27869968;15.83379708;20.20038096;20.16395316;17.97651954;56.44770996;34.2652626;23.17184802;59.30770254;44.0882217;45.73594644
48;49;88;18.895434;18.93358374;7.52443398;12.22311738;31.69289622;11.2101609;20.7727011;18.06190116;8.5309512;18.43622802;31.84222326;19.12624146;8.2231215;12.63133866;21.22241508;8.5697682;8.13056616;12.49715004;10.68919164;14.88299988;48.87859212;31.55892318;20.4655086;51.7385847;34.1893374;38.1668286
58;96;42;26.9862621;16.71266088;22.19852784;17.97384156;29.9863239;11.53857114;23.23987746;2.0547324;24.3097344;5.99203314;24.4173543;26.61823446;20.36375076;24.77196792;23.68959144;23.11812876;22.0982664;29.61240684;18.10643148;15.9465966;38.28583452;34.02609954;22.93268496;41.1458271;32.48276508;27.574071
63;26;37;7.34247696;30.41759862;18.79473264;22.97220012;43.1769111;22.69417578;13.40074824;25.30839042;21.3713814;22.83151218;27.0087522;6.7446756;15.741588;15.05923926;13.85046222;19.02622032;23.72587788;28.05667566;22.17320652;26.36701476;50.41331928;24.18697032;13.09355574;53.27331186;45.67335228;39.70155576
65;41;46;4.5803298;31.43954166;19.10475354;14.20491732;44.00925324;23.58825642;21.71037228;25.84222284;21.82305948;22.65582846;31.7103039;5.0696361;19.82772276;8.24529084;22.16008626;14.0213613;17.76814974;22.94505864;22.03254858;19.81304136;55.11487098;32.49659436;21.40317978;57.97486356;46.50569442;44.40310746
68;43;46;4.96845852;30.81119094;18.4719909;14.59304604;43.57050342;23.0877681;22.2858522;26.23035156;21.19029684;22.28036418;30.8463081;5.64511602;19.19496012;7.38129504;22.73556618;13.38859866;18.15627846;23.24969436;22.4206773;20.20117008;54.25087518;33.07207428;21.9786597;57.11086776;46.0669446;43.53911166
85;43;79;17.27441802;19.09490436;10.1925672;13.30202376;31.85421684;11.37148152;21.17676156;18.22322178;12.26287284;18.59754864;32.00354388;16.8361251;8.62718196;9.55727304;21.62647554;3.7916931;8.16866442;13.57605642;10.79799534;15.0443205;49.03991274;31.96298364;20.86956906;51.89990532;34.35065802;38.32814922
