;COORDENADA_X;COORDENADA_Y;NODO;X_NODO;Y_NODO;DISTANCIA_BASE-NODO;TIEMPO(V=prom)
0;35.1;45.4;4068;36;46;1.081665383;0.036502960976324904
1;98.7;77.8;3696;99;73;4.809365863;0.16230166664948928
2;31.1;87.7;3201;33;88;1.923538406;0.06491364933574861
3;58.8;62.0;2984;58;61;1.280624847;0.04321724587848167
4;107.4;111.3;2004;107;112;0.806225775;0.027207700704361272
5;80.9;68.6;3412;80;69;0.98488578;0.03323693977685271
6;26.1;0.2;2466;27;1;1.204159458;0.04063676844565021
7;97.2;46.3;2421;97;46;0.360555128;0.012167653670023967
8;29.6;91.7;4191;31;92;1.431782106;0.04831834979960553
9;83.6;40.9;2465;84;41;0.412310563;0.013914244301294749
10;72.8;-7.1;2824;73;-8;0.921954446;0.031113196089300424
11;33.5;39.7;3071;34;41;1.392838828;0.04700413102227763
12;22.1;82.2;4423;23;82;0.921954446;0.031113196089300424
13;39.5;61.9;3077;40;61;1.029563014;0.034744662363581855
14;27.5;-10.4;2244;25;-10;2.53179778;0.08544057803436798
15;38.8;73.9;2639;39;74;0.223606798;0.007546058466618198
16;58.2;76.0;3436;58;76;0.2;0.006749399869871754
17;54.9;99.4;3662;56;98;1.780449381;0.06008482410217322
18;63.4;82.1;4459;63;83;0.98488578;0.03323693977685271
19;69.5;65.8;2883;70;66;0.538516481;0.018173315333925976
20;121.7;-23.5;3989;121;-25;1.655294536;0.055861223629389126
21;4.7;-30.5;4296;6;-32;1.984943324;0.06698588106354203
22;21.7;-20.8;2151;20;-20;1.878829423;0.06340485531553712
23;155.4;-9.2;4065;153;-8;2.683281573;0.09055270149817737
24;109.6;117.7;3017;107;118;2.617250466;0.08832434977321095
25;131.7;57.4;3183;132;54;3.413209633;0.11518558326407609
