ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25
0;43;67;14.211419638999999;25.817476742999997;13.540553401;13.004088064000001;36.955661639;16.545277200000005;25.975076942;23.144186036000004;15.91805856;23.539471976;37.151854624;14.908137479;13.311214443999999;7.482171780000001;26.962436642;4.75095816;9.69191556;15.165786656;14.94097356;15.749138825;54.485199836;37.077488339;25.941101465;57.761490119;40.18550262;44.485328637
3;72;14;22.816122239;20.460783302999996;23.187995220999998;19.365894964;31.598968199;12.147917999999999;16.242283441999998;13.019681636;25.10005818;10.563762476;14.971565823999999;21.703467719;20.947612684;25.399407418;17.229643142;23.419185062000004;22.38976278;30.543928316;18.715778340000004;16.375179965;38.648933336;27.344694839000002;16.208307965;41.925223619;34.82880918;28.649062137
5;102;64;30.402729479;7.052230559999999;22.711629661;18.121329724;21.907426439;11.67155244;28.997418242;11.149436935999999;24.62369262;16.448229536;30.060612184;33.157891679;20.471247124;24.923041857999998;29.984777941999997;22.942819502000003;21.91339722;30.067562756;18.239412780000002;15.898814405;47.393957396;40.099829639;28.963442764999996;50.670247679;25.13726742;37.394086197
6;43;78;17.293538639;21.461439242999997;11.390445901;13.401715804;32.599624139;12.1892397;22.083317702;18.788148536;13.26160794;19.183434476;32.795817124;16.981259759;9.4194552;9.555294060000001;23.070677401999998;3.4633309199999998;8.66857212;13.878159415999999;11.61575352;15.681315184999999;50.129162336;33.185729099;22.049342224999997;53.405452619;35.82946512;40.129291137
16;67;72;20.885099459;19.352746682999996;17.882492041;10.611376984;30.254266259;7.652272620000001;28.305972002;16.679455976000003;19.794555000000003;17.074741916;30.687124564;23.525669639;15.642109504;15.877655698;29.293331702;13.320970741999998;6.1960200599999995;17.878817756;7.6428709800000005;4.58867394;48.020469776;39.408383399;28.271996525;51.296760059;33.48410724;38.020598577
18;7;30;22.201776959;35.418653883;22.627131720999998;34.008748444;46.556838778999996;26.146454340000002;16.516149121999998;28.599118796000003;25.004636880000003;26.143199636;30.526827064;21.029263019;19.168381624;26.377420557999997;17.503508822;23.366324282;26.86030596;31.831128835999998;25.625485080000004;29.638529825000003;54.228370496000004;27.618560519;16.482173645;57.504660779;49.78667976;44.228499297000006
19;40;55;5.7601268999999995;29.492856362999998;15.985000141;11.761267924;40.631041259;20.220656820000002;23.636834822;24.935337356;18.50416248;24.591691436;34.703732884000004;9.0170943;16.171187824;4.622935860000001;24.624194522;10.082020739999999;14.75824584;19.764854816;19.406252400000003;17.244863825000003;56.547963356000004;34.739246219;23.602859345;59.824253639;43.86088224;46.548092157000006
20;77;37;22.088649658999998;20.055254942999998;22.782466861;17.830694164;31.193439839;11.742389639999999;20.816761322;11.583685915999999;24.694529820000003;4.763283059999999;21.879955264;21.079476479;20.542084324;24.993879057999997;21.804121022;23.013656702000002;21.98423442;30.138399956;18.310249980000002;14.715321845;39.976652276;31.919172719000002;20.782785844999996;43.252942559;34.42328082;29.976781077
21;34;72;17.706727019;24.307728542999996;9.58337376;16.729207324;35.445913438999995;15.035528999999999;22.940943002;21.634437836000004;12.84013398;22.029723776;35.642106424000005;17.394448138999998;10.2770805;9.96848244;23.928302702;6.86143566;10.91730246;20.086895996;14.51455974;18.056328125;52.975451636;34.043354399;22.906967525;56.251741919;38.67575442;42.975580437000005
22;47;18;16.185286559;24.629054042999996;21.953894760999997;23.405428144000002;35.767238938999995;16.31618874;12.858794522;17.187952376000002;24.331399920000003;14.732033216;19.115660644;15.713499239;18.495144663999998;21.018598978;13.846154222000001;22.693087322000004;26.187069;31.157891876;22.884049080000004;20.543450705;42.817204076;23.961205919;12.824819045000002;46.093494359;38.99707992;32.817332877
