ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25
0;43;67;11.79870742;20.74568549;11.25376465;11.06318127;31.87776424;14.0027859;22.19048547;19.83658117;13.40002175;20.08488474;32.05919552;12.31891927;11.28487826;6.316190382;22.49961082;4.090758278;8.2999266;12.35711956;12.61755306;13.38521638;46.53532598;31.72628366;21.95158036;49.33867012;34.13089785;37.54066162
3;72;14;19.56104092;16.26292007;19.68510781;16.41203781;27.39499882;10.29209742;13.76454261;11.29102891;21.49191755;9.099509464;13.1399069;18.63452071;17.94924794;21.8710243;14.07366796;20.23151824;19.51318152;25.90293838;15.96129252;14.12372878;33.11209004;23.3003408;13.5256375;35.91543418;29.64813243;24.11742568
5;102;64;25.59959386;4.504688387;19.20762373;15.05929281;18.85879594;9.81461334;24.83725665;9.621900194;21.01443347;14.0688018;26.04311258;28.38612787;17.47176386;21.39354022;25.146382;19.75403416;19.03569744;25.4254543;15.48380844;13.6462447;40.51924304;34.37305484;24.59835154;43.32258718;21.11192955;31.52457868
6;43;78;14.57348806;16.95029267;9.354881829;11.04690099;28.08237142;10.20739308;18.87031203;16.04118835;11.09874239;16.28949192;28.2638027;14.28830101;7.964704816;8.071871322;19.17943738;2.881148498;7.41522288;11.14750978;9.6205929;13.21509958;42.73993316;28.40611022;18.63140692;45.5432773;30.33550503;33.7452688
16;67;72;17.72550598;15.23296577;15.07083415;8.910236006;26.0307448;6.30030846;24.24058149;14.32386145;16.87764389;14.57216502;26.5464758;19.96046497;13.33497428;13.2370111;24.54970684;11.2110301;5.27331834;14.77355062;6.22248624;3.845554475;41.02260626;33.77637968;24.00167638;43.8259504;28.28387841;32.0279419
18;7;30;18.73706674;28.50507341;18.50422411;28.13863581;39.63715216;21.76217382;13.85698869;24.60559999;20.65048121;22.41408054;26.2454465;17.87800699;15.69793688;22.07084836;14.16611404;19.7267425;22.59833232;26.53506364;21.26321214;24.76988032;46.42666112;23.39278688;13.61808358;49.23000526;41.89028577;37.43199676
19;40;55;4.624182581;23.94540449;13.05230791;9.788090726;35.07748324;17.2025049;19.74996585;20.98927105;15.35232233;20.87825994;29.95862594;7.220412071;13.69121732;3.666587982;20.0590912;8.603509298;12.57256296;16.2341122;16.4626422;14.69892208;48.23762168;29.28576404;19.51106074;51.04096582;37.33061685;39.24295732
20;77;37;18.87962938;15.91365035;19.33583809;15.01816467;27.0457291;9.9428277;17.50212873;9.920022734;21.14264783;4.065593224;18.70798466;17.74873993;17.59997822;21.48003142;17.81125408;19.88224852;19.1639118;25.55366866;15.6120228;12.6058558;34.02584606;27.03792692;17.26322362;36.8291902;29.29886271;25.0311817
21;34;72;14.75638516;19.54289825;7.918572429;14.42251923;30.674977;12.79999866;19.58224527;18.63379393;10.86904571;18.8820975;30.85640828;14.47119811;8.529274816;8.254768422;19.89137062;5.912262098;9.58744206;16.40979676;12.30103698;15.7390729;45.33253874;29.11804346;19.34334016;48.13588288;32.92811061;36.33787438
22;47;18;13.65536644;19.71096899;18.54657181;19.56960825;30.84304774;13.74014634;10.77343131;14.73907783;20.69282891;12.54755838;16.37892434;13.20434737;15.74028458;17.453767;11.08255666;19.7690902;22.35408048;26.01562972;19.40934144;17.5717777;36.56013896;20.3092295;10.5345262;39.3634831;33.09618135;27.5654746
34;7;54;12.73750738;20.18450549;10.18365619;19.81806789;31.31658424;13.4416059;10.01035581;19.27540117;12.32991329;18.13665402;21.96801998;11.44958515;7.377368956;13.75028044;10.31948116;11.40617458;14.2777644;18.21449572;12.94264422;16.4493124;42.1492346;19.546154;9.771450695;44.95257874;33.56971785;33.15457024
38;49;16;14.68473988;18.92009945;19.03576633;19.06921719;30.0521782;12.9492768;11.26262583;13.94820829;21.18202343;11.75668884;15.5880548;14.23372081;16.2294791;18.48314044;11.57175118;20.25828472;22.1703609;27.04500316;18.6184719;16.78090816;35.76926942;20.79842402;11.02372072;38.57261356;32.30531181;26.77460506
41;7;67;16.31475814;22.63105817;12.63020887;22.26462057;33.76313692;15.88815858;13.80889761;21.72195385;14.77646597;21.97025742;26.19735542;15.92157571;9.823921636;16.19683312;14.11802296;13.85272726;16.72431708;20.6610484;15.3891969;18.89586508;46.37857004;23.3446958;13.5699925;49.18191418;36.01627053;37.38390568
46;40;52;3.494269001;25.07531807;14.18222149;10.89684957;36.20739682;18.33241848;20.41950201;22.09802989;16.48223591;19.74834636;28.82871236;6.090498491;14.8211309;4.796501562;20.72862736;9.733422878;13.6813218;17.34287104;17.57140104;15.63430678;49.00992698;29.9553002;20.1805969;51.81327112;38.46053043;40.01526262
48;49;88;16.19161708;16.51209359;6.570058689;10.69538691;27.64417234;9.769194;18.10688583;15.60298927;7.42963739;15.85129284;27.82560362;16.72187143;7.201278616;11.12305498;18.41601118;7.233475178;7.13444646;10.7959957;9.27023232;12.7769005;42.30173408;27.64268402;17.86798072;45.10507822;29.89730595;33.30706972
58;96;42;23.18042782;14.60780399;19.37063677;15.29781069;25.98996562;9.97762638;20.28295989;1.794246854;21.17744651;5.205399244;21.48881582;22.89318817;17.6347769;21.55655326;20.59208524;19.9170472;19.19871048;25.58846734;15.64682148;13.80925774;33.27911558;29.81875808;20.04405478;36.08245972;28.24309923;24.28445122
63;26;37;6.260431481;26.36659007;16.36574077;19.78793727;37.49866882;19.62369048;11.62193673;21.93975439;18.51199787;19.74823494;23.5796009;5.809412411;13.55945354;12.75853162;11.93106208;16.37460628;20.45984898;24.3965803;19.1247288;22.63139698;43.76081552;21.15773492;11.38303162;46.56415966;39.75180243;34.76615116
65;41;46;3.977420501;27.26075567;16.49647759;12.43565289;37.95678898;20.5887204;18.75338151;22.22027155;18.79649201;19.68004506;27.55253438;4.377646091;17.135387;6.946741422;19.06250686;12.04767898;15.5004408;19.63366462;19.18175604;17.17372312;47.733749;28.2891797;18.5144764;50.53709314;40.20992259;38.73908464
68;43;46;4.315089821;26.83273391;15.93963733;12.77332221;37.96481266;20.08983432;19.21103709;22.55794087;18.23965175;19.1835627;26.78887904;4.835301671;16.57854674;6.183086082;19.52016244;11.49083872;15.7835442;19.84073716;19.51942536;17.51139244;46.97009366;28.74683528;18.97213198;49.7734378;40.21794627;37.9754293
85;43;79;14.91744652;16.60633421;9.010923369;11.39085945;27.73841296;9.86343462;18.52635357;15.69722989;10.75478393;15.94553346;27.91984424;14.63225947;7.620746356;8.415829782;18.83547892;3.225106958;7.18338768;11.49146824;9.27663444;12.87114112;42.3959747;28.06215176;18.28744846;45.19931884;29.99154657;33.40131034
90;63;72;16.37000878;16.64124107;16.47910945;7.616492486;27.4390201;7.70858376;25.64885679;15.73213675;18.22382129;15.98044032;27.9547511;18.60496777;14.74324958;11.8815139;25.95798214;9.884677478;4.50583476;15.37841008;6.98368308;5.253829775;42.43088156;35.18465498;25.40995168;45.2342257;29.69215371;33.4362172
96;44;18;13.29483496;20.78132405;18.49202257;20.63996331;31.9134028;14.8105014;10.71888207;15.80943289;20.63827967;13.61791344;17.4492794;12.84381589;15.68573534;17.82930646;11.02800742;19.71454096;22.58613078;26.5228621;20.4796965;18.64213276;37.63049402;20.25468026;10.47997696;40.43383816;34.16653641;28.63582966
98;72;68;19.60449556;15.63680867;18.40727647;9.297923006;27.78839062;8.05795428;25.99264053;14.97588211;20.00421587;14.09092488;27.19849646;20.52557059;16.6714166;13.67053804;26.30176588;13.48039954;7.65857238;17.15880466;8.8111368;6.260180615;41.67462692;35.52843872;25.75373542;44.47797106;30.04152423;32.67996256
107;39;76;12.81956614;18.83697659;9.966294909;14.01012399;29.96905534;12.094077;19.38658239;17.92787227;11.50917227;18.17617584;30.15048662;13.86669835;8.480975176;6.772296462;19.69570774;5.419974638;6.79372842;15.49054666;10.08116658;14.34078586;44.62661708;28.92238058;19.14767728;47.42996122;32.22218895;35.63195272
109;59;16;17.8046827;18.83090117;19.78132489;17.47333593;29.96297992;12.86007852;12.00818439;13.85901001;21.92758199;11.66749056;14.72089226;16.87816249;16.97503766;22.0758976;12.31730974;21.00384328;21.50021556;27.81216442;18.52927362;16.69170988;35.68007114;21.54398258;11.76927928;38.48341528;32.21611353;26.68540678
