ID_CENTRO;ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25
0;2783;93;72.77274956;30.24892943;3.734921664;19.50796798;18.43074305;19.93240354;9.176005648;27.28110828;14.74980751;21.28024625;15.52844416;29.08128276;30.14441995;17.51783358;22.66682069;27.94082424;20.7563111;19.64017544;26.90586174;15.33959173;13.66992477;46.4488856;38.39531218;28.6000349;49.1447209;23.57449108;34.30886188
1;4105;45;48.77274956;7.37327369;30.01990352;20.84443048;12.36660503;42.12528982;22.13808507;24.6508506;24.07344733;23.22380813;21.29136274;33.80376072;8.126414412;20.3888418;10.42980671;25.31056656;15.03434696;16.22245292;21.17175732;20.17810297;18.44876366;56.891771;35.7650545;25.96977722;59.5876063;45.76737736;44.75174728
2;644;40;49.77274956;5.77243139;31.06432052;18.3665929;14.21238335;43.35930772;23.31036447;23.0500083;26.55128491;20.74597055;23.76920032;33.03369822;6.571100772;18.80302872;7.951969132;23.70972426;13.48076678;17.93959088;22.05772062;21.96099817;20.26373246;56.76949928;34.1642122;24.36893492;59.46533458;47.00139526;44.62947556
3;2509;51;78.77274956;21.19004243;20.23170374;12.02420986;11.52541187;32.52669094;12.47774769;23.8404063;19.01088379;14.26193033;19.78952044;33.34235904;19.40381569;11.19762366;12.73510055;24.50012226;7.770858742;6.082377263;15.78661974;7.558180629;13.94220651;50.70996188;34.9546102;25.15933292;53.40579718;36.16877848;38.56993816
4;2301;26;49.77274956;7.35205553;30.66969674;18.68830318;19.07935241;42.96468394;22.91574069;18.12185298;29.44887679;20.92602365;28.0284712;32.35255458;6.850284732;15.47980122;11.81195075;18.78156894;17.89212326;22.80655994;26.92468968;21.99049717;25.50367677;56.08835564;29.23605688;19.4407796;58.78419094;46.60677148;43.94833192
5;2400;66;48.77274956;16.71352193;22.8761195;24.69670606;8.85570209;34.18630876;15.55311195;28.86158844;15.41868505;25.36429499;13.58678818;27.44755122;16.41068773;24.42332562;17.29309199;29.5213044;19.00767836;14.90094734;22.59033276;17.21240059;11.71762629;48.28173122;39.97579234;30.18051506;50.97756652;37.8283963;36.1417075
6;4045;17;76.77274956;18.14969327;21.38828294;9.406889383;20.98871639;33.68327014;13.63432689;15.04114602;20.16746299;11.64460985;20.94609964;29.27184762;16.49382769;6.198387416;14.10461873;15.70086198;11.16323522;14.57050352;18.65284716;12.70908337;17.39305953;51.86654108;26.15534992;16.36007264;54.56237638;37.32535768;39.72651736
7;4016;48;80.77274956;19.61411837;19.4378249;9.925405363;13.62421637;31.7328121;11.68386885;21.79641642;18.21700495;12.16312583;18.9956416;32.5484802;17.64105823;9.153633776;13.17794159;22.45613238;8.545115242;6.684786263;15.3905997;9.605272569;15.44260149;49.91608304;32.91062032;23.11534304;52.61191834;35.37489964;37.77605932
8;3531;25;41.77274956;9.28047719;30.36809432;18.38670076;22.82621741;42.66308152;22.61413827;13.49029308;25.46947975;20.62442123;23.3969113;27.72099468;4.980125232;15.1781988;15.55881575;14.15000904;19.55808968;23.5503149;27.63265854;21.68889475;26.37287091;51.45679574;24.60449698;14.8092197;54.15263104;46.30516906;39.31677202
9;4453;59;51.77274956;13.61699501;23.40229094;20.5320637;5.74899245;35.51680066;15.16496583;29.22653304;18.10284511;21.19965263;15.84125272;31.60122066;15.22047283;20.71680474;13.44759131;29.886249;14.843036;10.73630498;18.4256904;14.69195503;11.40858345;51.2933963;40.34073694;30.54545966;53.9892316;39.1588882;39.15337258
10;2205;2;28.77274956;22.47278243;33.83695952;22.1136826;33.69550961;46.13194672;26.34112011;15.35218506;27.84832861;24.35140307;25.77576016;30.09984354;19.82632063;18.90518064;26.81141195;16.01190102;23.87002844;27.27729674;31.35964038;25.41587659;30.09985275;53.8356446;26.46638896;16.67111168;56.5314799;49.77403426;41.69562088
11;548;64;27.77274956;21.15823607;25.13459264;28.46323414;17.08262483;37.42957984;18.33997083;19.59730218;19.14596173;30.44421143;15.2497423;19.34942478;19.21250089;25.25473218;25.04448239;20.25701814;27.0242573;22.91752628;30.6069117;24.50355691;19.94454903;44.35627796;30.71150608;20.9162288;47.05211326;41.07166738;32.21625424
12;632;61;42.77274956;14.20166483;25.95839324;25.15886644;10.37579519;37.9300162;18.80254779;27.15172074;17.47526629;25.82645537;14.233762;26.6845095;13.97399209;25.34360748;17.75525237;27.8114367;19.46983874;15.36310772;23.05249314;19.31875777;14.68919019;48.72870344;38.26592464;28.47064736;51.42453874;41.57210374;36.58867972
13;3148;104;70.77274956;35.32544237;9.444137424;25.97020474;21.58011509;20.24118322;15.63824241;32.4851616;13.60744885;27.74248301;20.73249748;34.28533608;36.60665671;23.98007034;29.12905745;33.14487756;27.21854786;26.1024122;33.3680985;21.80182849;20.13216153;51.65293892;43.5993655;33.80408822;54.34877422;23.88327076;39.5129152
14;3565;73;-14.22725044;36.99778481;34.52626694;37.85490844;34.44171749;46.82125414;27.73164513;28.98897648;28.53763603;39.83588573;26.46506758;4.134486117;34.41118243;34.64640648;41.22246017;29.64869244;39.31195058;38.19581492;45.46150122;33.89523121;32.22556425;54.52495202;40.10318038;30.3079031;57.22078732;50.46334168;42.3849283
15;3040;33;71.77274956;16.02967145;23.46248678;11.48109322;16.14885281;35.75747398;15.70853073;20.9153739;22.24166683;13.71881369;23.02030348;35.1460755;16.37941771;7.780326776;8.447562712;21.57508986;5.540077882;12.7109207;18.32488164;14.78328721;19.46726337;53.94074492;32.0295778;22.23430052;56.63658022;39.39956152;41.8007212
16;3055;31;98.77274956;23.89242491;24.08937014;7.698734803;22.39737095;36.38435734;16.33541409;24.29950146;22.86855019;2.837429566;23.64718684;37.20002544;24.09045103;11.65671882;16.31031617;24.95921742;13.54703438;17.27159072;11.87283168;15.41017057;20.09414673;54.56762828;35.41370536;25.61842808;57.26346358;40.02644488;42.42760456
17;3015;22;27.77274956;13.97084111;28.68098774;18.49902922;28.21720817;40.97597494;21.88636593;10.71317016;22.69235683;20.73674969;20.61978838;24.94387176;11.83631215;15.29052726;20.94980651;11.37288612;20.25537506;23.66264336;27.744987;21.80122321;26.38028505;48.67967282;21.82737406;12.03209678;51.37550812;44.61806248;36.5396491
18;2459;60;35.77274956;16.10326331;28.45057274;27.13411834;13.22658455;40.56508246;19.57734747;25.07900142;20.83567369;28.67724473;15.38406358;26.62358442;14.15752813;27.70173024;19.98950963;25.73871738;22.3206281;18.21389708;25.9032825;22.16954713;17.79537177;48.84463412;36.19320532;26.39792804;51.54046942;44.20717;36.7046104
19;2365;60;39.77274956;16.16540879;27.14181944;25.96998178;11.52818999;39.33780322;18.89528073;26.24587548;19.13727913;26.97885017;13.68566902;25.86733668;13.11838261;26.49600228;18.79567175;26.90559144;20.62223354;16.51550252;24.20488794;20.47115257;16.09697721;47.8344875;37.36007938;27.5648021;50.5303228;42.97989076;35.69446378
20;2122;15;63.77274956;15.50690495;21.49718018;9.515786623;21.09761363;33.79216738;13.74322413;12.3983577;20.27636023;11.75350709;21.05499688;26.6290593;13.85103937;6.307284656;14.21351597;13.05807366;11.27213246;14.67940076;18.7617444;12.81798061;17.50195677;50.36486036;23.5125616;13.71728432;53.06069566;37.43425492;38.22483664
21;3131;76;9.77274956;27.19822715;23.09903822;26.63637874;23.01448877;35.39402542;16.30441641;19.18941882;17.11040731;28.40865701;15.03783886;12.0471828;24.61162477;24.64624434;29.79523145;19.84913478;27.88472186;26.7685862;34.0342725;22.46800249;20.79833553;43.0977233;30.30362272;20.50834544;45.7935586;39.03611296;30.95769958
22;2989;71;44.77274956;19.23665513;21.26089616;24.79823668;12.48901277;33.21402418;14.46627435;25.1194905;12.50938573;26.57051495;10.06198234;26.08109316;17.30864743;22.80810228;20.92640267;25.77920646;22.64098904;18.53425802;26.22364344;20.08861633;11.01514809;45.59761304;36.2336944;26.43841712;48.29344834;36.85611172;33.45758932
23;3882;63;101.7727496;30.97879751;23.48356022;20.23783606;25.14572033;35.77854742;15.72960417;30.8904843;22.26274027;22.01011433;23.04137692;36.59421552;30.87428803;18.24770166;23.39668877;31.55020026;21.48617918;18.66300536;13.9039638;13.48214923;19.48833681;53.96181836;42.0046882;32.20941092;56.65765366;39.42063496;41.82179464
24;3729;17;27.77274956;16.86113675;30.13039124;18.45201502;30.03384203;42.42537844;22.67945253;12.16257366;24.14176033;20.68973549;22.06919188;26.39327526;14.64373501;15.24351306;23.14974437;12.82228962;20.20836086;23.61562916;27.6979728;21.75420901;26.43818516;50.12907632;23.27677756;13.48150028;52.82491162;46.06746598;37.9890526
25;2693;47;20.77274956;17.06222243;24.53403374;22.66900306;22.63593941;36.82902094;17.73941193;13.8030711;18.54540283;24.90672353;16.47283438;20.79691776;15.11648725;19.4605011;20.99634047;14.46278706;23.38629914;26.36314694;30.48127668;23.90299801;22.23333105;44.53271882;24.917275;15.12199772;47.22855412;40.47110848;32.3926951
26;3674;109;44.77274956;36.84791963;18.52234136;27.43349452;23.46271391;31.87308256;17.10153219;29.41160436;7.299089286;29.20577279;12.04106254;31.21177884;34.83381031;25.44336012;30.59234723;30.07132032;28.68183764;27.56570198;34.83138828;23.26511827;21.59545131;46.2488084;40.52580826;30.73053098;48.9446437;35.5151701;34.10878468
27;3664;95;60.77274956;30.77419679;10.68304922;20.44149238;17.02886951;23.0279356;10.10953005;26.95644924;11.46494059;22.21377065;15.20378512;28.75662372;31.07794435;18.45135798;23.60034509;27.6161652;21.6898355;20.57369984;27.83938614;16.27311613;14.60344917;46.12422656;38.07065314;28.27537586;48.82006186;26.67002314;33.98420284
28;4507;3;35.77274956;20.33225429;31.14252176;19.1611282;30.74295521;43.43750896;23.38856571;15.50602632;27.48521299;21.39884867;25.41264454;29.73672792;16.80946801;15.95262624;23.85885755;16.16574228;20.91747404;24.32474234;28.40708598;22.46332219;27.14729835;53.47252898;26.62023022;16.82495294;56.16836428;47.0795965;41.33250526
29;3564;73;48.77274956;19.67230595;19.90989806;23.44723858;11.82192353;31.22008732;12.58689051;25.92240936;12.45246361;25.21951685;10.6254415;27.72258384;19.37341735;21.45710418;20.08137611;26.58212532;21.64232648;17.53559546;25.22498088;19.06290067;9.989432425;45.31550978;37.03661326;27.24133598;48.01134508;34.86217486;33.17548606
30;4268;65;-7.22725044;30.77955893;28.30804106;31.63668256;28.22349161;40.60302826;21.51341925;22.7707506;22.31941015;33.61765985;20.2468417;4.545303357;28.19295655;28.4281806;35.00423429;23.43046656;33.0937247;31.97758904;39.24327534;27.67700533;26.00733837;48.30672614;33.8849545;24.08967722;51.00256144;44.2451158;36.16670242
31;1999;58;57.77274956;16.00151039;19.9094816;17.89754824;2.25618311;32.02399132;12.44518341;28.67529738;15.87238441;18.56513717;16.92263326;30.47547186;18.08864689;18.08228928;10.83472271;29.33501334;12.20852054;8.101789523;15.79117494;12.05743957;9.538801345;47.8430747;39.78950128;29.994224;50.53891;35.66607886;35.70305098
32;4183;44;71.77274956;15.50681333;22.78557206;12.08798116;11.82655751;35.08055926;15.03161601;24.82650438;21.56475211;14.32570163;22.34338876;35.89622736;13.72058659;12.18372174;7.051871452;25.48622034;4.315539202;8.400579383;13.75517508;13.02303811;15.34617003;53.2638302;35.94070828;26.145431;55.9596655;38.7226468;41.12380648
33;3175;68;65.77274956;22.46716103;17.53617578;19.2284155;6.99833033;29.62209466;7.381542208;28.8466566;16.31535583;21.00069377;17.09399248;30.64683108;23.57943895;17.2382811;14.62144613;29.50637256;16.22749418;9.448286483;20.24260494;11.13106963;5.360274265;48.01443392;39.9608605;30.16558322;50.71026922;33.2641822;35.8744102
34;3847;44;23.77274956;14.57954411;25.686698;22.71910894;22.98688931;37.9816852;18.89207619;13.85317698;19.69806709;24.95682941;17.62549864;21.94958202;12.63380893;19.51060698;19.92990179;14.51289294;22.80602084;26.98032932;31.96506672;25.05566227;23.38599531;45.68538308;24.96738088;15.1721036;48.38121838;41.62377274;33.54535936
35;2526;65;67.77274956;22.01896595;17.24533034;20.2461154;6.55013525;31.16444188;8.923889428;30.94951944;18.41821867;20.91370433;19.19685532;32.74969392;21.47657611;18.72309336;14.17325105;31.6092354;14.12463134;7.345423643;18.1397421;9.028206789;4.912079185;50.11729676;42.06372334;32.26844606;52.81313206;34.80652942;37.97727304
36;3624;76;54.77274956;21.85021745;15.61862534;19.15596586;9.93475829;27.73313506;8.687101828;24.38444112;11.85314035;20.92824413;12.631777;26.1846156;22.59841873;17.16583146;18.51329789;25.04415708;19.88709572;15.7803647;23.46975012;14.98758961;8.397132205;43.55221844;35.49864502;25.70336774;46.24805374;31.3752226;31.41219472
37;4244;37;64.77274956;15.49789163;27.42829304;15.79831372;15.83544203;39.72328024;19.67433699;24.39890922;26.20747309;18.03603419;26.98610974;38.62961082;17.28091117;12.4208928;10.31259707;25.05862518;9.115886722;16.25408126;21.8680422;18.74909347;20.22777717;57.90655118;35.51311312;25.71783584;60.60238648;43.36536778;45.76652746
38;3761;45;80.77274956;18.38709017;19.15095272;8.698377163;14.85124457;31.44593992;11.39699667;20.56938822;17.93013277;10.93609763;18.70876942;32.26160802;16.41403003;7.926605576;13.07559269;21.22910418;7.318087042;7.911814463;16.6176279;10.47175315;15.15572931;49.62921086;31.68359212;21.88831484;52.32504616;35.08802746;37.48918714
39;4168;42;64.77274956;11.77228343;24.15341282;13.7108959;10.32436283;36.44840002;16.39945677;24.36354414;22.93259287;14.98778441;23.71122952;37.26406812;13.30003405;11.7207615;3.317341552;25.0232601;6.398499562;12.11073962;17.48780646;15.47421325;13.51896141;54.63167096;35.47774804;25.68247076;57.32750626;40.09048756;42.49164724
40;2504;64;20.77274956;23.71764971;22.17456122;25.50320272;20.04265625;34.46954842;15.37993941;16.63727076;16.18593031;27.48418001;13.73017972;16.38939336;21.77191453;22.29470076;27.60389603;17.29698672;26.96024486;25.8441092;33.1097955;21.54352549;19.87385853;42.1732463;27.75147466;17.95619738;44.8690816;38.11163596;30.03322258
41;3403;30;31.77274956;12.05361947;31.69118078;20.16185572;25.00660325;43.98616798;24.38929323;13.40035818;25.70254987;22.39957619;23.62998142;27.9540648;8.892886092;16.95335376;17.73920159;14.06007414;21.73847552;25.32546986;29.4078135;23.46404971;28.14802587;51.68986586;24.51456208;14.7192848;54.38570116;47.62825552;39.54984214
42;3675;22;15.77274956;20.12108063;27.92751512;20.09546368;27.84296567;40.22250232;21.13289331;7.907634482;21.93888421;22.33318415;19.86631576;24.19039914;16.65173767;16.88696172;24.79319303;8.567350441;21.85180952;25.25907782;29.34142146;23.39765767;25.62681243;47.9262002;19.02183838;9.226561102;50.6220355;43.86458986;35.78617648
43;4359;31;66.77274956;15.56551115;25.09909838;13.56198022;16.90609301;37.39408558;17.34514233;21.7883421;23.87827843;15.79970069;24.65691508;36.0190437;16.25659267;9.861213776;7.983402412;22.44805806;8.489462542;15.62607626;21.24570216;16.41989881;20.19545115;55.57735652;32.902546;23.10726872;58.27319182;41.03617312;43.4373328
44;4458;13;15.77274956;22.92532637;31.04444894;22.49847658;30.95989949;43.33943614;24.24982713;10.22596998;25.05581803;24.73619705;22.98324958;27.30733296;19.05475057;19.28997462;27.19620593;10.88568594;24.25482242;27.66209072;31.74443436;25.80067057;28.74374625;51.04313402;21.34017388;11.5448966;53.73896932;46.98152368;38.9031103
45;2153;20;1.77274956;18.77447561;27.44951144;18.34762582;27.36496199;39.74449864;20.65488963;3.566518502;21.46088053;20.58534629;19.38831208;23.71239546;14.90389981;15.13912386;23.04535517;4.226234461;20.10397166;23.51123996;27.5935836;21.64981981;25.14880875;47.44819652;14.6807224;4.885445122;50.14403182;43.38658618;35.3081728
46;2625;40;24.77274956;13.54466141;27.11903984;22.400083;23.87655191;39.41402704;20.32441803;13.53415104;21.13040893;24.63780347;19.05784048;23.38192386;11.59892623;19.19158104;20.19057197;14.193867;22.58053064;27.56369714;31.64604078;25.70227699;24.81833715;47.11772492;24.64835494;14.85307766;49.81356022;43.05611458;34.9777012
47;4085;60;29.77274956;19.23719597;23.86721288;27.4045534;15.80788799;36.16220008;17.07259107;23.38777542;17.87858197;29.17683167;14.98737226;22.0292103;17.29146079;25.414419;23.06331557;24.04749138;24.90193154;20.79520052;28.48458594;23.23617715;20.32256865;43.86589796;34.50197932;24.70670204;46.56173326;39.80428762;31.72587424
48;2458;34;22.77274956;13.37010755;27.02174258;21.54283768;26.76734957;39.31672978;20.22712077;12.67690572;21.03311167;23.78055815;18.96054322;23.2846266;10.98415885;18.33433572;20.34907295;13.33662168;23.29918352;26.70645182;30.78879546;24.84503167;24.72103989;47.02042766;23.79110962;13.99583234;49.71626296;42.95881732;34.88040394
49;951;50;98.77274956;22.94560067;27.4833533;13.55430394;14.88992795;39.7783405;19.72939725;28.002672;26.26253335;11.55283115;27.04117;40.5940086;24.31643305;15.35988936;17.64771791;28.66238796;11.62546754;11.0899922;3.157430098;16.53540193;19.62995042;57.96161144;39.1168759;29.32159862;60.65744674;43.42042804;45.82158772
50;4009;49;44.77274956;11.39393117;29.91961874;21.15250444;12.43697855;41.93743492;22.20525171;24.1602828;21.79657879;23.53188209;19.3491754;30.66116376;8.300905272;21.72011634;14.00789573;24.81999876;16.3978544;16.43041856;23.03466624;20.38606861;18.57301538;53.86359578;35.2744867;25.47920942;56.55943108;45.57952246;41.72357206
51;3966;99;42.77274956;30.22266227;16.4613347;24.08048086;19.82688563;31.4235136;13.74851853;25.09091382;3.977313246;25.85275913;8.318923776;26.8910883;28.50670081;22.09034646;27.23933357;25.75062978;25.32882398;24.21268832;31.47837462;19.91210461;18.24243765;41.03768378;36.20511772;26.40984044;43.73351908;35.06560114;28.89766006
52;3700;59;78.77274956;24.22144379;19.7653529;14.8273513;12.63738659;32.0603401;12.01139685;25.47999954;18.54453295;16.59962957;19.3231696;32.8760082;22.58104543;12.8372169;15.91233029;26.1397155;10.94808848;6.944169983;17.52888432;4.162579269;10.54660515;50.24361104;36.59420344;26.79892616;52.93944634;35.70242764;38.10358732
53;3040;33;71.77274956;16.02967145;23.46248678;11.48109322;16.14885281;35.75747398;15.70853073;20.9153739;22.24166683;13.71881369;23.02030348;35.1460755;16.37941771;7.780326776;8.447562712;21.57508986;5.540077882;12.7109207;18.32488164;14.78328721;19.46726337;53.94074492;32.0295778;22.23430052;56.63658022;39.39956152;41.8007212
54;727;50;17.77274956;19.29375593;27.77036156;23.75154004;23.43853901;40.06534876;20.97573975;14.88560808;21.78173065;25.98926051;19.7091622;24.03324558;17.34802075;20.54303808;23.18000225;15.54532404;25.50788588;27.93566396;32.99749782;27.05373403;25.46965887;47.76904664;25.99981198;16.2045347;50.46488194;43.7074363;35.62902292
55;3481;73;64.77274956;24.06740411;17.961017;20.24952982;8.59857341;30.52969108;8.289138628;28.40960358;15.87830281;22.02180809;16.00552474;30.20977806;25.30986829;18.25939542;16.22168921;29.06931954;18.43571858;11.65651088;22.45082934;12.62390791;3.170038705;47.5773809;39.52380748;29.7285302;50.2732162;34.17177862;35.43735718
56;3616;19;89.77274956;25.12102571;27.14567738;15.16428382;23.78475173;39.44066458;19.39172133;22.01247846;25.92485743;17.40200429;26.70349408;36.24318006;23.46516013;9.765053516;19.86201317;22.67219442;15.41603414;19.98481598;24.10294572;18.46647781;23.15045397;57.62393552;33.12668236;23.33140508;60.31977082;43.08275212;45.4839118
57;3780;34;14.77274956;16.65293189;25.38644612;21.15846514;25.30189667;37.68143332;18.59182431;12.08903346;19.39781521;23.39618561;17.32524676;21.64933014;14.26698319;17.94996318;23.63189729;12.95224914;22.91481098;26.32207928;30.40442292;24.46065913;23.08574343;45.3851312;23.40673708;13.6114598;48.0809665;41.32352086;33.24510748
58;65;41;46.77274956;6.55520777;32.44973768;19.75642198;14.79643919;44.55512398;24.56791923;22.29988644;26.50328149;22.13579963;23.7211969;32.9225157;5.696580252;20.32403388;9.482371912;22.9596024;15.00177194;18.65228708;23.58074184;22.60793713;20.87859782;56.65831676;33.41409034;23.61881306;59.35415206;48.19721152;44.51829304
59;2450;39;52.77274956;5.58688049;30.26552126;17.56779364;13.41358409;42.56050846;22.51156521;23.64569748;26.94318085;19.94717129;24.62571448;34.67821188;7.928211612;18.00422946;7.153169872;24.30541344;12.68196752;17.14079162;21.25892136;21.16219891;19.4649332;58.41401294;34.75990138;24.9646241;61.10984824;46.202596;46.27398922
60;3032;145;-9.22725044;58.63167425;49.79195816;53.32929868;49.70740871;62.08694536;42.99733635;50.62286592;42.15322225;55.10157695;40.0426918;52.4230404;56.04507187;51.33916428;56.48815139;51.28258188;54.5776418;53.46150614;60.72719244;49.16092243;47.49125546;16.7798939;61.73706982;51.94179254;5.596973982;65.7290329;31.26105958
61;3854;126;-2.22725044;48.72552089;39.8858048;43.42314532;39.80125535;52.180792;33.09118299;40.71671256;32.24706889;45.19542359;30.13653844;42.51688704;46.13891851;41.43301092;46.58199803;41.37642852;44.67148844;43.55535278;50.82103908;39.25476907;37.58510211;12.72328904;51.83091646;42.03563918;15.41912434;55.82287954;21.35490622
62;2152;20;-9.22725044;20.17977587;28.8548117;19.75292608;28.77026225;41.1497989;22.06018989;4.971818762;22.86618079;21.99064655;20.79361234;25.11769572;16.30920007;16.54442412;24.45065543;2.820934201;21.50927192;24.91654022;28.99888386;23.05512007;26.55410901;48.85349678;13.27542214;3.480144862;51.54933208;44.79188644;36.71347306
63;4351;111;-21.22725044;60.53709899;51.6973829;55.23472342;51.61283345;63.9923701;44.90276109;52.52829066;44.05864699;57.00700169;41.94811654;54.32846514;57.95049661;53.24458902;58.39357613;53.18800662;56.48306654;55.36693088;62.63261718;51.06634717;49.39668021;10.76130572;63.64249456;53.84721728;21.38115394;67.63445764;33.16648432
64;3720;137;41.77274956;43.88104253;35.04132644;38.57866696;34.95677699;47.33631364;28.24670463;35.8722342;27.40259053;40.35094523;25.29206008;37.67240868;41.29444015;36.58853256;41.73751967;36.53195016;39.82701008;38.71087442;45.97656072;34.41029071;32.74062375;31.35993284;46.9864381;37.19116082;34.05576814;50.97840118;10.2020224
65;3943;120;32.77274956;36.87253523;28.03281914;31.57015966;27.94826969;40.32780634;21.23819733;28.8637269;20.39408323;33.34243793;18.28355278;30.66390138;34.28593285;29.58002526;34.72901237;29.52344286;32.81850278;31.70236712;38.96805342;27.40178341;25.73211645;26.02272572;39.9779308;30.18265352;28.71856102;43.96989388;13.8259045
66;2516;109;92.77274956;39.88457183;17.27305874;29.14361038;27.88590797;7.714845097;17.80561161;36.91675068;23.30980159;30.91588865;25.16408656;38.71692516;39.78006235;27.15347598;32.30246309;37.57646664;30.3919535;29.27581784;36.54150414;24.97523413;23.09649885;56.084528;48.03095458;38.2356773;58.7803633;11.35693264;43.94450428
