ID_CENTRO;ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25
0;2783;93;72;34.59266822;3.553554655;23.16465886;22.30948425;23.76019693;10.19666315;32.88800102;17.38415973;26.01792258;17.97727349;34.13745316;35.81402037;21.24819948;26.39865874;33.54472081;24.16224407;23.08171896;32.19377606;18.36140357;15.87975855;54.9513019;46.08712637;32.73935232;58.73774234;26.90108972;42.40150505
1;4105;45;48;6.658902666;36.0839653;24.95688248;14.57479004;50.48743971;25.59441549;29.24176842;28.36856935;28.4996761;24.8608946;39.6220629;9.111319812;24.32630544;11.29545498;29.89848821;17.0283876;18.65251973;25.75078014;23.93343261;21.0645705;67.32244542;42.44089377;29.09311972;71.10888588;53.6283325;54.77264857
2;644;40;49;4.769971256;37.06294535;21.95689409;16.51746733;52.07158626;27.38542971;27.35283703;31.36441731;25.55939015;27.85674256;38.66693185;7.220438614;22.61428322;8.295466578;28.00955682;15.31636539;20.56116524;26.54961341;25.84207813;23.15996817;67.10785075;40.55196238;27.20418833;70.89429121;55.21247905;54.5580539
3;2509;51;78;23.63745366;23.8619864;13.8134195;13.36057403;38.87062729;14.18447077;28.46249212;22.486626;17.05416231;23.07973976;39.23991942;22.58334535;13.1856383;13.93571862;29.11921191;8.396822518;6.319850364;19.23083428;8.504693073;15.6964484;60.05376816;41.66161747;28.31384342;63.8402086;42.01152008;47.50397131
4;2301;26;49;6.614320663;36.63325346;22.03802792;23.09475605;51.64189435;26.95573783;21.39554684;35.25789307;25.27877072;32.91062056;37.8830636;7.664571097;18.48621379;13.10932464;22.05226663;21.17137513;27.13845398;33.12690214;26.40754945;30.08344798;66.32398248;34.59467221;21.24689816;70.11042294;54.78278714;53.77418563
5;2400;66;48;18.08310823;27.16347254;29.09902592;10.21330619;40.93899973;18.36270211;34.78239964;18.18119964;30.50891572;15.45442786;32.1977477;19.20017574;29.6521519;19.70455921;35.43911943;22.08362415;16.83144674;27.10679618;20.29727539;13.10040956;57.02434032;47.98152501;34.63375094;60.81078076;44.07989252;44.47454344
6;4045;17;76;20.25745072;25.39117362;10.79594806;25.17060309;40.39981451;15.71365799;17.92235393;24.01581322;14.03669087;24.60892698;34.40987068;19.45568934;7.244133934;15.87583853;18.57907372;12.31583948;16.98316635;22.38985218;15.1654696;20.43528698;61.58295538;31.12147929;17.77370523;65.36939582;43.5407073;49.03315852
7;4016;48;80;21.92507318;22.7937866;11.33092019;15.90851605;37.80242751;13.11627098;26.12815308;21.41842621;14.571663;22.01153996;38.17171964;20.53386107;10.85129926;14.81939325;26.78487287;9.107629964;7.151782042;18.65323622;10.98500813;17.83789997;58.98556836;39.32727843;25.97950438;62.77200882;40.9433203;46.43577151
8;3531;25;41;8.922491408;36.23395989;21.63873435;27.61890852;51.2426008;26.55644426;15.71629639;30.28601852;24.87947715;27.23137009;32.20381313;5.335681822;18.08692022;17.63347711;16.37301618;22.65471318;27.82595263;33.23263845;26.00825588;31.27807325;60.64473203;28.91542174;15.56764769;64.43117247;54.38349357;48.09493518
9;4453;59;51;14.8144997;28.1009511;24.3621395;6.602371796;42.70784781;17.18446111;35.34045748;21.07687979;25.7720293;18.29039656;37.0832214;17.79027034;25.05112536;14.95108355;35.99717727;17.34673773;12.09456031;22.36990976;17.37547319;12.60497219;60.74006888;48.53958285;35.1918088;64.52650934;45.8487406;48.19027203
10;2205;2;28;25.50746111;40.53467011;26.17823841;40.55289342;55.54331102;31.09594832;18.08926056;33.27341488;29.41898121;30.21876645;35.19120949;23.96031516;22.62642427;31.25812887;18.74598035;27.69812982;32.36545669;37.77214251;30.54775994;35.81757731;63.63212837;31.28838592;17.94061186;67.41856883;58.68420379;51.08233151
11;548;64;27;23.6383289;29.77881794;34.05870928;20.86110333;44.78745883;21.29229781;23.18590516;22.51756271;37.03722038;17.25684532;21.8866966;22.99583285;30.50689516;29.75484046;23.84262495;32.24063933;26.9884619;37.26381134;29.38070137;23.43633976;52.49380378;36.38503051;23.03725645;56.28024422;47.92835162;39.94400693
12;632;61;42;14.98185299;31.39891024;29.938787;12.17901929;45.71312735;21.49415469;32.4112759;21.38905405;31.3486768;16.06170586;30.90834338;16.58685856;30.62777286;20.54881014;33.06799569;22.92338523;17.67120781;27.94655726;22.95212069;17.03176586;57.34397496;45.61040125;32.2626272;61.13041542;48.85402014;44.79417811
13;3148;104;70;41.40895821;10.81483815;30.79902711;25.89570382;24.11833208;17.90736825;38.99105603;16.00390841;33.65229083;24.02590711;40.24050817;43.44838862;28.88256773;34.03302699;39.64777582;31.79661232;30.71608721;39.82814431;25.99577182;23.59046365;61.05435691;52.19018138;38.84240733;64.84079735;27.25922487;48.50456006
14;3565;73;-15;42.77906181;41.03046297;45.31035431;41.4023445;56.03910386;32.54394284;34.43755019;33.76920774;48.28886541;30.71455931;3.493211507;40.92125176;41.75854019;48.66960157;35.09426998;46.4331869;45.35266181;54.46471889;40.6323464;38.22703825;64.12792123;47.63667554;34.28890149;67.91436169;59.17999665;51.57812438
15;3040;33;71;17.1766632;28.05017876;13.45495321;18.93348018;43.05881967;18.37266314;25.17999292;26.67481837;16.69569602;27.26793212;41.66750966;19.21537365;9.261066346;8.982653717;25.83671271;5.568129644;14.50324459;22.04463402;17.82447475;22.49575342;64.24196052;38.37911827;25.03134422;68.02840098;46.19971246;51.69216367
16;3055;31;98;26.87175063;28.78942865;8.667118519;26.63499536;43.79806954;19.11191302;29.40048813;27.41406826;3.264039167;28.00718201;44.16736167;28.66711696;14.12363432;18.67774114;30.05720792;15.05070801;20.38142139;13.63772868;18.56372463;23.83354201;64.98121041;42.5996135;29.25183945;68.76765085;46.93896233;52.43141356
17;3015;22;27;15.0665083;34.32215333;21.92395981;34.62258732;49.33079424;25.8356332;12.49117597;27.06089809;25.16470261;24.00624967;28.97869271;13.63542473;18.37214568;24.66338265;13.14789576;23.44385122;28.11117809;33.51786391;26.29348134;31.51872861;57.41961161;25.69030132;12.34252727;61.20605205;52.47168703;44.86981476
18;2459;60;35;17.30318751;33.61845274;32.36604968;15.52881925;48.22534945;22.55251665;29.77492412;24.4938161;34.69847676;17.64489559;30.80453832;16.66069146;33.3803208;23.51105236;30.43164391;26.08240297;21.02100778;31.29635722;26.30192065;20.4543749;57.3474144;42.97404947;29.62627542;61.13385484;51.36624224;44.79761754
19;2365;60;39;17.62766027;32.39382692;31.13863708;13.57102512;47.06872643;21.79016061;31.69664886;22.53602196;32.74068264;15.68710145;29.83162264;15.53143078;32.01977868;21.55325822;32.35336865;24.31539105;19.06321364;29.33856308;24.34412653;18.49658077;56.1081431;44.89577421;31.54800016;59.89458354;50.20961922;43.55834625
20;2122;15;63;17.00101507;25.42598494;10.83075938;25.20541441;40.43462583;15.7484693;14.66591828;24.05062455;14.07150219;24.6437383;31.15343502;16.19925369;7.278945253;15.91064985;15.32263807;12.3506508;17.01797767;22.4246635;15.20028091;20.4700983;59.59435392;27.86504363;14.51726958;63.38079436;43.57551862;47.04455707
21;3131;76;9;31.08328333;27.46504565;31.87018437;27.83692718;42.47368654;18.97852551;22.74177173;20.20379042;34.72344809;17.14914198;13.06955388;29.2254733;29.95372499;35.10418425;23.39849152;32.86776958;31.78724447;40.89930157;27.06692908;24.66162091;50.56250391;35.94089708;22.59312303;54.34894435;45.61457933;38.01270705
22;2989;71;44;21.02680344;25.04400078;29.4491395;14.48019878;39.65268063;16.55748064;30.0905876;14.4161646;32.30240322;11.12859953;29.82418694;20.55424301;27.53268014;23.9714518;30.74730739;26.35051673;21.09833932;31.37368876;24.22275743;12.30054044;53.58057354;43.28971295;29.9419389;57.367014;42.79357342;41.03077669
23;3882;63;101;35.56972711;27.97451357;24.14171775;30.40679628;42.98315446;18.29699794;37.50211219;26.59915317;26.74985607;27.19226693;43.35244659;36.79107926;22.22525837;27.37571761;38.15883198;25.13930296;22.11635357;16.45825489;16.13620214;23.01862693;64.16629533;50.70123754;37.35346349;67.95273577;46.12404725;51.61649848
24;3729;17;27;18.85336521;36.182695;22.04788382;36.42253885;51.19133589;26.96559375;14.35171762;28.92143977;25.28862662;25.86679132;30.83923436;17.388112;18.4960697;27.12777428;15.00843741;23.56777523;28.2351021;33.64178793;26.41740535;31.68722272;59.28015326;27.55084297;14.20306892;63.0665937;54.33222868;46.73035641
25;2693;47;20;18.52875599;29.22371046;27.1026996;26.97359533;44.23235135;20.73719033;16.22989549;21.96245523;30.34344242;18.90780679;23.88024984;17.88625994;23.55088548;24.75296196;16.88661528;27.30797145;31.01729326;37.0057414;28.82559389;26.42028574;52.32116872;29.42902085;16.08124679;56.10760918;47.37324414;39.77137187
26;3674;109;44;42.64777416;22.07788666;32.80957694;28.52083445;38.08976069;19.91791807;35.30814276;8.231751021;35.66284064;13.61125962;36.5575949;41.79184433;30.89311756;36.0435768;35.96486255;33.80716215;32.72663704;41.83869414;28.00632165;25.60101348;54.6784775;48.50726811;35.15949406;58.46491796;41.23065348;42.12868065
27;3664;95;60;35.60180939;12.07913004;24.17380003;20.48409432;27.07852906;11.28214117;32.36582895;13.29144391;27.02706375;17.45510143;33.61528109;36.82316154;22.25734067;27.40779991;33.02254874;25.17138524;24.09086015;33.20291723;19.37054475;16.96523658;54.42912983;45.5649543;32.21718025;58.21557029;30.21942185;41.87933298
28;4507;3;35;22.72479985;37.25684983;22.66162429;37.0362793;52.26549072;27.5793342;18.41459658;32.98431872;25.90236709;29.92967029;34.90211333;19.8930162;19.10981016;27.74151475;19.07131637;24.1815157;28.84884257;34.25552839;27.03114582;32.30096319;63.34303221;31.61372194;18.26594789;67.12947267;55.40638351;50.79323536
29;3564;73;48;21.5194041;23.44539426;27.85053298;13.87818719;37.22092143;14.64462382;31.24296114;14.46312136;30.7037967;11.89494944;32.09159756;22.75571045;25.93407362;23.07019842;31.89968093;25.51212643;20.25994902;30.53529846;22.91966457;10.99744758;53.30626202;44.44208649;31.09431244;57.09270246;40.36181422;40.75646517
30;4268;65;-8;35.84004019;34.09144135;38.37133269;34.4633229;49.10008224;25.60492122;27.49852857;26.83018612;41.34984379;23.77553769;4.252619362;33.98223016;34.81951857;41.73057995;28.15524836;39.49416528;38.41364019;47.52569727;33.69332478;31.28801663;57.18889961;40.69765394;27.34987987;60.97534007;52.24097503;44.63910276
31;1999;58;57;17.65018622;23.6461071;20.95686728;2.136931832;38.25300379;14.16046339;34.59650538;18.95490984;22.36675708;19.68577787;35.84595754;21.36793515;21.64585312;11.81424402;35.25322517;13.9414655;8.689288084;18.96463752;13.97020097;10.20747523;56.65980626;47.79563075;34.44785668;60.44624672;41.39389658;44.11000941
32;4183;44;71;16.853184;27.01784396;13.74932291;13.70173834;42.02648487;17.34032834;29.84324334;25.64248357;16.99006572;26.23559732;42.395777;15.7990757;14.56638951;7.151448969;30.49996313;4.088552708;9.096072508;16.54615927;15.14231804;17.47733535;63.20962572;43.04236869;29.69459464;66.99606618;45.16737766;50.65982887
33;3175;68;65;25.42618179;20.42553777;22.97527369;7.708709046;35.16569766;7.775939159;34.63035551;19.12651424;25.82853741;19.71962799;35.87980765;27.94937966;21.05881433;16.42888032;35.2870753;18.92706903;10.4298334;24.40786127;13.14362543;5.315509341;56.69365639;47.82948086;34.48170681;60.48009683;38.30659045;44.14385954
34;3847;44;23;15.4194271;30.53487667;27.01070731;27.256997;45.54351756;22.04835654;16.13790319;23.27362143;30.25145013;20.21897301;25.19141605;14.77693105;23.45889319;23.16423591;16.79462298;26.41876566;31.30069491;38.60461143;30.1367601;27.73145195;53.63233493;29.33702854;15.9892545;57.41877539;48.68441035;41.08253808
35;2526;65;67;24.98258883;20.22708213;23.79399855;7.265116088;37.24501568;9.855257179;37.18752121;21.68367993;25.20388835;22.27679369;38.43697337;25.3432872;22.71995141;15.7815041;37.844241;16.32097656;7.82374093;21.80176879;10.53753296;4.871916383;59.25082209;50.38664656;37.03887251;63.03726255;40.38590847;46.70102524
36;3624;76;54;24.87753292;18.403993;22.80913174;11.62993176;33.01088971;9.730868417;29.3543913;13.85055003;25.66239544;14.35879204;30.60384344;26.95080377;20.89267236;21.30724396;30.01111109;23.43446543;18.18228802;28.45763746;18.00587644;9.079702821;51.41769218;42.55351665;29.2057426;55.20413264;36.1517825;38.86789533
37;4244;37;64;16.92403196;32.75515596;18.72258085;18.69111552;47.76379685;23.07764033;29.91422316;31.37979557;21.96332366;31.97290932;46.40173992;20.49978437;14.74058241;11.1699035;30.57094295;9.958471354;18.7365189;26.27790833;22.52945195;23.38399082;68.94693772;43.11334853;29.76557448;72.73337816;50.90468964;56.39714087
38;3761;45;80;20.36369398;22.47952446;9.769540998;17.38845253;37.48816537;12.80200884;24.56677388;21.10416409;13.01028381;21.69727784;37.8574575;18.97248188;9.289920064;14.44037931;25.22349367;7.546250772;8.631718514;20.1331727;12.25382045;17.52363783;58.67130624;37.76589925;24.4181252;62.45774668;40.62905816;46.12150939
39;4168;42;64;12.33928822;28.55261038;15.80327543;11.95888972;43.56125129;18.87509476;29.16366988;27.17724999;18.06018671;27.77036374;43.9305434;15.25978292;13.88681605;2.637553184;29.82038967;6.588898215;13.66820917;21.11829594;18.32690637;15.25743707;64.74439214;42.36279523;29.01502118;68.5308326;46.70214406;52.19459529
40;2504;64;20;26.7427576;26.31360828;30.59349964;24.27953739;41.32224919;17.82708815;19.72069551;19.05235306;33.57201072;15.99770462;18.42148695;25.97633227;27.0416855;32.74488238;20.37741531;31.71633223;30.40689596;39.74786422;25.91549173;23.51018356;49.41106656;32.91982087;19.57204682;53.197507;44.46314198;36.86126971
41;3403;30;31;12.29249546;37.8579587;24.10104996;30.21052853;52.86659961;29.01875989;16.01207213;30.59670347;27.34179278;27.54205504;32.51449808;10.06162268;20.54923584;20.22509712;16.66879192;25.24633319;30.28826826;35.69495408;28.47057151;33.74038888;60.95541698;29.21119749;15.86342343;64.74185742;56.0074924;48.40562011
42;3675;22;15;22.51718476;33.16366094;23.93397502;33.53554249;48.17230185;24.67714081;8.815508556;25.90240571;27.17471784;22.84775728;27.82020032;19.54487248;20.3821609;29.01386548;9.472228349;25.45386643;30.1211933;35.52787914;28.30349655;30.36023622;56.2611192;22.01463391;8.666859857;60.04755966;51.31319462;43.71132235
43;4359;31;66;16.52830489;29.91954786;15.853989;19.95118614;44.92818875;20.24203223;26.0784201;28.54418747;19.09473181;29.13730122;42.56593684;18.96522588;11.66010213;8.334295407;26.73513989;9.14205247;18.07716742;25.61855685;19.69384384;23.55572524;66.11132962;39.27754545;25.9297714;69.89777008;48.06908154;53.56153276
44;4458;13;15;25.78823311;37.41660513;27.20502337;37.78848666;52.42524602;28.93008498;12.08655689;30.1553499;30.44576617;27.10070145;32.07314449;22.81592082;23.65320923;32.28491383;12.74327668;28.72491478;33.39224165;38.79892747;31.5745449;34.61318039;60.51406339;25.28568224;11.93790819;64.30050382;55.5661388;47.96426654
45;2153;20;1;20.53803024;32.91299376;21.9548205;33.28487529;47.92163465;24.42647361;3.747252394;25.65173853;25.19556332;22.59709008;27.56953312;17.56571796;18.40300638;27.03471096;4.403972187;23.47471191;28.14203878;33.54872462;26.32434203;30.10956902;56.01045202;16.94637775;3.598603695;59.79689248;51.06252744;43.46065516
46;2625;40;24;13.91115983;32.49666959;26.80828169;28.32263912;47.50531048;24.01014944;15.93547757;25.23541436;30.04902449;22.18076591;27.15320895;13.26866378;23.25646755;23.58300987;16.59219736;26.1305113;32.36633705;38.40218581;31.17780322;29.69324485;55.59412785;29.13460292;15.78682887;59.38056831;50.64620327;43.044331
47;4085;60;29;21.37788768;28.48105266;32.8861914;18.78779825;43.48969357;19.99453253;28.08852498;21.21979742;35.7394551;17.40048706;25.03563486;20.73539163;30.96973202;26.6540714;28.74524477;29.53216419;24.27998676;34.55533622;28.08293611;23.7133539;51.57851094;41.28765033;27.93987628;55.36495138;46.63058636;39.02871408
48;2458;34;22;13.9102824;32.33434545;25.72035287;32.32619424;47.34298634;23.84782532;14.84754876;25.07309022;28.96109569;22.01844179;26.99088483;12.57794527;22.16853875;23.62543581;15.50426855;27.2402443;31.90757117;37.31425699;30.08987442;29.53092073;55.43180371;28.04667412;14.69890006;59.21824417;50.48387913;42.88200685
49;951;50;98;26.69510574;32.54317232;15.60485021;17.97741095;47.55181323;22.86565669;33.87312814;31.16781193;13.58394994;31.76092568;47.92110534;29.16283569;18.59627432;20.51520896;34.52984793;13.69496307;12.9332999;3.292348759;20.0078624;22.98856578;68.73495408;47.07225349;33.72447944;72.52139454;50.692706;56.18515723
50;4009;49;44;11.60041939;35.74492786;24.99179062;14.65714971;50.22509339;25.61668801;28.72783586;25.69238894;28.5942867;22.40482386;35.7410352;9.384584325;26.00606176;16.15313444;29.38455565;18.70814392;18.70084763;28.008653;23.98176051;21.1128984;63.63330818;41.92696121;28.57918716;67.41974864;53.36598618;51.08351133
51;3966;99;42;35.37197504;19.17738099;28.51089848;23.93803693;37.23448993;15.61923962;30.18682088;4.004039962;31.3641622;8.96931945;31.43627302;34.46131077;26.59443912;31.74489836;30.84354067;29.50848369;28.4279586;37.54001568;23.70764319;21.30233504;48.2315672;43.38594623;30.03817218;52.01800766;40.37538272;35.68177035
52;3700;59;78;27.28535074;23.50041136;17.165964;14.81370383;38.50905225;13.82289573;30.52635846;22.12505097;20.01922771;22.71816472;38.87834438;26.58578903;15.24950463;17.9381623;31.18307825;12.3992662;7.409788068;21.0634859;4.386806551;11.57856188;59.69219312;43.72548381;30.37770976;63.47863356;41.64994504;47.14239627
53;3040;33;71;17.16306908;28.03658464;13.44135909;18.91988606;43.04522555;18.35906902;25.1663988;26.66122425;16.6821019;27.254338;41.65391554;19.20177953;9.247472228;8.969059599;25.82311859;5.554535526;14.48965047;22.0310399;17.81088063;22.4821593;64.2283664;38.36552415;25.0177501;68.01480686;46.18611834;51.67856955
54;727;50;17;21.0636553;33.13423726;28.48178578;28.27978763;48.14287815;24.64771711;17.60898167;25.87298202;31.7225286;22.81833358;27.79077662;20.42115925;24.92997166;27.28786128;18.26570146;29.84287075;33.20255274;40.0756899;32.73612069;30.33081252;56.23169552;30.80810703;17.46033297;60.01813596;51.28377094;43.68189867
55;3481;73;64;27.30203716;20.7890249;24.16845054;9.584564406;36.57959675;9.189838259;34.13750064;18.63365937;27.02171424;18.40699268;35.38695278;30.22009821;22.25199116;18.30473568;34.79422043;21.49113171;12.99389608;26.97192394;14.92234419;2.529204977;56.20080152;47.33662599;33.98885194;59.98724196;39.72048954;43.65100466
56;3616;19;89;28.65754954;32.12252946;17.5273039;28.35999017;47.13117035;22.44501383;26.32245274;30.74716906;20.76804672;31.34028282;42.80996948;27.85578815;11.13237864;22.60719436;26.97917253;17.60264543;23.31587912;29.10071432;21.89682543;27.16664282;68.31431122;39.52157809;26.17380404;72.10075166;50.27206314;55.76451436
57;3780;34;14;18.01826347;30.20106954;25.17959356;30.57295109;45.20971045;21.71454941;14.16294328;22.93981431;28.42033636;19.88516588;24.85760892;16.68592634;21.62777944;27.73341686;14.96350923;26.69948497;31.36681184;36.77349768;29.54911509;27.39764482;53.29852782;27.50591479;14.15814075;57.08496826;48.35060324;40.74873097
58;65;41;46;5.705064324;38.35926476;23.25321348;17.57193072;53.36790565;28.59155618;26.34625362;31.36571002;26.85570956;27.85803528;38.5334968;6.14954632;24.26748462;10.34161664;27.00297341;16.96956677;21.6496604;28.59576347;26.93057329;24.06171118;66.97441568;39.54537899;26.19760494;70.76085614;56.50879844;54.42461883
59;2450;39;52;4.572144997;36.1803985;21.07434722;15.63492048;51.18903941;26.50288287;27.99490078;31.77916286;24.6768433;28.75540308;40.67656924;8.976815283;21.73173638;7.412919729;28.65162057;14.43381854;19.6786184;25.66706656;24.95953129;22.27742132;69.11748814;41.19402613;27.84625208;72.9039286;54.32993218;56.56769129
60;3032;145;-10;69.31258545;59.93691647;64.34205519;60.308798;74.94555736;51.45039632;60.97107385;50.69133412;67.19531891;47.54712545;62.22052599;67.45477542;62.42559581;67.57605507;61.62779364;65.3396404;64.25911529;73.37117239;59.5387999;57.13349173;18.53770615;74.1701992;60.82242515;5.222170737;78.08645015;38.43483635
61;3854;126;-3;57.3462081;47.9705391;52.37567784;48.34242065;62.97918001;39.48401897;49.0046965;38.72495677;55.22894154;35.5807481;50.25414864;55.48839807;50.45921846;55.6096777;49.66141629;53.37326305;52.29273794;61.40479504;47.57242255;45.16711438;13.67019269;62.20382185;48.8560478;17.45663314;66.1200728;26.468459
62;2152;20;-10;22.27056485;34.64552835;23.68735511;35.0174099;49.65416926;26.15900822;5.479787;27.38427312;26.92809791;24.32962469;29.30206773;19.29825256;20.13554098;28.76724557;2.635897253;25.20724652;29.87457339;35.28125923;28.05687664;31.84210363;57.74298663;15.17830281;1.830528762;61.52942707;52.79506205;45.19318975
63;4351;111;-22;74.19337594;64.81770694;69.22284568;65.18958849;79.82634785;56.33118681;65.85186434;55.57212461;72.07610938;52.42791594;67.10131648;72.33556591;67.3063863;72.45684554;66.50858413;70.22043089;69.13990578;78.25196287;64.41959039;62.01428222;13.89955293;79.05098969;65.70321564;27.20493708;82.96724064;43.31562685
