;COORDENADA_X;COORDENADA_Y;NODO;X_NODO;Y_NODO;DISTANCIA_NODO-CENTRO;TIEMPO(V=prom)
0;93.0;73.0;2783;93;72;1.0;0.03374699934935877
1;44.9;48.4;4105;45;48;0.412310563;0.013914244301294749
2;39.7;48.8;644;40;49;0.360555128;0.012167653670023967
3;51.0;78.3;2509;51;78;0.3;0.010124099804807631
4;25.7;48.4;2301;26;49;0.670820393;0.022638175366107592
5;66.1;47.6;2400;66;48;0.412310563;0.013914244301294749
6;16.1;75.0;4045;17;76;1.345362405;0.04540194420618675
7;49.1;79.8;4016;48;80;1.118033989;0.037730292299343986
8;24.9;41.3;3531;25;41;0.316227766;0.010671738213451179
9;59.0;50.7;4453;59;51;0.3;0.010124099804807631
10;3.4;26.7;2205;2;28;1.910497317;0.06447355171375067
11;64.8;25.4;548;64;27;1.788854382;0.060368467665451585
12;61.4;41.5;632;61;42;0.640312424;0.021608622956114338
13;103.8;69.9;3148;104;70;0.223606798;0.007546058466618198
14;72.3;-14.9;3565;73;-15;0.707106781;0.023862732078334174
15;31.5;71.8;3040;33;71;1.7;0.05736989889390991
16;29.1;99.5;3055;31;98;2.420743687;0.08169283563015335
17;22.3;27.5;3015;22;27;0.583095189;0.01967771296379723
18;59.6;34.6;2459;60;35;0.565685425;0.01909018566941674
19;59.8;39.9;2365;60;39;0.921954446;0.031113196089300424
20;15.6;62.0;2122;15;63;1.166190379;0.039355425961341464
21;78.0;8.7;3131;76;9;2.022374842;0.06824908247713354
22;70.6;44.1;2989;71;44;0.412310563;0.013914244301294749
23;63.3;97.9;3882;63;101;3.1144823;0.10510443215168941
24;17.8;26.7;3729;17;27;0.854400375;0.02883344889921689
25;46.1;20.1;2693;47;20;0.905538514;0.030559207642777305
26;108.2;40.8;3674;109;44;3.2984845;0.11131395427536998
27;94.5;61.8;3664;95;60;1.868154169;0.06304459752574487
28;-1.2;37.4;4507;3;35;4.837354649;0.1632462041924206
29;73.0;48.0;3564;73;48;0.0;0.0
30;61.9;-6.0;4268;65;-8;3.689173349;0.12449853060837471
31;58.0;57.0;1999;58;57;0.0;0.0
32;43.3;70.8;4183;44;71;0.728010989;0.024568186372109037
33;68.4;64.2;3175;68;65;0.894427191;0.030184233832725792
34;44.7;22.7;3847;44;23;0.761577311;0.025700949018803404
35;65.2;67.2;2526;65;67;0.282842712;0.009545092817834869
36;75.9;52.8;3624;76;54;1.204159458;0.04063676844565021
37;37.0;63.9;4244;37;64;0.1;0.003374699934935877
38;45.0;80.1;3761;45;80;0.1;0.003374699934935877
39;40.6;64.4;4168;42;64;1.456021978;0.049136372744218074
40;65.2;20.1;2504;64;20;1.204159458;0.04063676844565021
41;29.6;31.0;3403;30;31;0.4;0.013498799739743508
42;21.6;14.8;3675;22;15;0.447213595;0.015092116899489397
43;32.2;65.5;4359;31;66;1.3;0.043871099154166406
44;9.5;12.5;4458;13;15;4.301162634;0.14515133261108423
45;19.5;4.7;2153;20;1;3.733630941;0.12599884093667277
46;40.2;24.2;2625;40;24;0.282842712;0.009545092817834869
47;59.2;29.7;4085;60;29;1.063014581;0.03587355237336588
48;33.9;21.7;2458;34;22;0.316227766;0.010671738213451179
49;50.9;96.1;951;50;98;2.102379604;0.07094900312829314
50;48.3;44.7;4009;49;44;0.989949494;0.03340782492991604
51;98.6;42.1;3966;99;42;0.412310563;0.013914244301294749
52;60.0;77.5;3700;59;78;1.118033989;0.037730292299343986
53;31.9;71.8;3040;33;71;1.360147051;0.04590088164512925
54;51.2;17.2;727;50;17;1.216552506;0.04105499662844278
55;72.3;63.8;3481;73;64;0.728010989;0.024568186372109037
56;21.8;91.0;3616;19;89;3.440930107;0.116121066082118
57;33.9;14.9;3780;34;14;0.905538514;0.030559207642777305
58;40.7;46.8;65;41;46;0.854400375;0.02883344889921689
59;39.2;51.1;2450;39;52;0.921954446;0.031113196089300424
60;142.0;-9.9;3032;145;-10;3.001666204;0.10129722743338021
61;124.8;-1.4;3854;126;-3;2.0;0.06749399869871754
62;16.9;-11.1;2152;20;-10;3.289376841;0.11100659811302281
63;103.5;-84.1;4351;111;-22;62.55125898;2.110917296099632
64;135.1;39.1;3720;137;41;2.687005769;0.09067838193816627
65;121.0;33.7;3943;120;32;1.972308292;0.0665594866468589
66;107.3;93.1;2516;109;92;2.024845673;0.06833246560928292
