ID_NODO;COORDENADA_X;COORDENADA_Y;CENTRO_CERCANO;TIEMPO_CERCANO
0;43;67;32;2.74125012
3;72;14;21;5.28855534
5;102;64;13;4.22695128
6;43;78;32;4.17442974
16;67;72;35;5.05584186
18;7;30;10;4.34106036
19;40;55;59;2.34977328
20;77;37;22;7.666599959999999
21;34;72;53;5.08051356
22;47;18;25;1.4352579600000002
34;7;54;20;3.6180270599999997
38;49;16;25;2.7565018199999995
41;7;67;20;6.927171899999999
46;40;52;59;0.88062132
48;49;88;38;5.941512
58;96;42;51;1.57458828
63;26;37;41;5.068084020000001
65;41;46;58;0.34600139999999996
68;43;46;58;1.33599024
85;43;79;32;4.6723113
90;63;72;35;7.0818882
96;44;18;25;2.9186337599999996
98;72;68;35;5.6562324
107;39;76;39;8.3371704
109;59;16;40;6.24222516
110;35;23;48;3.31554948
116;64;54;5;4.216360319999999
118;39;47;58;1.47501342
119;48;30;25;6.05898654
120;49;51;9;5.19027138
122;39;28;46;4.0791018
125;103;47;51;5.4561870599999995
130;38;28;46;4.5999105600000005
134;53;86;7;5.1852820799999995
138;48;51;1;4.794295019999999
139;49;65;39;4.949050980000001
143;56;66;31;6.2062677
144;64;42;12;1.81405986
146;48;52;59;4.77245088
147;26;34;41;3.5781675600000002
150;64;68;35;4.40534568
156;49;72;3;5.05192596
159;43;93;38;7.37396484
160;53;68;32;6.76414194
161;38;17;57;6.06248874
162;26;43;8;6.9526599
165;83;42;51;8.18108616
176;72;24;40;6.1883547000000005
179;90;70;0;2.9883912
180;7;60;20;7.201255979999999
181;54;76;7;5.494090079999999
184;37;56;59;3.54669804
191;68;23;40;3.9939291
192;53;71;52;6.98507232
196;29;50;4;3.8010777000000004
197;18;60;20;4.86236388
199;77;24;21;8.30613132
202;28;45;4;3.17611662
204;68;98;23;5.46232182
207;71;72;55;5.21655588
208;18;64;20;2.73397326
209;77;39;29;6.80478624
210;2;30;10;1.72897806
212;68;18;40;3.4664591999999996
213;38;30;46;4.9876626
216;41;35;50;9.44623836
217;35;55;59;4.751640780000001
218;91;50;51;7.953773159999999
222;66;35;19;5.57969352
223;71;66;33;5.20139136
229;19;50;8;7.747506659999999
230;39;71;39;5.7146832000000005
234;74;16;21;6.693450539999999
235;57;23;25;6.57372492
238;48;23;34;2.27016258
240;41;60;39;3.75204402
241;65;70;35;1.6434119999999999
242;28;44;4;3.65581902
247;51;41;50;2.979591
249;72;43;29;3.028941
250;8;39;20;8.30631678
253;94;51;51;8.46462678
255;43;30;34;5.88843474
257;79;35;22;8.37966774
258;34;44;8;6.008088839999999
264;51;49;1;3.63838914
267;77;36;22;7.681844579999999
268;29;47;4;2.9115749400000004
269;85;61;36;7.84294134
270;19;69;20;5.23131444
271;54;56;9;8.257414379999998
275;19;66;20;3.8067737399999997
276;41;66;39;5.68220418
288;81;14;40;13.096214702
294;73;45;29;3.29201694
297;67;68;35;3.02818062
300;40;29;46;5.01476862
303;64;49;5;2.32342314
305;34;88;16;8.6474001
306;80;63;36;6.42959346
314;46;58;39;5.587255560000001
324;43;87;38;4.39331724
325;66;41;5;4.367131079999999
329;90;48;51;9.03866526
331;73;61;31;6.62874468
332;49;43;58;7.633598459999999
337;34;43;8;5.5469300399999995
340;67;71;35;4.553733240000001
343;40;20;46;2.08914054
349;27;84;6;7.87586208
353;47;30;25;5.5887025800000005
354;71;50;5;5.53396788
355;26;22;17;4.2622668
356;47;34;50;6.59267748
357;56;20;25;6.8215945200000005
360;48;29;34;5.17374204
362;49;60;39;5.25498546
369;46;79;32;5.2160809200000005
374;64;60;35;5.71758912
379;46;33;50;7.297635959999999
380;67;47;5;5.545102259999999
393;47;62;39;3.7833153
398;59;43;50;5.6057637
404;47;80;32;5.9142273
412;35;20;48;3.44131044
413;79;49;29;6.07672704
414;92;46;51;6.38924826
424;48;1;25;10.454118482
426;35;43;8;6.041154659999999
428;93;49;51;7.2766760999999995
435;68;61;31;6.77211534
438;23;58;4;5.60521548
439;81;52;36;6.64958262
442;36;84;6;6.46204134
450;69;51;22;4.4634022799999995
465;40;45;58;1.40254224
471;43;70;32;1.25305836
478;66;45;5;4.46734212
479;55;43;9;6.8420998200000005
500;79;45;29;8.0828133
506;59;72;35;5.52231642
507;86;41;51;7.554333659999999
510;44;48;1;4.397356019999999
522;66;4;30;8.33148228
527;63;14;40;4.697427600000001
529;63;2;40;10.934750882
535;55;56;9;7.72646832
541;60;42;12;0.80455368
546;73;11;21;8.77650546
548;64;27;11;0.72442164
551;36;42;2;5.81952438
552;86;63;36;7.67660412
556;70;63;55;7.30186278
559;27;70;53;5.75038728
562;86;25;21;13.046566138000001
564;36;43;2;5.29172622
567;66;56;9;5.90715228
571;70;12;21;5.366470139999999
576;66;72;35;6.0047142000000004
579;90;31;51;11.883339416
581;80;67;55;8.04924744
589;64;52;5;3.1603914
590;70;46;5;5.51704236
594;75;52;29;5.77077456
601;25;23;17;3.5822418
606;50;29;54;6.0288188400000005
608;36;61;39;5.94816312
615;26;39;4;5.46442422
617;84;26;40;12.108689282
618;48;11;25;5.38617774
623;70;30;47;5.573695440000001
627;74;46;29;5.46858378
628;31;49;4;2.8201772400000005
629;80;61;36;5.656457280000001
631;40;58;59;3.75146916
632;61;42;12;0.2593035
636;66;60;35;6.721680360000001
637;126;43;65;7.41567432
639;33;30;48;6.29783946
640;44;35;50;7.93622742
644;40;49;2;0.14601186
651;31;48;4;3.27150888
653;60;72;35;5.97804192
654;41;15;54;5.962894260000001
656;73;18;21;8.241412799999999
658;73;27;11;5.58997716
659;61;35;12;3.47999574
662;80;65;55;8.0144556
666;64;1;40;11.575786742
670;62;38;19;2.93393964
672;25;57;4;4.40691216
673;17;30;24;4.551245819999999
677;62;45;19;6.4548189
681;94;47;51;6.033700259999999
682;51;72;3;6.0502887
686;75;36;22;5.803868999999999
687;74;64;33;5.55589116
688;70;4;21;6.96462474
693;70;9;21;3.8030724
695;75;38;22;4.882189019999999
710;41;23;34;5.76449742
714;56;22;25;5.85969822
715;64;72;35;7.58615214
719;103;64;13;3.74221746
721;33;57;37;5.60903304
722;39;94;16;6.342327839999999
724;81;47;29;5.54841858
725;66;14;40;6.173922780000001
727;50;17;54;0.49265994
728;70;25;47;7.30000872
730;40;66;39;5.37901506
