ID_NODO;COORDENADA_X;COORDENADA_Y;CENTRO_CERCANO;TIEMPO_CERCANO
0;43;67;32;2.3892989399999998
3;72;14;21;4.58222544
5;102;64;13;3.47642316
6;43;78;32;3.6202844999999995
16;67;72;35;4.2486978
18;7;30;10;3.7062639
19;40;55;59;2.0834472
20;77;37;22;6.222843179999999
21;34;72;53;4.451492099999999
22;47;18;25;1.20911418
34;7;54;20;3.14781576
38;49;16;25;2.3935139999999997
41;7;67;20;5.91563646
46;40;52;59;0.7962155399999999
48;49;88;38;5.06529312
58;96;42;51;1.42849314
63;26;37;41;4.29415332
65;41;46;58;0.34600139999999996
68;43;46;58;1.2099972
85;43;79;32;4.0391994
90;63;72;35;5.9329671
96;44;18;25;2.4943681799999995
98;72;68;35;4.6894095
107;39;76;39;7.206202380000001
109;59;16;40;5.094883620000001
110;35;23;48;2.6615894399999998
116;64;54;5;3.5378579400000003
118;39;47;58;1.29500442
119;48;30;25;4.97196822
120;49;51;9;4.372877160000001
122;39;28;46;3.67985466
125;103;47;51;4.7333418599999995
130;38;28;46;4.10283666
134;53;86;7;4.522651799999999
138;48;51;1;4.167511199999999
139;49;65;39;4.32264288
143;56;66;31;5.21750946
144;64;42;12;1.5368532
146;48;52;59;4.1134743
147;26;34;41;3.0333645600000003
150;64;68;35;3.8220337800000004
156;49;72;3;4.113890639999999
159;43;93;38;6.33876696
160;53;68;32;5.91537516
161;38;17;57;4.97409504
162;26;43;8;5.7033109799999995
165;83;42;29;6.86635626
176;72;24;40;5.453070180000001
179;90;70;0;2.4617900400000003
180;7;60;20;6.259647899999999
181;54;76;7;4.58514942
184;37;56;59;2.9243219399999996
191;68;23;40;3.47308674
192;53;71;52;5.9004639
196;29;50;4;3.3297226799999997
197;18;60;20;4.082976
199;77;24;21;7.20245448
202;28;45;4;2.73845196
204;68;98;23;4.65096336
207;71;72;55;4.4614875
208;18;64;20;2.3594986799999997
209;77;39;29;5.4252513
210;2;30;10;1.60705476
212;68;18;40;3.03154158
213;38;30;46;4.24852332
216;41;35;50;7.877265899999999
217;35;55;59;3.8417576999999996
218;91;50;51;6.812734739999999
222;66;35;19;4.66500918
223;71;66;33;4.503627839999999
229;19;50;8;6.556543919999999
230;39;71;39;5.075184900000001
234;74;16;21;5.76483138
235;57;23;25;5.73228732
238;48;23;34;1.97272056
240;41;60;39;3.25066794
241;65;70;35;1.34705088
242;28;44;4;3.1535401800000002
247;51;41;50;2.5051535400000002
249;72;43;29;2.5103661
250;8;39;20;7.25879112
253;94;51;51;7.085522039999999
255;43;30;34;5.067560579999999
257;79;35;22;7.02959106
258;34;44;8;5.10490572
264;51;49;1;3.1353135
267;77;36;22;6.5717985599999995
268;29;47;4;2.37373716
269;85;61;36;6.597649260000001
270;19;69;20;4.523573879999999
271;54;56;9;6.86703282
275;19;66;20;3.2867307599999998
276;41;66;39;4.92335598
288;81;14;40;11.276314922
294;73;45;29;2.71601658
297;67;68;35;2.5520598000000003
300;40;29;46;4.5224046
303;64;49;5;2.0080611
305;34;88;16;7.601977979999999
306;80;63;36;5.3935420800000005
314;46;58;39;4.857395220000001
324;43;87;38;3.8269816199999998
325;66;41;5;3.6865911000000002
329;90;48;51;7.766657819999999
331;73;61;31;5.46329052
332;49;43;58;6.368877839999999
337;34;43;8;4.695968639999999
340;67;71;35;3.82727832
343;40;20;46;1.79153232
349;27;84;6;6.64151766
353;47;30;25;4.5519206400000005
354;71;50;5;4.520776979999999
355;26;22;17;3.7167546
356;47;34;50;5.729671679999999
357;56;20;25;5.79357966
360;48;29;34;4.41918438
362;49;60;39;4.49076774
369;46;79;32;4.24772298
374;64;60;35;4.83812022
379;46;33;50;6.341482859999999
380;67;47;5;4.6222077
393;47;62;39;3.29180466
398;59;43;50;4.7927991
404;47;80;32;4.8368601
412;35;20;48;2.81186598
413;79;49;29;5.11718958
414;92;46;51;5.607841559999999
424;48;1;25;8.73182778
426;35;43;8;5.123286719999999
428;93;49;51;6.148152479999999
435;68;61;31;5.80336278
438;23;58;4;4.82613996
439;81;52;36;5.63556492
442;36;84;6;5.5392825
450;69;51;22;3.8012955600000002
465;40;45;58;1.19243568
471;43;70;32;1.1312346
478;66;45;5;3.6895739400000003
479;55;43;9;5.754999300000001
500;79;45;29;6.77289552
506;59;72;35;4.7096724000000005
507;86;41;51;6.542736059999999
510;44;48;1;3.7553248200000002
522;66;4;30;7.0286569199999995
527;63;14;40;3.9400403999999996
529;63;2;40;8.964061919999999
535;55;56;9;6.441808920000001
541;60;42;12;0.6840529200000001
546;73;11;40;7.33426674
548;64;27;11;0.72442164
551;36;42;2;4.76014272
552;86;63;36;6.461459280000001
556;70;63;55;6.06724782
559;27;70;53;4.87281318
562;86;25;21;11.081368318
564;36;43;2;4.32561888
567;66;56;9;5.1299994600000005
571;70;12;21;4.64423766
576;66;72;35;5.088007080000001
579;90;31;51;10.471186016
581;80;67;55;6.9925389000000004
589;64;52;5;2.6936296200000003
590;70;46;5;4.83648882
594;75;52;29;4.79804874
