ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25;T26;T27;T28;T29;T30;T31;T32;T33;T34;T35;T36;T37;T38;T39;T40;T41;T42;T43;T44;T45;T46;T47;T48;T49;T50;T51;T52;T53;T54;T55;T56;T57;T58;T59;T60;T61;T62;T63;T64;T65;T66
0;43;67;18.61934826;10.10544708;9.42328104;6.94885542;14.5203489;15.52847784;12.33020442;7.72494792;15.67819422;11.91803232;23.5612902;22.43758182;16.18743426;24.07950168;34.6658145;6.20274318;14.58816096;19.88791212;17.51789652;16.95202836;12.421902;25.27558842;18.70702188;20.19555174;19.9932999;18.39734142;26.14212966;19.87079208;22.41854046;17.69885376;30.552753;9.53307594;2.1787185;12.24184116;17.8476612;10.15906314;16.6194381;8.453298;8.36891136;5.04205026;24.11092836;17.70897246;21.33053478;8.0016714;24.86886684;21.05137392;18.07687314;20.36792706;19.50597828;11.03521962;12.73611906;22.35011586;9.97246176;6.06511494;20.72825214;14.01730098;17.6991516;22.32409404;8.59327434;10.16721564;48.8344707;39.66395934;22.0512762;74.49066942;36.00883866;29.52115962;27.39838272
3;72;14;14.13658284;20.06633688;19.38417084;17.6090388;18.949872;15.25513794;16.43766936;17.21133264;14.93645538;18.02003022;17.27769798;9.4467918;14.86336452;18.54090282;15.74652588;21.027069;21.67289388;12.34265928;14.95463352;14.25006264;14.08872762;4.10587554;11.97800928;21.54420996;13.82516844;8.88725226;16.75843968;14.33219322;18.47037612;12.69225312;12.00559992;14.88193248;19.84854012;15.4711977;9.95699142;17.05863636;11.756475;23.66315862;16.50896928;21.47485638;6.59065248;14.9612397;11.75499216;22.07024748;16.12943514;12.62543106;10.86988692;10.7870385;10.820358;24.58103844;17.79076512;12.12614922;17.50922694;20.88944076;11.81630946;15.09017946;23.42215062;9.76351284;19.31648556;20.9776149;35.41123476;26.2407234;13.62533334;61.06743348;22.58560272;16.09792368;22.9156173
5;102;64;7.11635028;22.48451676;24.05044674;17.13155472;26.20389198;18.18509082;18.51709002;16.73384856;26.00916942;16.66728522;28.35041202;20.95098474;20.93668716;3.11936358;28.64973156;20.54958492;21.1954098;23.41537332;23.3245278;22.0239651;18.6087876;19.25950548;16.91998872;21.06672588;24.89788248;19.9599663;12.404496;4.72116216;28.60542606;15.5560953;24.53667006;13.52918748;19.37105604;14.99371362;21.02970546;16.58115228;12.3883698;23.18567454;16.0314852;20.9973723;18.09484542;26.03395374;22.8277062;21.5927634;27.20214918;23.6981451;21.94260096;19.43867658;21.89307204;24.10355436;22.8400911;10.65861132;17.03174286;20.41195668;22.8890235;15.32711106;24.52990836;20.83622688;24.78073644;23.62688448;42.81838776;33.6478764;24.69804738;68.47458648;29.99275572;23.50507668;13.97260026
6;43;78;14.82395544;12.30473046;12.34645884;3.70719486;16.69683294;15.51219756;9.01003098;5.94526812;16.61147604;11.90175204;20.24111676;23.15841;16.17115398;20.28410886;30.87042168;7.47054078;11.68835076;16.56773868;18.62284674;17.25843192;9.10172856;21.4801956;18.6907416;16.40015892;16.67312646;20.34519282;22.34673684;16.07539926;19.09836702;17.68257348;26.75736018;9.51679566;3.20712114;13.55195394;20.39124564;11.46917592;14.60905992;9.799956;5.13065496;6.7977312;20.31553554;17.98585884;18.01036134;9.33957336;21.5486934;17.73120048;19.81666236;21.07198974;19.0661961;9.82560984;15.2492517;18.55472304;6.9755016;7.33291254;21.32190228;15.29851068;15.02284932;19.0620747;12.63074832;11.92289658;45.03907788;35.86856652;18.73110276;70.6952766;32.21344584;25.7257668;23.6029899
16;67;72;13.10662854;14.68198056;16.17635886;8.61134928;20.44714746;10.42369416;14.38030044;10.7425641;21.9817455;9.82684074;25.61138622;17.87601396;13.10884746;18.56678196;29.15309478;13.63058808;17.05862022;21.93800814;15.84269466;14.47827984;14.47199802;19.7628687;12.16157712;16.9299363;22.04339592;20.46332952;20.62940994;14.35807236;24.46863648;11.04139458;25.04003328;7.44188436;9.6065634;5.85362928;21.53306868;3.77085126;10.22606202;15.8811429;11.38652754;12.0199068;18.59820864;23.3561283;23.33106942;15.4295163;26.91896286;23.10146994;22.44596418;18.0450045;22.39643526;13.45165068;14.96600322;16.83739614;6.0055911;13.49295984;23.39238672;5.40641958;20.39311878;21.3395901;16.97820024;15.7527966;43.32175098;34.15123962;24.10137222;68.9779497;30.49611894;24.0084399;21.55136328
18;7;30;26.37873618;22.6417488;21.24946866;20.69070858;17.51967492;28.48188624;13.40421036;19.22247738;14.37285582;28.53189432;3.36859338;21.15331866;27.2103384;31.8388896;28.85206548;18.77575794;21.87271794;11.68886622;24.57269742;26.04451902;11.05526862;20.84771106;25.29258036;27.95493966;10.50997806;15.76266312;30.07301076;27.63018;18.40231506;26.0068242;24.73900398;26.60853048;21.6825792;26.07167076;15.80871594;27.1039722;25.07104608;20.65039512;17.75397978;21.67468044;18.29717934;12.86142054;12.997038;19.28405604;16.53537006;12.71787714;15.23413266;24.10160958;14.4836664;25.2131637;23.15665518;25.4407203;22.52144178;18.6381297;16.73937258;26.85329142;20.38869162;14.479545;20.74510896;21.95298714;48.72580584;39.55529448;13.71777942;74.38200456;35.9001738;29.41249476;35.15777064
19;40;55;21.81906726;4.44636288;2.2844286;12.226425;7.34582406;11.88244818;13.4610222;11.03741778;10.3335621;8.61089328;22.25146866;18.88603254;12.47503458;24.90653646;32.56524492;8.80666056;16.99450002;15.06152454;13.96634724;13.24496718;11.11208046;24.5608905;15.06099222;23.39527074;17.55278028;14.84579214;27.36062184;22.05891654;19.97802084;14.05969362;28.45218342;8.2579854;7.45628808;14.12453322;13.5337905;13.42037964;15.34434756;6.9087474;9.56892018;4.5990483;20.608674;12.56373336;18.89001516;8.33106978;22.42834722;18.6108543;13.24934298;16.81637778;14.56143936;14.91221226;8.9785077;23.2944159;15.25003134;8.66903232;17.17670286;15.29113566;20.30306898;17.65209276;3.9404004;1.86086634;50.5367664;41.36625504;19.61075658;76.19296512;37.71113436;31.22345532;30.59810172
20;77;37;13.78731312;15.6202101;17.74022622;17.25976908;22.63605798;8.10664086;18.64530438;16.86206292;18.6740415;11.6418759;21.0152841;9.84371028;8.46574542;18.1916331;21.31460364;20.67779928;21.32362416;16.0802454;8.50876842;7.1443536;17.82631374;11.43320232;5.34685632;21.19494024;17.56275456;12.62483838;14.65889328;13.9829235;22.20796224;5.54375604;17.20154214;14.245569;19.4992704;14.24659866;13.69457754;14.87152368;9.24447354;23.3138889;16.15969956;21.0380253;10.7597175;18.69882582;15.49257828;21.72097776;19.86702126;16.36301718;14.60747304;9.46223718;14.55794412;24.23176872;12.90090672;9.93970164;17.15995722;20.54017104;15.55389558;11.89240956;24.65812272;13.50109896;16.97570442;18.98738262;36.32499078;27.15447942;17.36291946;61.9811895;23.49935874;17.0116797;22.56634758
21;34;72;17.41656102;14.23430226;12.52935594;9.13616376;13.961331;18.8878158;9.72196422;8.45965062;17.32340928;15.27737028;20.95305;25.3131243;19.54677222;22.87671444;33.46302726;4.13079378;12.49017954;17.27967192;20.393439;19.6480581;9.8136618;24.07280118;21.73328442;18.9927645;17.3850597;21.05712606;24.93934242;18.66800484;19.81030026;20.369391;29.34996576;12.8924139;5.59398714;14.98977606;20.72320368;12.90699804;17.2016655;6.460209;6.99115302;6.9806283;22.90814112;18.69779208;18.72229458;5.929722;22.26062664;18.44313372;20.50012902;23.24346954;19.77812934;15.08789682;15.4321488;21.14732862;11.36031072;3.99316554;22.03383552;16.76523588;14.15285184;19.77400794;14.03509842;12.10579368;47.63168346;38.4611721;19.443036;73.28788218;34.80605142;28.31837238;26.19559548
22;47;18;17.58463176;13.8925104;13.21034436;20.73305628;15.9587607;17.16490368;13.44655806;19.26482508;11.94534408;16.11962538;14.28658668;11.2742931;13.60321518;21.98895174;18.98554332;18.81810564;21.91506564;9.35154798;10.7589318;12.3167718;11.09761632;10.9811889;15.4260582;24.99225888;10.83405714;1.09037814;20.2064886;17.78024214;15.47926482;16.14030204;14.87248182;18.03950292;18.84120174;18.91924662;3.9826686;20.50668528;15.20452392;20.69274282;17.79632748;18.83330298;8.41815378;11.9701284;8.76388086;19.32640374;13.13832384;9.63431976;5.51227182;13.60896234;6.69313188;24.69372978;10.15549488;15.57419814;20.95727586;18.6804774;4.01943534;18.53822838;20.43103932;6.77240154;12.38033766;14.80378842;38.85928368;29.68877232;10.63422204;64.5154824;26.03365164;19.5459726;26.36366622
