X;Y;Cantidad;ID_NODO;Cantidad/Total
138;-15;205;2433;0.009268469
138;-4;144;1016;0.006510534
141;49;128;3039;0.005787142
131;-2;125;3305;0.005651506
112;44;116;4012;0.005244597
115;61;114;4044;0.005154173
126;52;110;4064;0.004973325
128;60;101;2839;0.004566416
137;41;95;3720;0.004295144
134;54;91;3572;0.004114296
126;-4;89;2872;0.004023872
128;61;88;3153;0.00397866
138;-22;85;1200;0.003843024
-13;110;84;2164;0.003797812
-8;101;83;2163;0.0037526
126;-14;79;4467;0.003571752
59;-3;77;4231;0.003481327
127;67;74;4406;0.003345691
73;-3;74;4273;0.003345691
106;97;70;4480;0.003164843
126;-10;70;3497;0.003164843
123;39;68;932;0.003074419
26;97;68;3846;0.003074419
103;95;65;4101;0.002938783
32;102;65;3850;0.002938783
65;-8;64;4268;0.002893571
129;-25;64;4470;0.002893571
126;43;61;637;0.002757935
128;67;61;4209;0.002757935
85;6;60;3164;0.002712723
66;-3;59;2294;0.002667511
107;30;58;1613;0.002622299
109;44;57;3674;0.002577087
124;-18;57;3471;0.002577087
35;103;57;4159;0.002577087
54;1;55;3920;0.002486662
41;101;55;4162;0.002486662
115;94;54;3229;0.00244145
18;-20;53;3052;0.002396238
-12;117;52;2407;0.002351026
29;59;52;4178;0.002351026
126;-3;52;3854;0.002351026
132;46;51;3299;0.002305814
128;54;51;2620;0.002305814
132;54;50;3183;0.002260602
106;50;49;3686;0.00221539
125;2;49;2671;0.00221539
141;-4;47;2800;0.002124966
116;77;47;3801;0.002124966
142;34;47;3746;0.002124966
100;90;47;4364;0.002124966
115;68;47;1476;0.002124966
59;1;46;4247;0.002079754
120;-10;45;4167;0.002034542
80;4;45;2903;0.002034542
145;-13;45;2993;0.002034542
24;-20;45;2553;0.002034542
136;48;44;3063;0.00198933
120;36;44;4353;0.00198933
119;35;43;3885;0.001944118
-21;112;43;3698;0.001944118
126;10;43;1111;0.001944118
6;-26;41;3816;0.001853694
145;-10;41;3032;0.001853694
128;46;40;3135;0.001808482
112;25;40;3297;0.001808482
-27;115;39;3245;0.00176327
73;-8;39;2824;0.00176327
37;64;39;4244;0.00176327
126;4;39;3908;0.00176327
132;41;38;2284;0.001718058
62;9;38;4289;0.001718058
52;9;38;4304;0.001718058
145;3;37;3437;0.001672846
97;88;37;4374;0.001672846
-10;92;37;3072;0.001672846
80;73;37;3963;0.001672846
151;59;36;4298;0.001627634
29;93;36;3430;0.001627634
77;3;36;3937;0.001627634
73;-15;36;3565;0.001627634
126;-11;36;2532;0.001627634
23;-25;35;3557;0.001582422
150;54;35;3475;0.001582422
145;-6;35;4161;0.001582422
90;91;35;4518;0.001582422
103;87;35;3890;0.001582422
129;54;34;3431;0.00153721
107;46;34;3671;0.00153721
109;92;34;2516;0.00153721
131;8;34;836;0.00153721
120;83;34;4170;0.00153721
103;81;33;3953;0.001491997
153;46;33;4217;0.001491997
33;60;33;3820;0.001491997
115;91;33;1866;0.001491997
126;-13;33;1429;0.001491997
19;89;33;3616;0.001491997
103;43;33;3797;0.001491997
128;49;32;2480;0.001446785
37;101;31;3421;0.001401573
118;-10;31;3849;0.001401573
124;-10;31;3916;0.001401573
70;-11;31;3464;0.001401573
80;7;31;4147;0.001401573
64;1;31;666;0.001401573
133;52;31;3815;0.001401573
129;46;31;3817;0.001401573
135;30;30;2690;0.001356361
137;0;30;4399;0.001356361
73;-13;30;4180;0.001356361
87;50;30;2100;0.001356361
141;34;30;3997;0.001356361
135;34;30;3359;0.001356361
112;90;30;2657;0.001356361
56;27;29;2435;0.001311149
129;2;29;4455;0.001311149
-21;117;29;2769;0.001311149
6;-32;29;4296;0.001311149
103;93;29;2972;0.001311149
58;61;29;2984;0.001311149
132;2;28;3187;0.001265937
110;62;28;3843;0.001265937
25;-14;28;2336;0.001265937
128;52;28;2744;0.001265937
50;98;28;951;0.001265937
138;6;28;4312;0.001265937
101;107;28;4337;0.001265937
148;-13;28;806;0.001265937
66;-8;27;3954;0.001220725
63;2;27;529;0.001220725
145;-8;27;2608;0.001220725
134;6;27;3609;0.001220725
101;10;27;4295;0.001220725
29;88;27;2172;0.001220725
70;-8;26;945;0.001175513
129;40;26;4440;0.001175513
73;-11;26;4419;0.001175513
134;49;26;2612;0.001175513
101;35;26;3199;0.001175513
145;1;26;2683;0.001175513
46;48;26;3813;0.001175513
138;-2;26;4202;0.001175513
151;49;25;2610;0.001130301
107;107;25;3028;0.001130301
27;63;25;3691;0.001130301
47;97;25;4303;0.001130301
138;3;25;3011;0.001130301
26;56;25;4327;0.001130301
113;70;24;3445;0.001085089
132;12;24;4146;0.001085089
119;29;24;2534;0.001085089
63;26;24;2955;0.001085089
76;75;24;2106;0.001085089
12;-25;24;4096;0.001085089
99;84;24;3573;0.001085089
31;96;24;3632;0.001085089
85;13;24;2942;0.001085089
89;23;24;3138;0.001085089
119;31;24;4171;0.001085089
-16;113;23;4129;0.001039877
123;-25;23;4144;0.001039877
27;86;23;4464;0.001039877
107;25;23;2600;0.001039877
31;98;23;3055;0.001039877
114;-11;23;3998;0.001039877
64;22;23;3196;0.001039877
13;-31;23;2432;0.001039877
40;63;22;2226;0.000994665
25;61;22;3236;0.000994665
38;61;22;2701;0.000994665
117;87;22;3814;0.000994665
74;3;22;4213;0.000994665
20;-33;22;3750;0.000994665
102;74;22;4275;0.000994665
131;1;22;2469;0.000994665
132;6;22;3483;0.000994665
121;-19;21;2699;0.000949453
20;-26;21;2855;0.000949453
68;39;21;4172;0.000949453
18;-39;21;4286;0.000949453
31;91;21;3012;0.000949453
108;62;21;3640;0.000949453
38;67;21;2665;0.000949453
-18;113;21;3149;0.000949453
42;53;21;4395;0.000949453
106;80;21;3113;0.000949453
50;54;21;3420;0.000949453
29;65;21;4478;0.000949453
35;53;21;3024;0.000949453
105;55;21;3959;0.000949453
90;9;21;3566;0.000949453
128;41;21;3617;0.000949453
159;55;21;3552;0.000949453
66;8;21;3987;0.000949453
126;2;21;1246;0.000949453
33;62;21;2723;0.000949453
56;9;20;3348;0.000904241
31;66;20;4359;0.000904241
73;-22;20;4259;0.000904241
153;-8;20;4065;0.000904241
59;9;20;4487;0.000904241
95;83;20;3605;0.000904241
30;-10;20;3235;0.000904241
-3;92;20;2162;0.000904241
13;-37;20;3507;0.000904241
31;56;20;3392;0.000904241
126;35;20;3387;0.000904241
32;57;20;3587;0.000904241
14;-7;20;3888;0.000904241
125;29;20;4491;0.000904241
84;53;20;2479;0.000904241
106;90;20;908;0.000904241
20;-20;20;2151;0.000904241
50;48;20;2452;0.000904241
48;-2;19;3614;0.000859029
70;2;19;3524;0.000859029
113;75;19;3881;0.000859029
133;29;19;4498;0.000859029
86;76;19;4182;0.000859029
17;-25;19;2583;0.000859029
93;79;19;4347;0.000859029
100;39;19;3331;0.000859029
109;82;19;3520;0.000859029
130;49;19;1386;0.000859029
126;38;19;2392;0.000859029
87;39;19;3428;0.000859029
114;67;19;3125;0.000859029
95;17;19;2846;0.000859029
72;40;19;3649;0.000859029
-18;117;19;2207;0.000859029
68;3;19;3458;0.000859029
71;2;19;4492;0.000859029
28;64;19;3480;0.000859029
105;52;19;4149;0.000859029
100;84;19;2830;0.000859029
40;52;19;46;0.000859029
20;-10;19;2152;0.000859029
26;60;18;4315;0.000813817
80;65;18;662;0.000813817
88;91;18;4514;0.000813817
58;33;18;3167;0.000813817
103;17;18;4525;0.000813817
115;83;18;4011;0.000813817
76;58;18;3408;0.000813817
112;63;18;2618;0.000813817
51;92;18;4436;0.000813817
77;88;18;4444;0.000813817
100;28;18;3127;0.000813817
66;5;18;3777;0.000813817
148;-8;18;2567;0.000813817
86;46;18;3271;0.000813817
34;58;18;2476;0.000813817
103;90;18;1684;0.000813817
29;50;18;196;0.000813817
105;57;18;4454;0.000813817
33;45;18;3960;0.000813817
86;45;18;3260;0.000813817
41;39;18;4157;0.000813817
75;73;18;2489;0.000813817
98;23;18;4456;0.000813817
130;31;17;4163;0.000768605
46;51;17;3047;0.000768605
99;35;17;3768;0.000768605
58;41;17;2630;0.000768605
137;1;17;4203;0.000768605
103;89;17;2357;0.000768605
43;57;17;4354;0.000768605
30;52;17;4246;0.000768605
31;51;17;4148;0.000768605
36;69;17;4041;0.000768605
45;52;17;2886;0.000768605
31;55;17;4277;0.000768605
51;33;17;3256;0.000768605
132;49;17;2596;0.000768605
25;51;17;3177;0.000768605
99;73;17;3696;0.000768605
79;10;17;4314;0.000768605
92;83;17;2233;0.000768605
67;58;17;4176;0.000768605
104;70;17;3148;0.000768605
39;37;17;4006;0.000768605
86;42;17;3391;0.000768605
32;49;17;4381;0.000768605
21;60;17;2711;0.000768605
67;68;17;297;0.000768605
36;60;17;4033;0.000768605
64;68;17;150;0.000768605
38;57;17;3213;0.000768605
84;47;16;1859;0.000723393
105;48;16;3828;0.000723393
68;65;16;3175;0.000723393
81;32;16;2146;0.000723393
76;62;16;2703;0.000723393
87;54;16;2101;0.000723393
34;79;16;2215;0.000723393
28;53;16;4142;0.000723393
64;52;16;589;0.000723393
-13;117;16;2191;0.000723393
31;67;16;3208;0.000723393
47;-2;16;3623;0.000723393
74;35;16;4082;0.000723393
93;9;16;4224;0.000723393
36;61;16;608;0.000723393
62;61;16;3141;0.000723393
108;76;16;3693;0.000723393
83;14;16;2649;0.000723393
72;38;16;2498;0.000723393
76;5;16;3242;0.000723393
104;61;16;2372;0.000723393
88;45;16;2149;0.000723393
96;39;16;3250;0.000723393
45;43;16;3842;0.000723393
109;87;16;2981;0.000723393
18;-31;16;2150;0.000723393
68;42;16;3407;0.000723393
57;23;16;235;0.000723393
73;-21;16;3645;0.000723393
34;51;15;3676;0.000678181
66;3;15;2598;0.000678181
39;52;15;2450;0.000678181
33;67;15;2743;0.000678181
123;-13;15;4488;0.000678181
44;50;15;2720;0.000678181
91;35;15;3924;0.000678181
33;88;15;3201;0.000678181
48;43;15;3976;0.000678181
83;61;15;3734;0.000678181
81;14;15;288;0.000678181
123;38;15;4461;0.000678181
32;44;15;4505;0.000678181
33;74;15;3779;0.000678181
132;48;15;1609;0.000678181
49;67;15;3466;0.000678181
51;59;15;4331;0.000678181
59;25;15;4417;0.000678181
100;33;15;4272;0.000678181
30;71;15;4078;0.000678181
109;86;15;2728;0.000678181
47;56;15;3826;0.000678181
84;45;15;2536;0.000678181
141;1;15;3721;0.000678181
143;1;15;3687;0.000678181
71;75;15;4400;0.000678181
32;84;15;4278;0.000678181
89;38;15;4210;0.000678181
126;41;15;3694;0.000678181
78;65;15;3096;0.000678181
48;3;15;4160;0.000678181
44;35;15;640;0.000678181
82;42;15;3523;0.000678181
130;33;15;3633;0.000678181
94;64;15;2210;0.000678181
81;38;15;3562;0.000678181
23;66;15;4112;0.000678181
86;56;15;4293;0.000678181
26;49;15;2301;0.000678181
97;67;15;4446;0.000678181
96;10;15;3350;0.000678181
110;84;15;2884;0.000678181
73;11;15;546;0.000678181
33;63;15;3487;0.000678181
40;66;14;730;0.000632969
60;59;14;3853;0.000632969
81;13;14;860;0.000632969
24;73;14;4153;0.000632969
84;64;14;2268;0.000632969
-16;117;14;4526;0.000632969
59;22;14;2805;0.000632969
20;-25;14;2474;0.000632969
76;60;14;2669;0.000632969
75;66;14;3088;0.000632969
25;67;14;2986;0.000632969
91;56;14;2821;0.000632969
51;28;14;3631;0.000632969
76;55;14;4130;0.000632969
52;27;14;4287;0.000632969
115;88;14;2291;0.000632969
51;41;14;247;0.000632969
79;38;14;2451;0.000632969
107;79;14;4411;0.000632969
48;52;14;146;0.000632969
125;-10;14;3707;0.000632969
78;82;14;4520;0.000632969
51;40;14;3938;0.000632969
141;3;14;3709;0.000632969
23;58;14;438;0.000632969
36;47;14;2944;0.000632969
40;49;14;644;0.000632969
89;10;14;3051;0.000632969
146;-13;14;2332;0.000632969
103;84;14;2443;0.000632969
131;13;14;3137;0.000632969
91;50;14;218;0.000632969
63;64;14;3159;0.000632969
74;4;14;3106;0.000632969
68;77;14;2517;0.000632969
84;43;14;3767;0.000632969
40;60;14;2535;0.000632969
19;58;14;2264;0.000632969
73;32;14;3288;0.000632969
60;29;14;4085;0.000632969
54;41;14;3355;0.000632969
31;68;14;2977;0.000632969
80;60;13;2175;0.000587757
85;40;13;2148;0.000587757
48;41;13;2642;0.000587757
105;107;13;4118;0.000587757
123;29;13;2265;0.000587757
44;51;13;2802;0.000587757
67;63;13;3809;0.000587757
49;44;13;4009;0.000587757
71;60;13;3190;0.000587757
103;44;13;2950;0.000587757
76;9;13;3131;0.000587757
86;80;13;3264;0.000587757
44;7;13;3509;0.000587757
89;85;13;2906;0.000587757
73;14;13;2721;0.000587757
80;36;13;3919;0.000587757
102;17;13;3655;0.000587757
77;33;13;3238;0.000587757
63;51;13;3123;0.000587757
29;81;13;2117;0.000587757
110;-16;13;3899;0.000587757
51;60;13;3690;0.000587757
70;35;13;3467;0.000587757
123;35;13;3860;0.000587757
97;87;13;4058;0.000587757
89;42;13;3657;0.000587757
93;68;13;4240;0.000587757
84;56;13;2542;0.000587757
2;87;13;3140;0.000587757
66;29;13;4165;0.000587757
64;54;13;116;0.000587757
39;67;13;3411;0.000587757
