ID_NODO;COORDENADA_X;COORDENADA_Y;CENTRO_CERCANO;TIEMPO_CENTRO;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25
0;43;67;4183;2.575869366;;;;;;;;;;;;;;;;;;;;;;;;;;
3;72;14;3131;4.721730506;;;;;;;;;;;;;;;;;;;;;;;;;;
5;102;64;3148;4.21249485;;;;;;;;;;;;;;;;;;;;;;;;;;
6;43;78;4183;4.016040588;;;;;;;;;;;;;;;;;;;;;;;;;;
16;67;72;2526;5.174734158;;;;;;;;;;;;;;;;;;;;;;;;;;
18;7;30;2205;3.725229191;;;;;;;;;;;;;;;;;;;;;;;;;;
19;40;55;2450;2.220786408;;;;;;;;;;;;;;;;;;;;;;;;;;
20;77;37;2989;7.628890801;;;;;;;;;;;;;;;;;;;;;;;;;;
21;34;72;3040;4.903626566;;;;;;;;;;;;;;;;;;;;;;;;;;
22;47;18;2693;1.104768969;;;;;;;;;;;;;;;;;;;;;;;;;;
34;7;54;2122;3.260851795;;;;;;;;;;;;;;;;;;;;;;;;;;
38;49;16;2693;2.701434709;;;;;;;;;;;;;;;;;;;;;;;;;;
41;7;67;2122;6.641656687;;;;;;;;;;;;;;;;;;;;;;;;;;
46;40;52;2450;0.577967476;;;;;;;;;;;;;;;;;;;;;;;;;;
48;49;88;3761;6.059212012;;;;;;;;;;;;;;;;;;;;;;;;;;
58;96;42;3966;1.528166482;;;;;;;;;;;;;;;;;;;;;;;;;;
63;26;37;3403;5.039963322;;;;;;;;;;;;;;;;;;;;;;;;;;
65;41;46;65;0.034176015;;;;;;;;;;;;;;;;;;;;;;;;;;
68;43;46;65;1.087379151;;;;;;;;;;;;;;;;;;;;;;;;;;
85;43;79;4183;4.572864246;;;;;;;;;;;;;;;;;;;;;;;;;;
90;63;72;2526;7.200780488;;;;;;;;;;;;;;;;;;;;;;;;;;
96;44;18;2693;2.642904765;;;;;;;;;;;;;;;;;;;;;;;;;;
98;72;68;2526;5.690370146;;;;;;;;;;;;;;;;;;;;;;;;;;
107;39;76;4168;8.046611499;;;;;;;;;;;;;;;;;;;;;;;;;;
109;59;16;2504;5.86966856;;;;;;;;;;;;;;;;;;;;;;;;;;
110;35;23;2458;3.227520965;;;;;;;;;;;;;;;;;;;;;;;;;;
116;64;54;2400;4.140176035;;;;;;;;;;;;;;;;;;;;;;;;;;
118;39;47;65;1.22851612;;;;;;;;;;;;;;;;;;;;;;;;;;
119;48;30;2693;5.745303727;;;;;;;;;;;;;;;;;;;;;;;;;;
120;49;51;4453;5.2500543;;;;;;;;;;;;;;;;;;;;;;;;;;
122;39;28;2625;4.352017502;;;;;;;;;;;;;;;;;;;;;;;;;;
125;103;47;3966;5.383255779;;;;;;;;;;;;;;;;;;;;;;;;;;
130;38;28;2625;4.872826234;;;;;;;;;;;;;;;;;;;;;;;;;;
134;53;86;4016;4.926283786;;;;;;;;;;;;;;;;;;;;;;;;;;
138;48;51;2450;4.96282889;;;;;;;;;;;;;;;;;;;;;;;;;;
139;49;65;4168;4.725200699;;;;;;;;;;;;;;;;;;;;;;;;;;
143;56;66;1999;6.33518208;;;;;;;;;;;;;;;;;;;;;;;;;;
144;64;42;632;1.580368859;;;;;;;;;;;;;;;;;;;;;;;;;;
146;48;52;2450;4.46979704;;;;;;;;;;;;;;;;;;;;;;;;;;
147;26;34;3403;3.55004689;;;;;;;;;;;;;;;;;;;;;;;;;;
150;64;68;2526;4.714918486;;;;;;;;;;;;;;;;;;;;;;;;;;
156;49;72;2509;4.955053402;;;;;;;;;;;;;;;;;;;;;;;;;;
159;43;93;3761;7.569198962;;;;;;;;;;;;;;;;;;;;;;;;;;
160;53;68;4183;6.820987242;;;;;;;;;;;;;;;;;;;;;;;;;;
161;38;17;3780;5.747846905;;;;;;;;;;;;;;;;;;;;;;;;;;
162;26;43;3531;7.005149171;;;;;;;;;;;;;;;;;;;;;;;;;;
165;83;42;3966;8.345285093;;;;;;;;;;;;;;;;;;;;;;;;;;
176;72;24;2504;5.917549582;;;;;;;;;;;;;;;;;;;;;;;;;;
179;90;70;2783;2.623427222;;;;;;;;;;;;;;;;;;;;;;;;;;
180;7;60;2122;7.151333737;;;;;;;;;;;;;;;;;;;;;;;;;;
181;54;76;4016;5.08818704;;;;;;;;;;;;;;;;;;;;;;;;;;
184;37;56;2450;3.320360798;;;;;;;;;;;;;;;;;;;;;;;;;;
191;68;23;2504;3.604107402;;;;;;;;;;;;;;;;;;;;;;;;;;
192;53;71;3700;6.658552898;;;;;;;;;;;;;;;;;;;;;;;;;;
196;29;50;2301;3.763376336;;;;;;;;;;;;;;;;;;;;;;;;;;
197;18;60;2122;4.456149075;;;;;;;;;;;;;;;;;;;;;;;;;;
199;77;24;3131;7.742755216;;;;;;;;;;;;;;;;;;;;;;;;;;
202;28;45;2301;3.02210959;;;;;;;;;;;;;;;;;;;;;;;;;;
204;68;98;3882;4.403357132;;;;;;;;;;;;;;;;;;;;;;;;;;
207;71;72;3481;5.04860258;;;;;;;;;;;;;;;;;;;;;;;;;;
208;18;64;2122;2.327758471;;;;;;;;;;;;;;;;;;;;;;;;;;
209;77;39;3564;6.804786288;;;;;;;;;;;;;;;;;;;;;;;;;;
210;2;30;2205;1.113146908;;;;;;;;;;;;;;;;;;;;;;;;;;
212;68;18;2504;3.034353552;;;;;;;;;;;;;;;;;;;;;;;;;;
213;38;30;2625;4.934114984;;;;;;;;;;;;;;;;;;;;;;;;;;
216;41;35;4009;9.191161992;;;;;;;;;;;;;;;;;;;;;;;;;;
217;35;55;2450;4.546342368;;;;;;;;;;;;;;;;;;;;;;;;;;
218;91;50;3966;8.018876499;;;;;;;;;;;;;;;;;;;;;;;;;;
222;66;35;2365;5.275161008;;;;;;;;;;;;;;;;;;;;;;;;;;
223;71;66;3175;5.016230584;;;;;;;;;;;;;;;;;;;;;;;;;;
229;19;50;3531;7.895503389;;;;;;;;;;;;;;;;;;;;;;;;;;
230;39;71;4168;5.424124299;;;;;;;;;;;;;;;;;;;;;;;;;;
234;74;16;3131;6.159686222;;;;;;;;;;;;;;;;;;;;;;;;;;
235;57;23;2693;6.503336197;;;;;;;;;;;;;;;;;;;;;;;;;;
238;48;23;3847;1.992214282;;;;;;;;;;;;;;;;;;;;;;;;;;
240;41;60;4168;3.376630217;;;;;;;;;;;;;;;;;;;;;;;;;;
241;65;70;2526;1.540184588;;;;;;;;;;;;;;;;;;;;;;;;;;
242;28;44;2301;3.555749716;;;;;;;;;;;;;;;;;;;;;;;;;;
247;51;41;4009;2.666418506;;;;;;;;;;;;;;;;;;;;;;;;;;
249;72;43;3564;3.07810319;;;;;;;;;;;;;;;;;;;;;;;;;;
250;8;39;2122;8.170922585;;;;;;;;;;;;;;;;;;;;;;;;;;
253;94;51;3966;8.475286241;;;;;;;;;;;;;;;;;;;;;;;;;;
255;43;30;3847;5.74262784;;;;;;;;;;;;;;;;;;;;;;;;;;
257;79;35;2989;8.386752789;;;;;;;;;;;;;;;;;;;;;;;;;;
258;34;44;3531;6.026296907;;;;;;;;;;;;;;;;;;;;;;;;;;
264;51;49;4009;3.62444835;;;;;;;;;;;;;;;;;;;;;;;;;;
267;77;36;2989;7.841102499;;;;;;;;;;;;;;;;;;;;;;;;;;
268;29;47;2301;2.702705442;;;;;;;;;;;;;;;;;;;;;;;;;;
269;85;61;3624;7.81178692;;;;;;;;;;;;;;;;;;;;;;;;;;
270;19;69;2122;4.944318545;;;;;;;;;;;;;;;;;;;;;;;;;;
271;54;56;1999;8.445696656;;;;;;;;;;;;;;;;;;;;;;;;;;
275;19;66;2122;3.426783987;;;;;;;;;;;;;;;;;;;;;;;;;;
276;41;66;4168;5.306790347;;;;;;;;;;;;;;;;;;;;;;;;;;
288;81;14;2504;13.42558063;;;;;;;;;;;;;;;;;;;;;;;;;;
294;73;45;3564;3.292016904;;;;;;;;;;;;;;;;;;;;;;;;;;
297;67;68;2526;3.062318336;;;;;;;;;;;;;;;;;;;;;;;;;;
300;40;29;2625;5.363762738;;;;;;;;;;;;;;;;;;;;;;;;;;
303;64;49;2400;2.281693509;;;;;;;;;;;;;;;;;;;;;;;;;;
305;34;88;3055;8.203086889;;;;;;;;;;;;;;;;;;;;;;;;;;
306;80;63;3624;6.219922418;;;;;;;;;;;;;;;;;;;;;;;;;;
314;46;58;4168;5.226508657;;;;;;;;;;;;;;;;;;;;;;;;;;
324;43;87;3761;4.549464984;;;;;;;;;;;;;;;;;;;;;;;;;;
325;66;41;2400;4.281152619;;;;;;;;;;;;;;;;;;;;;;;;;;
329;90;48;3966;9.161316189;;;;;;;;;;;;;;;;;;;;;;;;;;
331;73;61;1999;6.71079212;;;;;;;;;;;;;;;;;;;;;;;;;;
332;49;43;65;7.478040225;;;;;;;;;;;;;;;;;;;;;;;;;;
337;34;43;3531;5.538629315;;;;;;;;;;;;;;;;;;;;;;;;;;
340;67;71;2526;4.672625546;;;;;;;;;;;;;;;;;;;;;;;;;;
343;40;20;2625;1.985913109;;;;;;;;;;;;;;;;;;;;;;;;;;
349;27;84;4045;7.516356722;;;;;;;;;;;;;;;;;;;;;;;;;;
353;47;30;2693;5.258213587;;;;;;;;;;;;;;;;;;;;;;;;;;
354;71;50;2400;5.514755311;;;;;;;;;;;;;;;;;;;;;;;;;;
355;26;22;3015;4.200896066;;;;;;;;;;;;;;;;;;;;;;;;;;
356;47;34;4009;6.397181632;;;;;;;;;;;;;;;;;;;;;;;;;;
357;56;20;2693;6.543972903;;;;;;;;;;;;;;;;;;;;;;;;;;
360;48;29;3847;4.895793736;;;;;;;;;;;;;;;;;;;;;;;;;;
362;49;60;4168;4.905068163;;;;;;;;;;;;;;;;;;;;;;;;;;
369;46;79;4183;4.950383156;;;;;;;;;;;;;;;;;;;;;;;;;;
374;64;60;2526;5.71216219;;;;;;;;;;;;;;;;;;;;;;;;;;
379;46;33;4009;7.168586986;;;;;;;;;;;;;;;;;;;;;;;;;;
380;67;47;2400;5.562515087;;;;;;;;;;;;;;;;;;;;;;;;;;
393;47;62;4168;3.433398027;;;;;;;;;;;;;;;;;;;;;;;;;;
398;59;43;4009;5.40283155;;;;;;;;;;;;;;;;;;;;;;;;;;
404;47;80;4183;5.648529514;;;;;;;;;;;;;;;;;;;;;;;;;;
412;35;20;2458;3.368001893;;;;;;;;;;;;;;;;;;;;;;;;;;
413;79;49;3564;6.121955978;;;;;;;;;;;;;;;;;;;;;;;;;;
414;92;46;3966;6.626373001;;;;;;;;;;;;;;;;;;;;;;;;;;
424;48;1;2693;10.17187116;;;;;;;;;;;;;;;;;;;;;;;;;;
426;35;43;3531;6.033696625;;;;;;;;;;;;;;;;;;;;;;;;;;
428;93;49;3966;7.287335573;;;;;;;;;;;;;;;;;;;;;;;;;;
435;68;61;1999;7.015656812;;;;;;;;;;;;;;;;;;;;;;;;;;
438;23;58;2301;5.558665254;;;;;;;;;;;;;;;;;;;;;;;;;;
439;81;52;3624;6.430941346;;;;;;;;;;;;;;;;;;;;;;;;;;
442;36;84;4045;6.211933518;;;;;;;;;;;;;;;;;;;;;;;;;;
450;69;51;2989;4.614000187;;;;;;;;;;;;;;;;;;;;;;;;;;
465;40;45;65;1.090716862;;;;;;;;;;;;;;;;;;;;;;;;;;
471;43;70;4183;1.087677596;;;;;;;;;;;;;;;;;;;;;;;;;;
478;66;45;2400;4.433849147;;;;;;;;;;;;;;;;;;;;;;;;;;
479;55;43;4453;6.845128906;;;;;;;;;;;;;;;;;;;;;;;;;;
500;79;45;3564;8.160081426;;;;;;;;;;;;;;;;;;;;;;;;;;
506;59;72;2526;5.491500164;;;;;;;;;;;;;;;;;;;;;;;;;;
507;86;41;3966;7.800862881;;;;;;;;;;;;;;;;;;;;;;;;;;
510;44;48;4105;4.404225169;;;;;;;;;;;;;;;;;;;;;;;;;;
