ID_NODO;COORDENADA_X;COORDENADA_Y;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;T24;T25
0;43;67;17.0689139;29.34309782;15.57511656;15.0629206;44.51186432;19.8185614;31.2074842;28.14568986;18.83552963;28.7367334;44.8765273;17.15576939;15.94191857;8.52267369;31.81109846;5.98234362;11.60570099;18.27573704;17.6205511;18.86820193;65.66104244;44.3753782;31.0318487;69.4063634;47.58031612;53.04092898
3;72;14;27.76121662;22.92398122;27.44455306;23.43701242;38.09274774;14.5904403;19.41480526;15.84067843;30.31748702;12.78395978;17.59261622;25.89095966;25.56815704;30.71431194;20.01841952;28.51013554;27.4305547;36.47939382;22.67884388;20.29139048;46.14760236;32.58269926;19.23916976;49.89292332;41.16119954;33.5274889
5;102;64;37.15319674;6.507775652;26.50959072;21.63198398;25.8149205;13.65547797;34.7303948;13.74078789;29.3825247;19.85134124;35.99113514;39.18018022;24.6331947;29.77934962;35.33400906;27.5751732;26.49559238;35.54443148;21.74388154;19.35642815;56.77565028;47.8982888;34.5547593;60.52097126;28.88337228;44.15553682
6;43;78;20.76771708;23.96457522;12.81527889;15.85272079;39.13334172;14.4400388;26.41106554;22.76716726;15.625146;23.3582108;39.4980047;19.70116186;11.14549991;11.06806616;27.0146798;4.280058518;10.46793294;16.57345194;13.60762749;19.17952256;60.28251984;39.57895954;26.23543004;64.02784082;42.20179352;47.66240638
16;67;72;25.30953356;21.2617241;20.6563059;12.29697914;36.32963678;8.932731886;34.0454755;20.06431614;23.52923986;20.65535968;36.79515358;27.56583538;18.77990988;18.8322412;34.64908976;16.4809747;7.527063136;21.44187302;8.942453262;5.30127179;57.57966872;47.21336952;33.86984;61.3249897;39.39808858;44.95955526
18;7;30;26.96312988;41.06367838;26.58388594;40.9842575;56.2324449;31.53914196;19.54002956;34.75792804;29.844299;31.7012094;36.65326668;25.403537;23.07213518;31.69953542;20.14364382;28.17177462;32.84004576;38.18351362;30.99095358;36.27862572;65.06485198;32.70792356;19.36439406;68.81017294;59.3008967;52.44473852
19;40;55;6.675908434;33.76723746;18.77661928;13.69431882;48.93600396;24.24270104;28.66183808;30.54909962;22.39878562;29.8037621;41.70454252;10.23921391;19.47407178;5.150950798;29.26545234;12.20408786;17.78124173;23.70647192;23.03075918;20.73437882;68.20220648;41.8297321;28.48620258;71.94752744;52.00445576;55.58209302
20;77;37;26.28087322;22.37451114;26.89508298;21.13084108;37.54327766;14.04097022;25.03206024;14.15825553;29.76801694;5.732006192;26.2928006;25.32130044;25.01868696;30.16484188;25.6356745;27.96066546;26.88108462;35.92992374;22.1293738;18.03190011;47.87987138;38.19995426;24.85642476;51.62519236;40.61172946;35.25975792
21;34;72;21.17989114;27.46334838;10.9103612;19.28264853;42.6321149;17.93881197;27.77090582;26.26594044;15.24428321;26.85698398;42.99677788;20.39083522;12.3430776;11.75773952;28.37452008;8.414238144;12.76876713;23.9868312;17.39062358;20.7647021;63.78129302;40.93879984;27.59527032;67.52661398;45.7005667;51.16117956
22;47;18;19.18092485;27.92656684;25.9209891;27.95469622;43.09533336;19.59302592;15.07696014;20.84326404;29.18140216;17.7865454;22.73860268;18.52598187;22.40923834;25.74410534;15.6805744;27.50887778;32.04161914;37.52061678;27.6814295;25.2939761;51.15018798;28.24485414;14.90132465;54.89550894;46.16378516;38.53007452
34;7;54;18.55888384;28.40116686;13.9213744;28.32174598;43.56993336;18.87663044;14.28483229;27.2037589;17.18178747;25.83157996;30.78363724;15.81062053;10.40962364;19.03702389;14.88844655;15.50926309;20.17753422;25.52100208;18.32844205;23.6161142;59.19522252;27.4527263;14.10919679;62.9405435;46.63838516;46.57510906
38;49;16;20.44622406;26.66132022;26.52232826;27.1743514;41.83008672;18.32777929;15.67829931;19.57801741;29.78274134;16.52129877;21.47335604;19.79128108;23.0105775;26.67251414;16.28191357;28.11021696;31.16789368;38.12195594;26.41618286;24.02872946;49.88494134;28.84619332;15.50266381;53.6302623;44.89853852;37.26482788
41;7;67;23.5061099;31.78197174;17.30217929;31.70255086;46.95073826;22.25743532;19.36364524;30.58456378;20.56259236;31.17560732;36.47688236;22.2033381;13.79042853;22.41782878;19.9672595;18.89006798;23.55833912;28.90180698;21.70924694;26.99691908;64.88846766;32.53153924;19.18800974;68.63378862;50.01919006;52.2683542
46;40;52;5.033089502;35.41005638;20.41943822;15.00572801;50.5788229;25.88551996;28.45094552;31.18677318;24.04160454;28.16094318;40.06172358;8.596394976;21.11689072;6.793769732;29.05455978;13.84690679;19.09265092;25.0178811;24.34216838;21.67791318;68.47330888;41.61883952;28.27531002;72.21862986;53.6472747;55.85319542
48;49;88;23.54350164;23.2395293;9.008567156;14.95391775;38.4082958;13.71499288;25.47098696;22.04212134;10.43812721;22.63316488;38.77295878;22.81154902;10.20542135;15.35157625;26.07460122;10.71375059;9.953031692;15.67464891;13.16680449;18.45447663;59.55747392;38.63888098;25.29535148;63.30279488;41.4767476;46.93736046
58;96;42;33.80054194;20.48018798;26.97675784;22.35864546;36.10870054;14.1226451;28.61048802;2.461451274;29.84969182;7.424660544;29.87122836;32.87743074;25.10036184;30.24651674;29.21410228;28.04234032;26.9627595;36.01159862;22.21104868;19.82359528;46.63718894;41.77838202;28.43485252;50.38250992;39.17715234;34.01707548
63;26;37;9.229305382;37.32900064;22.8492082;28.77742604;52.49776716;27.80446424;16.35014663;30.95361294;26.10962126;27.8968943;32.84895158;8.415459294;19.33745744;18.82826384;16.95376089;23.21271682;29.10536802;34.44883588;27.25627584;32.54394798;61.26053686;29.51804064;16.17451113;65.00585784;55.56621896;48.6404234
65;41;46;5.627621694;38.1327141;23.14209592;17.48652971;53.3014806;28.51798474;26.26391122;31.3171118;26.76426226;27.80736684;38.4624426;6.059656752;24.19643042;10.2662581;26.86752548;16.92644648;21.60748438;28.49036948;26.85700184;24.0059945;66.87402788;39.43180524;26.08827574;70.61934886;56.3699324;54.25391442
68;43;46;6.141006294;37.4419071;22.45128894;17.99991431;52.61067362;27.9173707;27.0695651;31.8304964;26.07345528;27.8181004;37.47846102;6.865310622;23.50562342;9.42658291;27.67317936;16.2356395;22.12086898;29.00375408;27.3691823;24.5193791;65.89004632;40.2374591;26.8939296;69.63536728;55.67912542;53.26993286
85;43;79;21.32454074;23.40775156;12.25845523;16.40954445;38.57651806;13.88321514;25.85424188;22.2103436;15.06832234;22.80138714;38.94118104;20.25798552;10.58867625;11.62488981;26.45785614;4.836882176;10.02397978;17.1302756;13.05080383;18.6226989;59.72569618;39.02213588;25.67860638;63.47101716;41.64496986;47.10558272
90;63;72;23.46095286;23.28777044;22.68235222;10.44839843;38.35568312;10.95877822;36.07152184;22.09036248;25.5552862;22.68140602;38.82119992;25.71725468;20.80595622;16.9836605;36.6751361;14.71880335;6.378768564;22.1686461;10.10672598;7.32731812;59.60571506;49.23941584;35.89588634;63.35103602;41.42413492;46.9856016
96;44;18;18.83319079;29.46470264;25.9649329;29.49283202;44.63346916;21.13116172;15.12090394;22.38139984;29.22534596;19.3246812;24.27673848;18.17824781;22.45318212;25.75925258;15.7245182;27.55282158;32.22109272;37.56456058;29.2195653;26.8321119;52.68832378;28.28879794;14.94526844;56.43364474;47.70192096;40.06821032
98;72;68;28.35838568;22.64470846;25.39677352;12.88163383;39.01111278;11.61420789;36.85049092;21.38039382;28.2697075;20.41316778;38.11123126;28.6597394;23.52037752;19.91155576;37.45410518;19.66202259;11.02752099;24.94233088;12.67870367;8.79440262;58.8957464;50.01838492;36.67485542;62.64106736;42.07956458;46.27563294
107;39;76;17.51695738;26.62386666;13.9899648;19.60564932;41.79263318;17.09933025;27.37913442;25.4264587;15.55075266;26.01750224;42.15729614;19.29987678;12.11356879;9.32503199;27.98274868;7.720852142;9.324531326;22.43155576;13.98234169;19.84296244;62.94181128;40.54702842;27.20349892;66.68713226;44.86108496;50.32169782
109;59;16;25.19698796;26.62805774;27.69460556;25.09785508;41.79682424;18.29451681;16.85057659;19.54475494;30.95501862;16.4880363;19.7220575;23.326731;24.18285478;31.76532562;17.45419085;29.28249424;30.6332686;39.29423322;26.38292038;23.995467;49.85167886;30.0184706;16.6749411;53.59699984;44.86527604;37.2315654
110;35;23;15.79271336;31.50300034;25.00444088;31.24713536;46.67176686;23.16945942;14.16041192;24.41969754;28.26485394;21.3629789;26.31503618;15.13777038;21.49269012;24.74037022;14.76402618;26.59232956;31.2606007;36.60406856;29.41150852;28.8704096;54.72662148;27.32830592;13.98477642;58.47194244;49.74021866;42.106508
116;64;54;18.52510561;25.33873832;27.35803614;8.133843002;38.86001884;15.40976852;36.43334486;20.96324778;28.7875962;17.58887497;35.33013308;21.29540172;27.98291412;17.61343696;37.03695912;20.41063164;13.51735204;25.37152996;16.11770393;9.935274826;58.47860036;49.60123888;36.25770938;62.22392132;41.92847064;45.8584869
118;39;47;6.8219618;38.464289;23.47367084;17.43588718;53.5709351;28.9397526;27.41233424;31.75502736;27.09583718;28.72223584;38.73409662;7.253996856;24.17112334;9.848002356;28.0159485;16.90113941;21.5228101;27.44804026;26.77232754;24.4343748;67.14568192;40.58022824;27.23669874;70.89100288;56.6393869;54.52556846
119;48;30;13.57782282;34.70419646;28.60701006;21.17706662;49.87296298;26.37065554;21.85458976;27.62089366;32.2291764;24.33207666;29.5162323;12.92287984;29.18686796;19.57250877;22.45820402;22.39136062;25.26398952;31.1892197;30.51350698;28.2171266;57.92781758;35.02248376;21.67895426;61.67313856;52.94141476;45.30770412
120;49;51;9.52117878;31.53947328;22.17010694;10.17144766;46.30649558;22.14988242;32.8602087;26.25543332;23.599667;23.2296033;40.52185124;13.51880631;22.89915616;9.659846732;33.46382296;15.22270244;14.25837057;20.18360076;19.50788803;17.21150765;64.67933532;46.02810272;32.68457322;68.42465628;49.37494738;52.05922186
122;39;28;10.31069916;34.15672686;28.05374514;26.95989366;49.32549338;25.82318594;17.64700032;27.07342406;31.59538926;24.01670542;28.9687627;9.655756176;24.82322544;19.25835602;18.25061458;21.8380957;28.77807026;36.16493904;32.74204384;31.52413612;57.380348;30.81489432;17.47136482;61.12566896;52.39394518;44.76023452
125;103;47;36.64253726;15.58714202;27.86769404;23.72239912;33.22955506;15.01358128;31.7339165;4.094377864;30.74062802;11.66807287;32.99465686;37.1494223;25.99129802;31.13745294;32.33753076;28.93327652;27.85369568;36.9025348;23.10198486;20.71453146;52.52606262;44.90181052;31.55828102;56.27138358;36.29800686;39.90594916
130;38;28;10.06995652;34.46878002;27.97022054;27.40610518;49.63754652;26.13523908;17.12619159;27.38547722;31.23063362;24.32875856;29.28081584;9.415013534;24.45846978;19.77916475;17.72980585;22.35890444;29.29887898;36.68574776;32.37728818;31.83618926;57.69240114;30.2940856;16.95055609;61.4377221;52.70599832;45.07228768
134;53;86;22.19288062;19.12120679;10.73119633;16.46217636;34.2899733;9.596670372;24.12036594;17.92379883;13.6041303;18.51484237;34.65463628;23.39393054;8.854800316;14.00095522;24.7239802;11.79677881;7.414068386;19.56249684;9.048481982;14.33615413;55.4391514;37.28825994;23.94473044;59.18447238;37.3584251;42.81903794
138;48;51;8.974700324;32.08595174;22.7165854;10.71792612;46.85297404;22.69636088;32.31373026;26.80191178;24.14614546;23.77608176;39.9753728;12.97232785;23.13053052;9.113368276;32.91734452;15.76918089;14.80484903;20.7300792;20.05436648;17.75798611;65.22581376;45.48162426;32.13809476;68.97113474;49.92142584;52.6057003
139;49;65;15.43419109;30.90226634;18.70941733;10.21599501;46.07103284;21.37772992;32.28520474;27.0707758;21.17261668;27.79957362;43.93936752;18.23348993;17.01963911;6.925350574;32.888819;9.116644396;11.68858511;20.2281481;17.89445863;15.53978178;64.72388266;45.45309874;32.10956924;68.46920362;49.13948464;52.1037692
143;56;66;20.07795496;26.71690722;20.55841624;8.42088892;41.11004132;13.71313641;34.95654132;25.27566972;21.9879763;26.00446754;42.14426144;24.17479324;19.6909757;10.36071745;35.56015558;12.59733524;6.609449996;20.4505833;12.06679172;8.805881934;62.92877656;48.12443534;34.78090582;66.67409754;44.1784931;50.3086631
144;64;42;16.46773023;31.28675222;31.39098932;13.65693816;44.80803276;21.16051022;30.87376348;19.79426297;32.82054938;14.46484458;29.38211916;16.17130489;32.12003854;22.0367715;31.47737774;24.44358482;19.19235168;29.40448314;22.06571784;15.88328874;55.69739432;44.04165748;30.69812798;59.44271528;47.87648454;43.07728086
146;48;52;8.924919066;32.48192406;22.29601466;11.11389845;47.24894638;22.3383713;32.34277508;27.29494362;24.54211778;24.26911362;40.46840464;12.48822454;22.68750844;8.670346186;32.94638934;15.41752451;15.20082136;21.12605154;20.45033882;17.96591738;65.6217861;45.5106691;32.16713958;69.36710706;50.31739818;53.00167264
147;26;34;9.672849434;35.96562774;21.48583528;29.22097008;51.13439424;26.44109132;14.8602302;29.4636965;24.74624836;26.40697786;31.35903514;8.859003344;17.97408452;19.27180789;15.46384446;23.07372396;27.7419951;33.08546296;25.89290292;31.18057508;59.77062044;28.0281242;14.6845947;63.5159414;54.20284604;47.15050698
150;64;68;24.14503656;21.6692568;22.71548796;11.13248213;38.84731596;11.45041106;37.81049148;23.76778768;24.14504802;24.29205514;40.49862512;24.44639028;22.54492586;15.69820665;38.41410574;15.44867347;6.81417188;20.72898176;9.414523776;7.81895096;61.28314026;50.97838548;37.63485598;65.02846124;41.91576776;48.6630268
